error_code,error_no,error_type,form_name,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
cls-m-003,003,Error,cls,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q0c. FORMVER (Form version number) cannot be blank,If FORMVER = blank,,,,,
cls-c-004,004,Error,cls,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 3,Q0c. FORMVER (Form version number) must equal 3,If FORMVER ne 3,,,,,
cls-m-005,005,Error,cls,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0d. ADCID (ADCID) cannot be blank,If ADCID = blank,,,,,
cls-c-006,006,Error,cls,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Q0d. ADCID (ADCID) must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,,,
cls-m-007,007,Error,cls,PTID,Missingness,PTID must be present,PTID cannot be blank,Q0e. PTID (ADRC Participant ID) cannot be blank,If PTID = blank,,,,,
cls-m-009,009,Error,cls,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Q0f. VISITDATE (Form date) cannot be blank,If VISITDATE = blank,,,,,
cls-c-010,010,Error,cls,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be a date in format mm/dd/yyyy or yyyy/mm/dd,Q0f. VISITDATE (Form date) must be a date in the format mm/dd/yyyy or yyyy/mm/dd,If VISITDATE not in mm/dd/yyyy or yyyy/mm/dd format,,,,,
cls-m-011,011,Error,cls,VISITNUM,Missingness,VISITNUM must be present,VISITNUM cannot be blank,Q0i. VISITNUM (visit ID) cannot be blank,If VISITNUM = blank,,,,,
cls-m-012,012,Error,cls,APREFLAN,Missingness,APREFLAN must be present,APREFLAN cannot be blank,Q1. APREFLAN (In what language do you prefer to be evaluated (English or Spanish)) cannot be blank,If APREFLAN = blank,,,,,
cls-c-013,013,Error,cls,APREFLAN,Conformity,APREFLAN conforms,APREFLAN must be an integer between 1-2,Q1. APREFLAN (In what language do you prefer to be evaluated (English or Spanish)) must be an integer between 1-2,If APREFLAN < 1 or APREFLAN > 2,,,,,
cls-m-014,014,Error,cls,AYRSPAN,Missingness,AYRSPAN must be present,AYRSPAN cannot be blank,Q2. AYRSPAN (How many years have you lived in an environment where people generally speak Spanish) cannot be blank,If AYRSPAN = blank,,,,,
cls-c-015,015,Error,cls,AYRSPAN,Conformity,AYRSPAN conforms,AYRSPAN must be an integer between 0-110,Q2. AYRSPAN (How many years have you lived in an environment where people generally speak Spanish) must be an integer between 0-110,If AYRSPAN < 0 or AYRSPAN > 110,,,,,
cls-m-016,016,Error,cls,AYRENGL,Missingness,AYRENGL must be present,AYRENGL cannot be blank,Q3. AYRENGL (How many years have you lived in an environment where people generally speak English) cannot be blank,If AYRENGL = blank,,,,,
cls-c-017,017,Error,cls,AYRENGL,Conformity,AYRENGL conforms,AYRENGL must be an integer between 0-110,Q3. AYRENGL (How many years have you lived in an environment where people generally speak English) must be an integer between 0-110,If AYRENGL < 0 or AYRENGL > 110,,,,,
cls-m-018,018,Error,cls,APCSPAN,Missingness,APCSPAN must be present,APCSPAN cannot be blank,Q4. APCSPAN (percentage of time during a normal/average day that you use Spanish) cannot be blank,If APCSPAN = blank,,,,,
cls-c-019,019,Error,cls,APCSPAN,Conformity,APCSPAN conforms,APCSPAN must be an integer between 0-100,Q4. APCSPAN (percentage of time during a normal/average day that you use Spanish) must be an integer between 0-100,If APCSPAN < 0 or APCSPAN > 100,,,,,
cls-m-020,020,Error,cls,APCENGL,Missingness,APCENGL must be present,APCENGL cannot be blank,Q5. APCENGL (percentage of time during a normal/average day that you use English) cannot be blank,If APCENGL = blank,,,,,
cls-c-021,021,Error,cls,APCENGL,Conformity,APCENGL conforms,APCENGL must be an integer between 0-100,Q5. APCENGL (percentage of time during a normal/average day that you use English) must be an integer between 0-100,If APCENGL < 0 or APCENGL > 100,,,,,
cls-m-022,022,Error,cls,ASPKSPAN,Missingness,ASPKSPAN must be present,ASPKSPAN cannot be blank,Q6. ASPKSPAN (level of proficiency when you speak Spanish) cannot be blank,If ASPKSPAN = blank,,,,,
cls-c-023,023,Error,cls,ASPKSPAN,Conformity,ASPKSPAN conforms,ASPKSPAN must be an integer between 1-7,Q6. ASPKSPAN (level of proficiency when you speak Spanish) must be an integer between 1-7,If ASPKSPAN < 1 or ASPKSPAN > 7,,,,,
cls-m-024,024,Error,cls,AREASPAN,Missingness,AREASPAN must be present,AREASPAN cannot be blank,Q7. AREASPAN (level of proficiency when you read Spanish) cannot be blank,If AREASPAN = blank,,,,,
cls-c-025,025,Error,cls,AREASPAN,Conformity,AREASPAN conforms,AREASPAN must be an integer between 1-7,Q7. AREASPAN (level of proficiency when you read Spanish) must be an integer between 1-7,If AREASPAN < 1 or AREASPAN > 7,,,,,
cls-m-026,026,Error,cls,AWRISPAN,Missingness,AWRISPAN must be present,AWRISPAN cannot be blank,Q8. AWRISPAN (level of proficiency when you write in Spanish) cannot be blank,If AWRISPAN = blank,,,,,
cls-c-027,027,Error,cls,AWRISPAN,Conformity,AWRISPAN conforms,AWRISPAN must be an integer between 1-7,Q8. AWRISPAN (level of proficiency when you write in Spanish) must be an integer between 1-7,If AWRISPAN < 1 or AWRISPAN > 7,,,,,
cls-m-028,028,Error,cls,AUNDSPAN,Missingness,AUNDSPAN must be present,AUNDSPAN cannot be blank,Q9. AUNDSPAN (level of proficiency for understanding spoken/ oral Spanish) cannot be blank,If AUNDSPAN = blank,,,,,
cls-c-029,029,Error,cls,AUNDSPAN,Conformity,AUNDSPAN conforms,AUNDSPAN must be an integer between 1-7,Q9. AUNDSPAN (level of proficiency for understanding spoken/ oral Spanish) must be an integer between 1-7,If AUNDSPAN < 1 or AUNDSPAN > 7,,,,,
cls-m-030,030,Error,cls,ASPKENGL,Missingness,ASPKENGL must be present,ASPKENGL cannot be blank,Q11. ASPKENGL (level of proficiency when you speak English) cannot be blank,If ASPKENGL = blank,,,,,
