form_name,packet,question,varname,missingness,conformity,response_labels
F3,CV,0G. F3 - Form date,FRMDATEF3,Always,mm/dd/yyyy or yyyy/mm/dd,
F3,CV,0H. F3 - In-person or remote?,MODEF3,Always,Integers 1-2,"1, In-person|2, Remote"
F3,CV,0J. F3 - Examiner's initials,INITIALSF3,No,Any text,
F3,CV,"1. On a scale of 1-5, how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?",C19COISO,Always,"Integeres 1-5, 8","1, Not at all isolated| 2, A little isolated| 3, Somewhat isolated|4, Very isolated |5, Extremely isolated|8, Decline to answer"
F3,CV,"2. On a scale of 1-5, how disruptive has the COVID-19 pandemic been to your everyday life?",C19CODIS,Always,"Integeres 1-5, 8","1, Not at all disruptive| 2, A little disruptive| 3, Somewhat disruptive|4, Very disruptive|5, Extremely disruptive|8, Decline to answer"
F3,CV,"3. On a scale of 1-5, how often have you felt that you were unable to control the important things in your life?",C19COCTL,Always,"Integeres 1-5, 8","1, Never| 2, Almost never| 3, Sometimes |4, Fairly often|5, Very often|8, Decline to answer"
F3,CV,"4. On a scale of 1-6 (with 1 being “I can shake off stress” and 6 being “Stress eats away at me”), how would you rate your ability to handle stress?",C19CPESTCP,Always,"Integers 1-6, 8",
F3,CV,"5. In the past year, on a scale of 1-6 with 1 being “no stress” and 6 being “extreme stress”, how would you rate the amount of stress in your life (at home and at work)?",C19AMTSTCP,Always,"Integers 1-6, 8",
F3,CV,"6. regarding your feelings of connectedness with friends and family during the COVID-19 pandemic, did you feel or have you felt…",C19CONN,Always,"Integers 1-3, 8","1, Less connected| 2, About the same level of connectionnever| 3, More connected|8, Decline to answer"
F3,CV,7. has the COVID-19 pandemic affected your ability to provide care for the research participant?,C19CARE,Always,"Integers 1-4, 8","1, It is easier to provide care| 2, I am managing the same as always| 3, It is somehwat more difficult to provide care|4, It is extremely difficult to provide care|8, Decline to answer"
F3,CV,"8a. what kind of care assistance, if any, has become harder to access: Respite by family or friends",C19KFAM,Always,"Integers 0-1, 8","0, No|1, Yes|8, Decline to answer"
F3,CV,"8b. what kind of care assistance, if any, has become harder to access: Paid respite by care agencies",C19KAGE,Always,"Integers 0-1, 8","0, No|1, Yes|8, Decline to answer"
F3,CV,"8c. what kind of care assistance, if any, has become harder to access: Day activity programs",C19KACT,Always,"Integers 0-1, 8","0, No|1, Yes|8, Decline to answer"
F3,CV,"8d. what kind of care assistance, if any, has become harder to access: Overnight or extended-stay respite care",C19KOVE,Always,"Integers 0-1, 8","0, No|1, Yes|8, Decline to answer"
F3,CV,"8e. what kind of care assistance, if any, has become harder to access: Ability to find skilled residential facility placement",C19KFAC,Always,"Integers 0-1, 8","0, No|1, Yes|8, Decline to answer"
F3,CV,"8f. what kind of care assistance, if any, has become harder to access: Medical care including physician appointments",C19KAPP,Always,"Integers 0-1, 8","0, No|1, Yes|8, Decline to answer"
F3,CV,"8g. what kind of care assistance, if any, has become harder to access: Other",C19KOTH,Always,"Integers 0-1, 8","0, No|1, Yes|8, Decline to answer"
F3,CV,8g1. Other specify,C19KOTHX,Conditional (e.g. skip pattern),text,
F3,CV,"9. On a scale of 1-5, how much has the COVID-19 pandemic changed your willingness to allow or encourage your care partner’s participation in clinical research if it requires in-person visits to the research clinic?",C19CORE,Always,"Integers 1-5, 8","1, Not at all| 2, A little| 3, Somewhat |4, Very much|5, Extremely|8, Decline to answer"
F3,CV,"10. On a scale of 1-5, how much has the COVID-19 pandemic changed your own personal willingness to participate in clinical research, irrespective of whether in-person or telephone/remote visits are used?",C19COPRE,Always,"Integers 1-5, 8","1, Not at all| 2, A little| 3, Somewhat |4, Very much|5, Extremely|8, Decline to answer"
F3,CV,11. Do you have specific care needs that are not addressed above?,C19COSPX,Never,text,
