"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,participant_and_site_information,,text,"Record ID",,,,,,,,,,,,,
f2_instructions_for_center,participant_and_site_information,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 35px; background-color: #316297; text-align: left;""><span style=""color: #ffffff;""><strong>Instructions for the Center</strong></span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p>This updated COVID-19 survey is an optional form to be filled out by either the participant (if CDR® Dementia Staging Instrument score = 0 or 0.5) or co-participant/caregiver on behalf of the research participant (if CDR® > 0.5); alternatively, it may be administered by study personnel. Participants may decline to answer questions. If Centers want to obtain information on additional issues related to COVID-19, they may do so locally, but any additional material will not be collected for NACC.</p> </div> </div> </div> <p>This form serves as an update to the original COVID-19 impact Survey released in summer 2020, and reflects on several important updates since that time, including vaccinations, repeat infections, evolving understanding of the long-term impacts of COVID-19 particularly on cognitive function, and broader psychosocial stressors which occurred in the same timeline as the initial and subsequent waves of the pandemic. In addition, it is recognized that many of these aspects of the COVID-19 pandemic may have been experienced differently person to person as well as community to community. The survey is intended to capture a summative experience since the onset of the pandemic, may be used either during initial or follow-up visits, and is potentially adaptable to delivery between those times.</p> <p><strong>Attached to this participant form is a supplemental form</strong> for co-participants/caregivers of participants with a CDR® > 0.5. This survey is also optional for Centers. Again, if Centers want to obtain information on additional caregiver issues related to COVID-19, they may do so locally, but this additional material will not be collected for NACC.</p> <p>These surveys may be administered by Centers in conjunction with, or unique and separate from, annual in-person or telephone UDS visits. The timing and option to participate in collection of this important data is entirely up to the individual Centers that are part of the NIA ADRC Program. Each Center should consider administering these surveys to as many participants as possible through either mail, telephone, video, and/or in-person contacts. Centers will need to provide information to participants about local vaccination availability for unvaccinated participants that request information.</p> <p>We have tried to capture important scientific information regarding COVID-19 exposure, medical consequences, and impact on social situations; on cognitive, psychiatric, and behavioral issues; and on caregiver burden and related issues. This information may prove to be extremely useful in our understanding of the impact of such a pandemic on the aging population today and the future.</p></div>",,,,,,,,,,,,,
pt_id,participant_and_site_information,,text,"Participant id",,,,,,,,,,,,,
adcid,participant_and_site_information,,dropdown,"ADRC Name","33, Arizona ADRC | 2, Boston University ADRC | 65, Cleveland ADRC | 4, Columbia University ADRC | 49, Duke/UNC ADRC | 6, Emory University, Goizueta ADRC | 41, 1Florida | 8, Indiana University ADRC | 9, Johns Hopkins ADRC | 7, Massachusetts ADRC | 10, Mayo Clinic ADRC | 11, Mount Sinai School of Medicine ADRC | NACC, NACC | 46, Nevada Exploratory ADRC | 48, New Mexico Exploratory ADRC | 13, Northwestern ADRC | 12, NYU ADRC | 14, Oregon Health and Science University, ADRC | 21, Penn ADRC / Penn Memory Center | 15, Rush University Alzheimer's Disease Center | 67, South Texas ADRC | 39, Stanford ADRC | 28, UAB Exploratory ADRC | 16, UC Davis ADRC | 31, UC Irvine, ADRC | 18, UCSD Shiley-Marcos ADRC | 35, UCSF ADRC | 38, University of Kansas ADRC | 19, University of Kentucky ADRC | 43, University of Michigan ADRC | 22, University of Pittsburgh ADRC | 26, University of Washington ADRC | 30, USC ADRC | 47, Vanderbilt Exploratory ADRC | 42, Wake Forest University, ADRC | 27, Washington University Knight ADRC | 37, Wisconsin ADRC | 40, Yale University ADRC",,autocomplete,,,,,,,,,,
initials,participant_and_site_information,,text,"Examiner's Initials",,,,,,,,,,,,,
f2_form_date,participant_and_site_information,,text,"Form Date",,,datetime_ymd,,,,,,,,,," @NOW-SERVER @HIDDEN-SURVEY"
copyright,participant_and_site_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 35px; background-color: #316297; text-align: left;""><span style=""color: #ffffff;""><strong>Copyright© 2020, 2022 University of Washington. Created and published by the ADRC Clinical Task Force (Allan Levey, MD PhD, Chair) and the National Alzheimer's Coordinating Center (U24 AG072122 - Walter A. Kukull, PhD, Director). All rights reserved.</strong></span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
f3_survey_inst,form_f3_covid_impact_survey_coparticipant,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 70%; height: 35px; background-color: #baf4f7; text-align: left;"">The following COVID-19 survey is an <span style=""text-decoration: underline;"">optional form</span> we would like you to fill out (alternatively, the survey may be administered to you by research study staff). We are asking these questions because COVID-19 has presented very new challenges for us all, and we would like to learn about your experience. We also would like to learn how COVID-19 may have affected your well-being and your ability to support the research participant as their co-participant/caregiver. You may decline to answer any of these questions, and it is alright to do so, but please answer as many of the questions as you feel comfortable with. Your research Center may also have additional questions regarding COVID-19.</td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p> </p> </div> </div> </div></div>",,,,,,,,,,,,,
f3surveystarttime,form_f3_covid_impact_survey_coparticipant,,text,"Survey start time",,,datetime_ymd,,,,,,LV,,,," @NOW-SERVER @HIDDEN-SURVEY"
c19coiso,form_f3_covid_impact_survey_coparticipant," ",radio,"On a scale of 1-5, how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?","1, 1 = Not at all isolated | 2, 2 = A little isolated | 3, 3 = Somewhat isolated | 4, 4 = Very isolated | 5, 5 = Extremely isolated | 8, Decline to answer",,,,,,,y,LV,,,,
c19codis,form_f3_covid_impact_survey_coparticipant,,radio,"On a scale of 1-5, how disruptive has the COVID-19 pandemic been to your everyday life?","1, 1 = Not at all disruptive | 2, 2 = A little disruptive | 3, 3 = Somewhat disruptive | 4, 4 = Very disruptive | 5, 5 = Extremely disruptive | 8, Decline to answer",,,,,,,y,LV,,,,
c19coctl,form_f3_covid_impact_survey_coparticipant,,radio,"On a scale of 1-5, since the start of the COVID-19 pandemic, how often have you felt that you were unable to control the important things in your life?","1, 1= Never | 2, 2= Almost never | 3, 3= Sometimes | 4, 4= Fairly often | 5, 5= Very often | 8, Decline to answer",,,,,,,y,LV,,,,
c19cpestcp,form_f3_covid_impact_survey_coparticipant,,radio,"<div class=""rich-text-field-label""><p>On a scale of 1-6 (with 1 being ""I can shake off stress"" and 6 being ""Stress eats away at me"") how would you rate your ability to handle stress?</p></div>","1, 1= I can shake off stress | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6= Stress eats away at me | 8, Decline to answer",,,,,,,y,LV,,,,
c19amtstcp,form_f3_covid_impact_survey_coparticipant,,radio,"<div class=""rich-text-field-label""><p>In the past year, on a scale of 1-6 with 1 being ""no stress"" and 6 being ""extreme stress"" how would you rate the amount of stress in your life (at home and at work)?</p></div>","1, 1= No Stress | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6= Extreme Stress | 8, Decline to answer",,,,,,,y,LV,,,,
c19conn,form_f3_covid_impact_survey_coparticipant,,radio,"Regarding your feelings of connectedness with friends and family during the COVID-19 pandemic, did you feel or have you felt...","1, Less connected | 2, About the same level of connection | 3, More connected | 8, Decline to answer",,,,,,,y,LV,,,,
c19care,form_f3_covid_impact_survey_coparticipant,,radio,"Has the COVID-19 pandemic affected your ability to provide care for the research participant?","1, It is easier to provide care | 2, I am managing the same as always | 3, It is somewhat more difficult to provide care | 4, It is extremely difficult to provide care | 8, Decline to answer",,,,,,,y,LV,,,,
c19kfam,form_f3_covid_impact_survey_coparticipant,"What kind of care assistance, if any, has become harder to access?",radio,"Respite by family or friends","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kage,form_f3_covid_impact_survey_coparticipant,,radio,"Paid respite by care agencies","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kact,form_f3_covid_impact_survey_coparticipant,,radio,"Day activity programs","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kove,form_f3_covid_impact_survey_coparticipant,,radio,"Overnight or extended-stay respite care","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kfac,form_f3_covid_impact_survey_coparticipant,,radio,"Ability to find skilled residential facility placement","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kapp,form_f3_covid_impact_survey_coparticipant,,radio,"Medical care including physician appointments","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19koth,form_f3_covid_impact_survey_coparticipant,,radio,"Other {c19kothx}","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kothx,form_f3_covid_impact_survey_coparticipant,,text,"Other kind of care assistance",,,,,,,"[c19koth] = '1'",y,LV,,,," @PLACEHOLDER='Specify'"
