field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,participant_and_site_information,,text,"Record ID",,,,,,,,,,,,,
f2_instructions_for_center,participant_and_site_information,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 35px; background-color: #316297; text-align: left;""><span style=""color: #ffffff;""><strong>Instructions for the Center</strong></span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p>This updated COVID-19 survey is an optional form to be filled out by either the participant (if CDR® Dementia Staging Instrument score = 0 or 0.5) or co-participant/caregiver on behalf of the research participant (if CDR® > 0.5); alternatively, it may be administered by study personnel. Participants may decline to answer questions. If Centers want to obtain information on additional issues related to COVID-19, they may do so locally, but any additional material will not be collected for NACC.</p> </div> </div> </div> <p>This form serves as an update to the original COVID-19 impact Survey released in summer 2020, and reflects on several important updates since that time, including vaccinations, repeat infections, evolving understanding of the long-term impacts of COVID-19 particularly on cognitive function, and broader psychosocial stressors which occurred in the same timeline as the initial and subsequent waves of the pandemic. In addition, it is recognized that many of these aspects of the COVID-19 pandemic may have been experienced differently person to person as well as community to community. The survey is intended to capture a summative experience since the onset of the pandemic, may be used either during initial or follow-up visits, and is potentially adaptable to delivery between those times.</p> <p><strong>Attached to this participant form is a supplemental form</strong> for co-participants/caregivers of participants with a CDR® > 0.5. This survey is also optional for Centers. Again, if Centers want to obtain information on additional caregiver issues related to COVID-19, they may do so locally, but this additional material will not be collected for NACC.</p> <p>These surveys may be administered by Centers in conjunction with, or unique and separate from, annual in-person or telephone UDS visits. The timing and option to participate in collection of this important data is entirely up to the individual Centers that are part of the NIA ADRC Program. Each Center should consider administering these surveys to as many participants as possible through either mail, telephone, video, and/or in-person contacts. Centers will need to provide information to participants about local vaccination availability for unvaccinated participants that request information.</p> <p>We have tried to capture important scientific information regarding COVID-19 exposure, medical consequences, and impact on social situations; on cognitive, psychiatric, and behavioral issues; and on caregiver burden and related issues. This information may prove to be extremely useful in our understanding of the impact of such a pandemic on the aging population today and the future. </p></div>",,,,,,,,,,,,,
adcid,participant_and_site_information,,dropdown,"Center ID","33, Arizona ADRC | 2, Boston University ADRC | 65, Cleveland ADRC | 4, Columbia University ADRC | 49, Duke/UNC ADRC | 6, Emory University, Goizueta ADRC | 41, 1Florida | 8, Indiana University ADRC | 9, Johns Hopkins ADRC | 7, Massachusetts ADRC | 10, Mayo Clinic ADRC | 11, Mount Sinai School of Medicine ADRC | NACC, NACC | 46, Nevada Exploratory ADRC | 48, New Mexico Exploratory ADRC | 13, Northwestern ADRC | 12, NYU ADRC | 14, Oregon Health and Science University, ADRC | 21, Penn ADRC / Penn Memory Center | 15, Rush University Alzheimer's Disease Center | 67, South Texas ADRC | 39, Stanford ADRC | 28, UAB Exploratory ADRC | 16, UC Davis ADRC | 31, UC Irvine, ADRC | 18, UCSD Shiley-Marcos ADRC | 35, UCSF ADRC | 38, University of Kansas ADRC | 19, University of Kentucky ADRC | 43, University of Michigan ADRC | 22, University of Pittsburgh ADRC | 26, University of Washington ADRC | 30, USC ADRC | 47, Vanderbilt Exploratory ADRC | 42, Wake Forest University, ADRC | 27, Washington University Knight ADRC | 37, Wisconsin ADRC | 40, Yale University ADRC","Note: In research data sets generated by NACC, the variable NACCADCID is replaced by a randomly generated NACCADC.",autocomplete,,,,,,,,,,
ptid,participant_and_site_information,,text,"ADC subject ID

Follow your Center's Patient ID scheme; use
same ID as in MDS, if subject is enrolled in
MDS.",,"Number must be unique within data from your Center and be used across all visits for the subject. <b>NOTE: PTID is replaced by a randomly generated NACCID in research data sets generated by NACC.</b>",,,,,,,,,,,
c19cdr,participant_and_site_information,,yesno,"Is the participant's CDR® > 0.5?",,,,,,,,,,,,,
c19f2cp,participant_and_site_information,,radio,"<div class=""rich-text-field-label""><p>Who will be filling in the F2 Participant Form?</p> <p><em>(The F2 form is for questions about the participant)</em></p></div>","1, Participant | 2, Co-participant | 3, Clinician",,,,,,,,,,,,
c19f2d,participant_and_site_information,,radio,"How are you administering the F2 form?","1, In-person electronic | 2, In-person printed Form | 3, Email | 4, Mail",,,,,,"[c19cdr] = '0' or [c19f2cp] = '1'",,,,,,
f3_participation,participant_and_site_information,,yesno,"<div class=""rich-text-field-label""><p>Will a co-participant be filling out the F3 Form? </p> <p> </p> <p><em>(The F3 form is for questions about the Co-participant)</em></p></div>",,,,,,,,,,,,,
initials,participant_and_site_information,,text,"Examiner's Initials",,"NOTE: INITIALS is never released in research data sets generated by NACC.",,,,,,,,,,,
initials_warning,participant_and_site_information,,descriptive,"You have entered one of the following:
single quotes (')
double quotes ("")
ampersands (&)
percentage signs (%)

Those characters are not allowed for the Examiner's initials field. Please return to that field and remove the character(s).",,,,,,,"contains([initials], ""&#34"") or contains([initials], ""&#38"") or contains([initials], ""&"") or contains([initials], ""%"")",,,,,,
visitmo,participant_and_site_information,,dropdown,"Visit Month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December",,,,,,,y,,,,,
visitday,participant_and_site_information,,dropdown,"Visit Day","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31",,,,,,,y,,,,,
visityr,participant_and_site_information,,dropdown,"Visit Year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027",,,,,,,y,,,,,
f2_form_date,participant_and_site_information,,text,"Form Date",,,datetime_ymd,,,,,,,,,,"@NOW-SERVER @HIDDEN"
copyright,participant_and_site_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 35px; background-color: #316297; text-align: left;""><span style=""color: #ffffff;""><strong>Copyright© 2020, 2022 University of Washington. Created and published by the ADRC Clinical Task Force (Allan Levey, MD PhD, Chair) and the National Alzheimer's Coordinating Center (U24 AG072122 - Walter A. Kukull, PhD, Director). All rights reserved.</strong></span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
f2_survey_inst,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 70%; height: 35px; background-color: #baf4f7; text-align: left;""><span style=""color: #000000;""><strong>The following COVID-19 survey is an <span style=""text-decoration: underline;"">optional form</span> we would like you to fill out (or, alternatively, the survey may be administered to you by research study staff). We are asking these questions because COVID-19 has presented multiple challenges for us all, and we would like to learn about your experience. We also would like to learn how COVID-19 affects memory and health. As a research participant, you may decline to answer any of these questions, and it is alright to do so, but please answer as many of the questions as you feel comfortable with. Your research center may also have additional questions regarding COVID-19.</strong></span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p> </p> </div> </div> </div></div>",,,,,,,,,,,,,
surveystarttime,form_f2_covid_impact_survey_participant,,text,"Survey start time",,,datetime_ymd,,,,,,LV,,,,"@NOW-SERVER @HIDDEN-SURVEY"
c19diag,form_f2_covid_impact_survey_participant," ",radio,"During the COVID-19 pandemic, have you tested positive for COVID-19 and/or were diagnosed with COVID-19 by a healthcare provider)?","0, No | 1, Yes, based on a positive test for acute infection | 2, Yes, presumed COVID-19 diagnosis by healthcare provider but not tested | 8, Decline to answer | 9, Unsure/unknown",,,,,,,y,LV,,,,
c19sympt,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>During the COVID-19 pandemic, have you experienced new or worsening symptoms (see below) that led you to think you had COVID-19 (novel coronavirus) such as fever, cough, difficulty breathing, persistent pain or pressure in the chest, chills, repeated shaking with chills, muscle pain, headache, sore throat, new loss of taste or smell, new confusion or inability to arouse, or bluish lips or face?</p></div>","0, No | 1, Yes | 2, Other {c19syotx} | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19diag] = '0' or [c19diag] = '8' or [c19diag] = '9'",y,LV,,,,
c19syotx,form_f2_covid_impact_survey_participant,,text,"Please specify",,,,,,,"[c19sympt] = '2'",,,,,,
c19tested,form_f2_covid_impact_survey_participant,,radio,"Have you ever been tested for acute COVID-19 infection?","1, No, not tested (wanted to but unable) | 2, No, not tested (did not want to get tested) | 3, Yes, I was tested once | 4, Yes, I was tested more than once | 8, Decline to answer | 9, Unsure/Unknown",,,,,,"[c19diag] = '0' or [c19diag] = '8' or [c19diag] = '9'",y,LV,,,,
