"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
f2_survey_inst,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 70%; height: 35px; background-color: #baf4f7; text-align: left;""><span style=""color: #000000;""><strong>The following COVID-19 survey is an <span style=""text-decoration: underline;"">optional form</span> we would like you to fill out (or, alternatively, the survey may be administered to you by research study staff). We are asking these questions because COVID-19 has presented multiple challenges for us all, and we would like to learn about your experience. We also would like to learn how COVID-19 affects memory and health. As a research participant, you may decline to answer any of these questions, and it is alright to do so, but please answer as many of the questions as you feel comfortable with. Your research center may also have additional questions regarding COVID-19.</strong></span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p> </p> </div> </div> </div></div>",,,,,,,,,,,,,
surveystarttime,form_f2_covid_impact_survey_participant,,text,"Survey start time",,,datetime_ymd,,,,,,LV,,,," @NOW-SERVER @HIDDEN-SURVEY"
c19diag,form_f2_covid_impact_survey_participant," ",radio,"During the COVID-19 pandemic, have you tested positive for COVID-19 and/or were diagnosed with COVID-19 by a healthcare provider)?","0, No | 1, Yes, based on a positive test for acute infection | 2, Yes, presumed COVID-19 diagnosis by healthcare provider but not tested | 8, Decline to answer | 9, Unsure/unknown",,,,,,,y,LV,,,,
c19sympt,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>During the COVID-19 pandemic, have you experienced new or worsening symptoms (see below) that led you to think you had COVID-19 (novel coronavirus) such as fever, cough, difficulty breathing, persistent pain or pressure in the chest, chills, repeated shaking with chills, muscle pain, headache, sore throat, new loss of taste or smell, new confusion or inability to arouse, or bluish lips or face?</p></div>","0, No | 1, Yes | 2, Other {c19syotx} | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19diag] = '0' or [c19diag] = '8' or [c19diag] = '9'",y,LV,,,,
c19syotx,form_f2_covid_impact_survey_participant,,text,"Please specify",,,,,,,"[c19sympt] = '2'",,,,,,
c19tested,form_f2_covid_impact_survey_participant,,radio,"Have you ever been tested for acute COVID-19 infection?","1, No, not tested (wanted to but unable) | 2, No, not tested (did not want to get tested) | 3, Yes, I was tested once | 4, Yes, I was tested more than once | 8, Decline to answer | 9, Unsure/Unknown",,,,,,"[c19diag] = '0' or [c19diag] = '8' or [c19diag] = '9'",y,LV,,,,
tableforpercentofnormal,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms),<br />what percent of normal do you feel?<span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 24.9033%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19norm}</td> <td style=""width: 50%;"">%</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[c19diag] = '1' or [c19diag] = '2'",,,,,,
c19norm,form_f2_covid_impact_survey_participant,,text,"Percent of normal",,,number,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
c19normx,form_f2_covid_impact_survey_participant,,notes,"Why are you not feeling perfectly normal?",,,,,,,"[c19norm] <> 100 and [c19norm]<>""""",y,LV,,,,
c19symaf,form_f2_covid_impact_survey_participant,,radio,"Over the past month, how often did symptoms from past or current COVID-19 infection(s) affect your daily life?","1, Never | 2, Seldom (1-2 days per week) | 3, Sometimes (3-4 days per week) | 4, Often (5-6 days per week) | 5, Every day | 8, Decline to answer",,,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
