error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
F3-FCV-m-001,1,Error,F3,FCV,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Q0a. PACKET (Packet code) cannot be blank ,If PACKET = blank,,,,,
F3-FCV-c-002,2,Error,F3,FCV,PACKET,Conformity,PACKET conforms,PACKET must be CV,Q0a. PACKET (Packet code) must be CV,If PACKET ne CV,,,,,
F3-FCV-m-003,3,Error,F3,FCV,FORMID,Missingness,FORMID must be present,FORMID cannot be blank,Q0b. FORMID (Form ID) cannot be blank ,If FORMID = blank,,,,,
F3-FCV-c-004,4,Error,F3,FCV,FORMID,Conformity,FORMID conforms,"FORMID must be F1, F2, or F3","Q0b. FORMID (Form ID) must be F1, F2, or F3",If FORMID ne F1 or FORMID ne F2 FORMID ne F3,,,,,
F3-FCV-m-005,5,Error,F3,FCV,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q0c. FORMVER (Form version number) cannot be blank ,If FORMVER = blank,,,,,
F3-FCV-c-006,6,Error,F3,FCV,FORMVER,Conformity,FORMVER conforms,FORMVER must be 2,Q0c. FORMVER (Form version number) must be 2,If FORMVER ne 2,,,,,
F3-FCV-m-007,7,Error,F3,FCV,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0d. ADCID (ADCID) cannot be blank,If ADCID = blank,,"MODEB9, RMREASB9",,,
F3-FCV-c-008,8,Error,F3,FCV,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Q0d. ADCID (ADCID) must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,"MODEB9, RMREASB9",,,
F3-FCV-m-009,9,Error,F3,FCV,PTID,Missingness,PTID must be present,PTID cannot be blank,Q0e. PTID (ADRC Participant ID) cannot be blank,If PTID = blank,,,,,
F3-FCV-c-010,10,Error,F3,FCV,C19COISO_F,Conformity,C19COISO_F conforms,C19COISO_F must be an integer between 1-5 or 8,"Q1. C19COISO_F (On a scale of 1-5, since [last f3_form_date], how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?) must be an integer between 1-5 or 8",IF C19COISO_F < 1 or (C19COISO_F > 5 and C19COISO_F ne 8),,"MODEB9, RMMODEB9",,,
F3-FCV-m-011,11,Error,F3,FCV,C19COISO_F,Missingness,C19COISO_F must be present,C19COISO_F cannot be blank,"Q1. C19COISO_F (On a scale of 1-5, since [last f3_form_date], how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?) cannot be blank",If C19COISO_F = blank,,"MODEB9, RMMODEB9",,,
F3-FCV-c-012,12,Error,F3,FCV,C19CODIS_F,Conformity,C19CODIS_F conforms,C19CODIS_F must be an integer between 1-5 or 8,"Q2. C19CODIS_F (On a scale of 1-5, since [last f3_form_date], how disruptive has the COVID-19 pandemic been to your everyday life?) must be an integer between 1-5 or 8",IF C19CODIS_F < 1 or (C19CODIS_F > 5 and C19CODIS_F ne 8),,,,,
