field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
f3_survey_inst,form_f3_covid_impact_survey_coparticipant,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 70%; height: 35px; background-color: #baf4f7; text-align: left;"">The following COVID-19 survey is an <span style=""text-decoration: underline;"">optional form</span> we would like you to fill out (alternatively, the survey may be administered to you by research study staff). We are asking these questions because COVID-19 has presented very new challenges for us all, and we would like to learn about your experience. We also would like to learn how COVID-19 may have affected your well-being and your ability to support the research participant as their co-participant/caregiver. You may decline to answer any of these questions, and it is alright to do so, but please answer as many of the questions as you feel comfortable with. Your research Center may also have additional questions regarding COVID-19.</td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p> </p> </div> </div> </div></div>",,,,,,,,,,,,,
f3surveystarttime,form_f3_covid_impact_survey_coparticipant,,text,"Survey start time",,,datetime_ymd,,,,,,LV,,,,"@NOW-SERVER @HIDDEN-SURVEY"
c19coiso,form_f3_covid_impact_survey_coparticipant," ",radio,"On a scale of 1-5, how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?","1, 1 = Not at all isolated | 2, 2 = A little isolated | 3, 3 = Somewhat isolated | 4, 4 = Very isolated | 5, 5 = Extremely isolated | 8, Decline to answer",,,,,,,y,LV,,,,
c19codis,form_f3_covid_impact_survey_coparticipant,,radio,"On a scale of 1-5, how disruptive has the COVID-19 pandemic been to your everyday life?","1, 1 = Not at all disruptive | 2, 2 = A little disruptive | 3, 3 = Somewhat disruptive | 4, 4 = Very disruptive | 5, 5 = Extremely disruptive | 8, Decline to answer",,,,,,,y,LV,,,,
c19coctl,form_f3_covid_impact_survey_coparticipant,,radio,"On a scale of 1-5, since the start of the COVID-19 pandemic, how often have you felt that you were unable to control the important things in your life?","1, 1= Never | 2, 2= Almost never | 3, 3= Sometimes | 4, 4= Fairly often | 5, 5= Very often | 8, Decline to answer",,,,,,,y,LV,,,,
c19cpestcp,form_f3_covid_impact_survey_coparticipant,,radio,"<div class=""rich-text-field-label""><p>On a scale of 1-6 (with 1 being ""I can shake off stress"" and 6 being ""Stress eats away at me"") how would you rate your ability to handle stress?</p></div>","1, 1= I can shake off stress | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6= Stress eats away at me | 8, Decline to answer",,,,,,,y,LV,,,,
c19amtstcp,form_f3_covid_impact_survey_coparticipant,,radio,"<div class=""rich-text-field-label""><p>In the past year, on a scale of 1-6 with 1 being ""no stress"" and 6 being ""extreme stress"" how would you rate the amount of stress in your life (at home and at work)?</p></div>","1, 1= No Stress | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6= Extreme Stress | 8, Decline to answer",,,,,,,y,LV,,,,
c19conn,form_f3_covid_impact_survey_coparticipant,,radio,"Regarding your feelings of connectedness with friends and family during the COVID-19 pandemic, did you feel or have you felt...","1, Less connected | 2, About the same level of connection | 3, More connected | 8, Decline to answer",,,,,,,y,LV,,,,
c19care,form_f3_covid_impact_survey_coparticipant,,radio,"Has the COVID-19 pandemic affected your ability to provide care for the research participant?","1, It is easier to provide care | 2, I am managing the same as always | 3, It is somewhat more difficult to provide care | 4, It is extremely difficult to provide care | 8, Decline to answer",,,,,,,y,LV,,,,
c19kfam,form_f3_covid_impact_survey_coparticipant,"What kind of care assistance, if any, has become harder to access?",radio,"Respite by family or friends","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kage,form_f3_covid_impact_survey_coparticipant,,radio,"Paid respite by care agencies","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kact,form_f3_covid_impact_survey_coparticipant,,radio,"Day activity programs","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kove,form_f3_covid_impact_survey_coparticipant,,radio,"Overnight or extended-stay respite care","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kfac,form_f3_covid_impact_survey_coparticipant,,radio,"Ability to find skilled residential facility placement","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kapp,form_f3_covid_impact_survey_coparticipant,,radio,"Medical care including physician appointments","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19koth,form_f3_covid_impact_survey_coparticipant,,radio,"Other {c19kothx}","0, No | 1, Yes | 8, Decline to answer",,,,,,,y,,,care_assistance,,
c19kothx,form_f3_covid_impact_survey_coparticipant,,text,"Other kind of care assistance",,,,,,,"[c19koth] = '1'",y,LV,,,,@PLACEHOLDER='Specify'
c19core,form_f3_covid_impact_survey_coparticipant,,radio,"<div class=""rich-text-field-label""><p>On a scale of 1-5, how much has the COVID-19 pandemic changed your willingness to allow or encourage your care partner's participation in clinical research if it requires in-person visits to the research clinic?</p></div>","1, 1 = Not at all | 2, 2 = A little | 3, 3 = Somewhat | 4, 4 = Very | 5, 5 = Extremely | 8, Decline to answer",,,,,,,y,LV,,,,
c19copre,form_f3_covid_impact_survey_coparticipant,,radio,"<div class=""rich-text-field-label""><p>On a scale of 1-5, how much has the COVID-19 pandemic changed your own personal willingness to participate in clinical research, irrespective of whether in-person or telephone/remote visits are used?</p></div>","1, 1 = Not at all | 2, 2 = A little | 3, 3 = Somewhat | 4, 4 = Very | 5, 5 = Extremely | 8, Decline to answer",,,,,,,y,LV,,,,
c19cospx,form_f3_covid_impact_survey_coparticipant,,yesno,"Do you have specific care needs that are not addressed above?",,,,,,,,y,LV,,,,
c10cospx,form_f3_covid_impact_survey_coparticipant,,notes,"<div class=""rich-text-field-label""><p>Please list any care needs (both yours and the research participant's) that are not being met<br />because of the COVID-19 pandemic:</p></div>",,,,,,,"[c19cospx] = '1'",,LH,,,,@CHARLIMIT=100
thank_you_f3,form_f3_covid_impact_survey_coparticipant," ",descriptive,"Thank you for taking the time to answer these questions. ",,,,,,,,,,,,,
surveycompletiontime,form_f3_covid_impact_survey_coparticipant,,text,"Survey completion time",,,datetime_ymd,,,,,,,,,,"@NOW-SERVER @HIDDEN-SURVEY"
total_duration_f3,form_f3_covid_impact_survey_coparticipant,,calc,"Total duration for F3","datediff([f3surveystarttime], [surveycompletiontime], 'm')",,,,,,,,,,,,@HIDDEN-SURVEY
