"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,form_header,,text,"Record ID",,,,,,,,y,,,,,
ptid,form_header,,text,PTID,,,,,,y,,y,,,,,
visitdt,form_header,,text,"Visit date",,MM-DD-YYYY,date_mdy,,,y,,y,,,,,
a1d_instructions,form_a1d_participant_health_history,,descriptive,"INSTRUCTIONS: This form is to be completed by intake interviewer based on ADC scheduling records, subject interview, medical records, and proxy co-participant report (as needed). For additional clarification and examples, see Down Syndrome Module Coding Guidebook for Initial Visit Packet, Form A1D. Check only one box per question. ",,,,,,,,,,,,,
dsdayprg,form_a1d_participant_health_history,"What are the participant's weekday activities?",radio,"Day program","0, No | 1, Yes | 9, Unknown",,,,,,,y,,1a,activities,,
dswrkshp,form_a1d_participant_health_history,,radio,Workshops,"0, No | 1, Yes | 9, Unknown",,,,,,,y,,1b,activities,,
dshome,form_a1d_participant_health_history,,radio,"Stays at home","0, No | 1, Yes | 9, Unknown",,,,,,,y,,1c,activities,,
dsjob,form_a1d_participant_health_history,,radio,"Community paid job","0, No | 1, Yes | 9, Unknown",,,,,,,y,,1d,activities,,
dsothac,form_a1d_participant_health_history,,radio,Other,"0, No | 1, Yes | 9, Unknown",,,,,,,y,,1e,activities,,
dsothacx,form_a1d_participant_health_history,,text,"Other weekday activity: Specify",,,,,,,"[dsothac] = ""1""",y,,1e.1,,,
dsmomage,form_a1d_participant_health_history,,text,"Age of participant's mother at participant's birth",,"10-60; 999=unknown",integer,10,999,,,y,,2,,,
dsmomage_warning,form_a1d_participant_health_history,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid age - must be between 10 and 60. Enter 999 if unknown.</span></p></div>",,,,,,,"[dsmomage] <10 or ([dsmomage] >60 and [dsmomage] != 999)",,,,,,
dschdasd,form_a1d_participant_health_history,,radio,"Congenital heart disease - atrial septal defect","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,3,,,
dschdvsd,form_a1d_participant_health_history,,radio,"Congenital heart disease - ventricular septal defect","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,4,,,
dschdacd,form_a1d_participant_health_history,,radio,"Congenital heart disease - atrioventricular (AV) canal defect","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,5,,,
dsahdtof,form_a1d_participant_health_history,,radio,"Congenital heart disease - tetralogy of Fallot","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,6,,,
dschdoth,form_a1d_participant_health_history,,radio,"Congenital heart disease - other","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,7,,,
dschdotx,form_a1d_participant_health_history,,text,"Specify other congenital heart disease",,,,,,,"[dschdoth] = ""1"" or [dschdoth] = ""2"" or [dschdoth] = ""3""",y,,7a,,,
dshypotn,form_a1d_participant_health_history,,radio,"Cardiovascular disease - hypotension","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,8,,,
dssync,form_a1d_participant_health_history,,radio,"Cardiovascular disease - syncope","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,9,,,
dspneum,form_a1d_participant_health_history,,radio,"Pulmonary disease - pneumonia/aspiration","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,10,,,
dshepat,form_a1d_participant_health_history,,radio,"Hepatic conditions","1, Hepatitis B carrier | 2, Hepatitis B infected | 3, Hepatitis B immune | 4, Had hepatitis B vaccine | 9, Unknown",,,,,,,y,,11,,,
dsrosac,form_a1d_participant_health_history,,radio,"Dermatologic conditions - rosacea","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,12,,,
dsalop,form_a1d_participant_health_history,,radio,"Dermatologic conditions - alopecia","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,13,,,
dspsor,form_a1d_participant_health_history,,radio,"Dermatologic conditions - psoriasis","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,14,,,
dsosteo,form_a1d_participant_health_history,,radio,"Musculoskeletal conditions - osteoporosis/osteopenia","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,15,,,
dsgout,form_a1d_participant_health_history,,radio,"Musculoskeletal conditions - gout","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,16,,,
dsataxsu,form_a1d_participant_health_history,,radio,"Musculoskeletal conditions - atlanto-axial subluxation","0, Absent | 1, Present | 9, Unknown",,,,,,,y,,17,,,
