error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a1d-dsivp-m-001,001,Error,a1d,IDS,FRMDATE_A1D,Missingness,FRMDATE_A1D must be present,FRMDATE_A1D cannot be blank,Q0a. FRMDATE_A1D (A1D form date) cannot be blank ,If FRMDATE_A1D = blank,,,,,
a1d-dsivp-c-002,002,Error,a1d,IDS,FRMDATE_A1D,Conformity,FRMDATE_A1D conforms,FRMDATE_A1D must be a date,Q0a. FRMDATE_A1D (A1D form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATE_A1D is not mm/dd/yyyy or yyyy/mm/dd,,,,,
a1d-dsivp-m-003,003,Error,a1d,IDS,DSDAYPRG,Missingness,DSDAYPRG must be present,DSDAYPRG cannot be blank,Q1a. DSDAYPRG (Day program) cannot be blank,If DSDAYPRG = blank,,,,,
a1d-dsivp-c-004,004,Error,a1d,IDS,DSDAYPRG,Conformity,DSDAYPRG conforms,DSDAYPRG must be an integer between 0-1 or 9,Q1a. DSDAYPRG (Day program) must be an integer between 0-1 or 9,If DSDAYPRG < 0 or DSDAYPRG > 1 and ne 9,,,,,
a1d-dsivp-m-005,005,Error,a1d,IDS,DSWRKSHP,Missingness,DSWRKSHP must be present,DSWRKSHP cannot be blank,Q1b. DSWRKSHP (Workshops) cannot be blank,If DSWRKSHP = blank,,,,,
a1d-dsivp-c-006,006,Error,a1d,IDS,DSWRKSHP,Conformity,DSWRKSHP conforms,DSWRKSHP must be an integer between 0-1 or 9,Q1b. DSWRKSHP (Workshops) must be an integer between 0-1 or 9,If DSWRKSHP < 0 or DSWRKSHP > 1 and ne 9 ,,,,,
a1d-dsivp-m-007,007,Error,a1d,IDS,DSHOME,Missingness,DSHOME must be present,DSHOME cannot be blank,Q1c. DSHOME (Stays at home) cannot be blank,If DSHOME = blank,,,,,
a1d-dsivp-c-008,008,Error,a1d,IDS,DSHOME,Conformity,DSHOME conforms,DSHOME must be an integer between 0-1 or 9,Q1c. DSHOME (Stays at home) must be an integer between 0-1 or 9,If DSHOME < 0 or DSHOME > 1 and ne 9,,,,,
a1d-dsivp-m-009,009,Error,a1d,IDS,DSJOB,Missingness,DSJOB must be present,DSJOB cannot be blank,Q1d. DSJOB (Community paid job) cannot be blank,If DSJOB = blank,,,,,
a1d-dsivp-c-010,010,Error,a1d,IDS,DSJOB,Conformity,DSJOB conforms,DSJOB must be an integer between 0-1 or 9,Q1d. DSJOB (Community paid job) must be an integer between 0-1 or 9,If DSJOB < 0 or DSJOB > 1 and ne 9,,,,,
a1d-dsivp-m-011,011,Error,a1d,IDS,DSOTHAC,Missingness,DSOTHAC must be present,DSOTHAC cannot be blank,Q1e. DSOTHAC (Other weekday activity) cannot be blank,If DSOTHAC = blank,,,,,
a1d-dsivp-c-012,012,Error,a1d,IDS,DSOTHAC,Conformity,DSOTHAC conforms,DSOTHAC must be an integer between 0-1 or 9,Q1e. DSOTHAC (Other weekday activity) must be an integer between 0-1 or 9,If DSOTHAC < 0 or DSOTHAC > 1 and ne 9,,,,,
a1d-dsivp-m-013,013,Error,a1d,IDS,DSOTHACX,Missingness,DSOTHACX conditionally present,"If DSOTHAC = 1, DSOTHACX cannot be blank","If Q1e. DSOTHAC (Other weekday activity) = 1 (Yes), Q1e1. DSOTHACX (Other weekday activity - Specify) cannot be blank",If DSOTHAC = 1 and DSOTHACX = blank,,"DSOTHAC, DSOTHACX",,,
