"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dsdayprg,form_a1d_participant_health_history,"What are the participant's weekday activities?",radio,"Day program","0, No | 1, Yes | 9, Unknown",,,,,,,y,,1a,activities,,
dswrkshp,form_a1d_participant_health_history,,radio,Workshops,"0, No | 1, Yes | 9, Unknown",,,,,,,y,,1b,activities,,
dshome,form_a1d_participant_health_history,,radio,"Stays at home","0, No | 1, Yes | 9, Unknown",,,,,,,y,,1c,activities,,
dsjob,form_a1d_participant_health_history,,radio,"Community paid job","0, No | 1, Yes | 9, Unknown",,,,,,,y,,1d,activities,,
dsothac,form_a1d_participant_health_history,,radio,Other,"0, No | 1, Yes | 9, Unknown",,,,,,,y,,1e,activities,,
dsothacx,form_a1d_participant_health_history,,text,"Other weekday activity: Specify",,,,,,,"[dsothac] = ""1""",y,,1e.1,,,
dsmomage,form_a1d_participant_health_history,,text,"Age of participant's mother at participant's birth",,"10-60; 999=unknown",integer,0,999,,,y,,2,,,
dsmomage_warning,form_a1d_participant_health_history,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid age - must be between 10 and 60. Enter 999 if unknown.</span></p></div>",,,,,,,"[dsmomage] <10 or ([dsmomage] >60 and [dsmomage] != 999)",,,,,,
dschdasd,form_a1d_participant_health_history,,radio,"Congenital heart disease - atrial septal defect","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,3,,,
dschdvsd,form_a1d_participant_health_history,,radio,"Congenital heart disease - ventricular septal defect","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,4,,,
dschdacd,form_a1d_participant_health_history,,radio,"Congenital heart disease - atrioventricular (AV) canal defect","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,5,,,
dsahdtof,form_a1d_participant_health_history,,radio,"Congenital heart disease - tetralogy of Fallot","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,6,,,
dschdoth,form_a1d_participant_health_history,,radio,"Congenital heart disease - other","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",,,,,,,y,,7,,,
dschdotx,form_a1d_participant_health_history,,text,"Specify other congenital heart disease",,,,,,,"[dschdoth] = ""1"" or [dschdoth] = ""2"" or [dschdoth] = ""3""",y,,7a,,,
dshypotn,form_a1d_participant_health_history,,radio,"Cardiovascular disease - hypotension","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,8,,,
dssync,form_a1d_participant_health_history,,radio,"Cardiovascular disease - syncope","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,9,,,
dspneum,form_a1d_participant_health_history,,radio,"Pulmonary disease - pneumonia/aspiration","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,10,,,
dshepat,form_a1d_participant_health_history,,radio,"Hepatic conditions","1, Hepatitis B carrier | 2, Hepatitis B infected | 3, Hepatitis B immune | 4, Had hepatitis B vaccine | 9, Unknown",,,,,,,y,,11,,,
dsrosac,form_a1d_participant_health_history,,radio,"Dermatologic conditions - rosacea","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,12,,,
dsalop,form_a1d_participant_health_history,,radio,"Dermatologic conditions - alopecia","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,13,,,
dspsor,form_a1d_participant_health_history,,radio,"Dermatologic conditions - psoriasis","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,14,,,
dsosteo,form_a1d_participant_health_history,,radio,"Musculoskeletal conditions - osteoporosis/osteopenia","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,15,,,
dsgout,form_a1d_participant_health_history,,radio,"Musculoskeletal conditions - gout","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,16,,,
dsataxsu,form_a1d_participant_health_history,,radio,"Musculoskeletal conditions - atlanto-axial subluxation","0, Absent | 1, Present | 9, Unknown",,,,,,,y,,17,,,
dsfract,form_a1d_participant_health_history,,radio,"Musculoskeletal conditions - fractures in the past five years","0, No | 1, Yes {dsfractx} | 9, Unknown",,,,,,,y,,18,,,
dsfractx,form_a1d_participant_health_history,,text,Specify,,,,,,,"[dsfract] = ""1""",y,,18a,,,
dshypoth,form_a1d_participant_health_history,,radio,"Endocrine/metabolic conditions - hypothyroidism","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,19,,,
dshashim,form_a1d_participant_health_history,,radio,"Endocrine/metabolic conditions - Hashimoto's thyroiditis","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,20,,,
dshyper,form_a1d_participant_health_history,,radio,"Endocrine/metabolic conditions - hyperthyroidism","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,21,,,
dsthymed,form_a1d_participant_health_history,,radio,"Endocrine/metabolic conditions - currently on thyroid replacement medication","0, No | 1, Yes {dsthymex} | 9, Unknown",,,,,,,y,,22,,,
dsthymex,form_a1d_participant_health_history,,text,Specify,,,,,,,"[dsthymed] = '1'",y,,22a,,,
dsvddef,form_a1d_participant_health_history,,radio,"Endocrine/metabolic conditions - vitamin D deficiency","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,23,,,
dsmenstr,form_a1d_participant_health_history,,radio,"Menstrual history - has the participant ever menstruated?","0, No | 1, Yes, active | 2, Yes, menopausal | 9, Unknown/not applicable",,,,,,,y,,24,,,
dsmnsage,form_a1d_participant_health_history,,text,"Menstrual history - age of onset of menses",,"8-20; 888=not applicable, 999=unknown",integer,0,999,,,y,,25,,,
dsmnsage_warning,form_a1d_participant_health_history,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid age - must be between 8 and 20. Enter 888 if not applicable or 999 if unknown.</span></p></div>",,,,,,,"[dsmnsage] <8 or ([dsmnsage] >20 and [dsmnsage] != 888 and [dsmnsage] != 999)",,,,,,
dsmnpage,form_a1d_participant_health_history,,text,"Menstrual history - age of onset of menopause",,"20-65; 888=not applicable, 999=unknown",integer,0,999,,,y,,26,,,
dsmnpage_warning,form_a1d_participant_health_history,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid age - must be between 20 and 65. Enter 888 if not applicable or 999 if unknown.</span></p></div>",,,,,,,"[dsmnpage] <20 or ([dsmnpage] >65 and [dsmnpage] != 888 and [dsmnpage] != 999)",,,,,,
dshrt,form_a1d_participant_health_history,,radio,"Hormone replacement therapy - has the participant received HRT?","0, No | 1, Yes | 9, Unknown",,,,,,,y,,27,,,
dsagehrt,form_a1d_participant_health_history,,text,"Hormone replacement therapy - at what age did HRT begin?",,"0-110; 888=not applicable, 999=unknown",integer,0,999,,,y,,28,,,
dsagehrt_warning,form_a1d_participant_health_history,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid age - must be between 0 and 110. Enter 888 if not applicable or 999 if unknown.</span></p></div>",,,,,,,"[dsagehrt] <0 or ([dsagehrt] >110 and [dsagehrt] != 888 and [dsagehrt] != 999)",,,,,,
dsyrshrt,form_a1d_participant_health_history,,radio,"Hormone replacement therapy - how many years has the participant been on HRT?","1, 1-3 years | 2, 4-6 years | 3, >6 years | 9, Unknown/not applicable",,,,,,,y,,29,,,
dsceliac,form_a1d_participant_health_history,,radio,"Gastrointestinal conditions - celiac disease","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,30,,,
dsaniron,form_a1d_participant_health_history,,radio,"Hematopoietic/lymphatic disease - anemia with iron deficiency","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,31,,,
dsanfol,form_a1d_participant_health_history,,radio,"Hematopoietic/lymphatic disease - anemia with folate deficiency","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,32,,,
dslupus,form_a1d_participant_health_history,,radio,"Autoimmune conditions - lupus","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,33,,,
dsntrpn,form_a1d_participant_health_history,,radio,"Autoimmune conditions - chronic neutropenia","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",,,,,,,y,,34,,,
dstumor,form_a1d_participant_health_history,,radio,"Cancer - solid tumor","0, No | 1, Yes (specify primary site) {dstumorx} | 9, Unknown",,,,,,,y,,35,,,
dstumorx,form_a1d_participant_health_history,,text,"Specify primary site",,,,,,,"[dstumor] = '1'",y,,35a,,,
dsleukem,form_a1d_participant_health_history,,radio,"Cancer - leukemia","0, No | 1, Yes, childhood transient myeloproliferative disorder | 2, Yes, childhood leukemia | 3, Yes, adult onset leukemia | 9, Unknown",,,,,,,y,,36,,,
dshrtrpr,form_a1d_participant_health_history,,radio,"Major surgical procedures - congenital heart-defect repair","0, No | 1, Yes {dshrtrpx} | 9, Unknown",,,,,,,y,,37,,,
dshrtrpx,form_a1d_participant_health_history,,text,Specify,,,,,,,"[dshrtrpr] = '1'",y,,37.1,,,
dshrtryr,form_a1d_participant_health_history,,text,"Year of most recent congenital heart-defect repair",,9999=unknown,integer,1900,9999,,"[dshrtrpr] = '1'",y,,37a,,,
dscrdsrg,form_a1d_participant_health_history,,radio,"Major surgical procedures - adult cardiac surgery","0, No | 1, Yes {dscrdsrx} | 9, Unknown",,,,,,,y,,38,,,
dscrdsrx,form_a1d_participant_health_history,,text,Specify,,,,,,,"[dscrdsrg] = '1'",y,,38.1,,,
dscrdsyr,form_a1d_participant_health_history,,text,"Year of most recent adult cardiac surgery",,9999=unknown,integer,1900,9999,,"[dscrdsrg] = '1'",y,,38a,,,
dsspin,form_a1d_participant_health_history,,radio,"Major surgical procedures - spinal surgery","0, No | 1, Yes {dsspinx} | 9, Unknown",,,,,,,y,,39,,,
dsspinx,form_a1d_participant_health_history,,text,Specify,,,,,,,"[dsspin] = '1'",y,,39.1,,,
dsspinyr,form_a1d_participant_health_history,,text,"Year of most recent spinal surgery",,9999=unknown,integer,1900,9999,,"[dsspin] = '1'",y,,39a,,,
dslworth,form_a1d_participant_health_history,,radio,"Major surgical procedures - lower-extremity orthopedic surgery","0, No | 1, Yes {dslwortx} | 9, Unknown",,,,,,,y,,40,,,
dslwortx,form_a1d_participant_health_history,,text,Specify,,,,,,,"[dslworth] = '1'",y,,40.1,,,
dslworyr,form_a1d_participant_health_history,,text,"Year of most recent lower-extremity orthopedic surgery",,9999=unknown,integer,1900,9999,,"[dslworth] = '1'",y,,40a,,,
dsuporth,form_a1d_participant_health_history,,radio,"Major surgical procedures - upper-extremity orthopedic surgery","0, No | 1, Yes {dsuportx} | 9, Unknown",,,,,,,y,,41,,,
dsuportx,form_a1d_participant_health_history,,text,Specify,,,,,,,"[dsuporth] = '1'",y,,41.1,,,
dsuporyr,form_a1d_participant_health_history,,text,"Year of most recent upper-extremity orthopedic surgery",,9999=unknown,integer,1900,9999,,"[dsuporth] = '1'",y,,41a,,,
dsthysrg,form_a1d_participant_health_history,,radio,"Major surgical procedures - thyroid surgery","0, No | 1, Yes {dsthysrx} | 9, Unknown",,,,,,,y,,42,,,
