error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b1d-dsivp-m-001,001,Error,b1d,IDS,FRMDATE_B1D,Missingness,FRMDATE_B1D must be present,FRMDATE_B1D cannot be blank,Q0a. FRMDATE_B1D (Form date - B1D) cannot be blank,IF FRMDATE_B1D=blank,,,,,
b1d-dsivp-c-002,002,Error,b1d,IDS,FRMDATE_B1D,Conformity,FRMDATE_B1D conforms,FRMDATE_B1D must be in mm/dd/yyyy or yyyy/mm/dd format,Q0a. FRMDATE_B1D (Form date - B1D) must be in mm/dd/yyyy or yyyy/mm/dd format,IF FRMDATE_B1D not in (mm/dd/yyyy or yyyy/mm/dd),,,,,
b1d-dsivp-m-003,003,Error,b1d,IDS,DSLIV,Missingness,DSLIV must be present,DSLIV cannot be blank,Q0c. DSLIV (Pt's current living arrangement) cannot be blank,If DSLIV = blank,,,,,
b1d-dsivp-c-004,004,Error,b1d,IDS,DSLIV,Conformity,DSLIV conforms,DSLIV must be an integer between 1-9,Q0c. DSLIV (Pt's current living arrangement) must be an integer between 1-9,If DSLIV < 1 or DSLIV > 9,,,,,
b1d-dsivp-m-005,005,Error,b1d,IDS,DSLIVX,Missingness,DSLIVX conditionally present,"If DSLIV = 9, DSLIVX cannot be blank","If Q0c. DSLIV (Pt's current living arrangement) = 9 (Lives in other), Q0c1. DSLIVX (Other living arrangement: Specify) cannot be blank",If DSLIV = 9 and DSLIVX = blank,,"DSLIV, DSLIVX",,,
b1d-dsivp-m-006,006,Error,b1d,IDS,DSLIVX,Missingness,DSLIVX conditionally blank,"If DSLIV ne 9, DSLIVX must be blank","If Q0c. DSLIV (Pt's current living arrangement) ne 9 (Lives in other), Q0c1. DSLIVX (Other living arrangement: Specify) must be blank",If DSLIV ne 9 and DSLIVX ne blank,,"DSLIV, DSLIVX",,,
b1d-dsivp-m-007,007,Error,b1d,IDS,DSSEX,Missingness,DSSEX must be present,DSSEX cannot be blank,Q7. DSSEX (Sex) cannot be blank,If DSSEX = blank,,,,,
b1d-dsivp-c-008,008,Error,b1d,IDS,DSSEX,Conformity,DSSEX conforms,DSSEX must be an integer between 0-1,Q7. DSSEX (Sex) must be an integer between 0-1,If DSSEX < 0 or DSSEX > 1,,,,,
b1d-dsivp-m-009,009,Error,b1d,IDS,DSDISLEV,Missingness,DSDISLEV must be present,DSDISLEV cannot be blank,Q8. DSDISLEV (Best description of intellectual disability) cannot be blank,If DSDISLEV = blank,,,,,
b1d-dsivp-c-010,010,Error,b1d,IDS,DSDISLEV,Conformity,DSDISLEV conforms,DSDISLEV must be an integer between 1-6 or 9,Q8. DSDISLEV (Best description of intellectual disability) must be an integer between 1-6 or 9,If DSDISLEV < 1 or (DSDISLEV > 6 and DSDISLEV ne 9),,,,,
