CHECKLIST,,,Form ,Packet,,,,
,,,B1D,"IDS = Initial Visit Packet, DS Module",,,,
form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
Form,,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values_ranges_characters, etc. are allowed for this field?",Response labels (from REDCap DED),Data type,Branching logic
,,,,,,,,
b1d,IDS,0a. B1D Participant Demographics - Form date,FRMDATE_B1D,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
b1d,IDS,0b. B1D Participant Demographics - Examiner's initials,INITIALS_B1D,No,Any text,,String,
b1d,IDS,0c. Current living arrangement of person,DSLIV,Always,Integers 1-9,"1, Lives alone | 2, Lives with spouse or friends | 3, Lives with parents or other family members | 4, Lives with paid caregiver | 5, Lives in community group home, apartment, supervised housing, etc. | 6, Lives in senior housing | 7, Lives in congregate residential setting | 8, Lives in long term care facility | 9, Lives in other",Integer,
b1d,IDS,0c1. Other living arrangement: Specify,DSLIVX,Conditional,Any text,,String,[dsliv]='1'
b1d,IDS,7. Sex,DSSEX,Always,Integers 0-1,"0, Female | 1, Male",Integer,
b1d,IDS,8 Best description of intellectual disability,DSDISLEV,Always,"Integers 1-6, 9","1, No discernible intellectual disability | 2, Borderline  (IQ 70-75) | 3, Mild ID (IQ 55-69) | 4, Moderate ID (IQ 40-54) | 5, Severe ID (IQ 25-39) | 6, Profound ID (IQ 24 and below) | 9, Unknown",Integer,
b1d,IDS,9a. Diagnosed condition: Autism,DSDX_AUT,No,Integer 0-1 or blank,,Integer,
b1d,IDS,9b. Diagnosed condition: Cerebral palsy,DSDX_CP,No,Integer 0-1 or blank,,Integer,
b1d,IDS,9c. Diagnosed condition: Down syndrome,DSDX_DS,No,Integer 0-1 or blank,,Integer,
b1d,IDS,9d. Diagnosed condition: Fragile X syndrome,DSDX_FRX,No,Integer 0-1 or blank,,Integer,
b1d,IDS,9e. Diagnosed condition: Intellectual disability,DSDX_ID,No,Integer 0-1 or blank,,Integer,
b1d,IDS,9f. Diagnosed condition: Prader-Willi syndrome,DSDX_PW,No,Integer 0-1 or blank,,Integer,
b1d,IDS,9g. Diagnosed condition: other,DSDX_OTH,No,Integer 0-1 or blank,,Integer,
b1d,IDS,9g1. Other diagnosed condition: Specify,DSDXOTHX,Conditional,Any text,,String,[dsdx_oth]='1'
b1d,IDS,10. General characterization of current physical health,DSPHYS,Always,Integers 0-4,"0, Poor | 1, Fair | 2, Good | 3, Very good | 4, Excellent",Integer,
b1d,IDS,"11. Compared to one year ago, current physical health is:",DSPHYSYR,Always,Integers 0-4,"0, Much worse | 1, Somewhat worse | 2, About the same | 3, Somewhat better | 4, Much better",Integer,
b1d,IDS,"12. Compared to one year ago, current mental health is:",DSMENTAL,Always,Integers 0-4,"4, Much better | 3, Somewhat better | 2, About the same | 1, Somewhat worse | 0, Much worse",Integer,
