error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b1d-dsivp-p-1001,1001,Alert,b1d,IDS,DSLIV,Plausibility,DSLIV compared to DSDISLEV,"If DSDISLEV = 6, DSLIV should not =1","If Q8. DSDISLEV (Best description of intellectual disability) = 6 (Profound - IQ 24 and below), Q0c. DSLIV (Current living arrangement) should not = 1 (Lives alone)",If DSDISLEV = 6 and DSLIV = 1,,"DSDISLEV, DSLIV",,,
b1d-dsivp-p-1002,1002,Alert,b1d,IDS,DSDISLEV,Plausibility,DSDISLEV compared to DSDX_ID,"If DSDISLEV = 1, DSDX_ID should not = 1","If Q8. DSDISLEV (Best description of intellectual disability) = 1 (No discernible intellectual disability), Q9e. DSDX_ID (Intellectual disibility) should not = 1 (Yes)",If DSDISLEV = 1 and DSDX_ID = 1,,"DSDISLEV, DSDX_ID",,,
b1d-dsivp-p-1003,1003,Alert,b1d,IDS,DSCN_VIM,Plausibility,DSCN_VIM compared to DSIMPVS,"If DSCN_VIM = 1, DSIMPVS should not = 0","If Q13a. DSCN_VIM (Condition present: Vision impairment) = 1 (Present), Q27ff. DSIMPVS (Impaired vision) should not = 0 (Condition not present)",If DSCN_VIM = 1 and DSIMPVS = 0,,"DSCN_VIM, DSIMPVS",,,
b1d-dsivp-p-1004,1004,Alert,b1d,IDS,DSCN_HIM,Plausibility,DSCN_HIM compared to DSIMPHR,"If DSCN_HIM = 1, DSIMPHR should not = 0","If Q13d. DSCN_HIM (Condition present: Hearing impairment) = 1 (Present), Q27ee. DSIMPHR (Impaired hearing) should not = 0 (Condition not present)",If DSCN_HIM = 1 and DSIMPHR = 0,,"DSCN_HIM, DSIMPHR",,,
b1d-dsivp-p-1005,1005,Alert,b1d,IDS,DSSLPDIS,Plausibility,Sleep disorder aligns within form B1D,"If DSSLPDIS in (1-3), then at least one sleep problem should be present: DSSLEEP1, DSSLEEP2, DSSLEEP3, DSSLEEP4, DSSLEEP5, DSSLEEP6, DSSLEEP7, DSSLEEP8","If Q27l. DSSLPDIS (Sleep disorder) is in 1-3 (recent conditon, condition in past 5 years, or lifelong condition), then at least one sleep problem should be present (in 1-3): Q21a. DSSLEEP1, Q21b. DSSLEEP2, Q21c. DSSLEEP3, Q21d. DSSLEEP4, Q21e. DSSLEEP5, Q21f. DSSLEEP6, Q21g. DSSLEEP7, Q21h. DSSLEEP8",If DSSLPDIS in (1-3) and (DSSLEEP1=0 and DSSLEEP2=0 and DSSLEEP3=0 and DSSLEEP4=0 and DSSLEEP5=0 and DSSLEEP6=0 and DSSLEEP7=0 and DSSLEEP8=0),,"DSSLPDIS, DSSLEEP1, DSSLEEP2, DSSLEEP3, DSSLEEP4, DSSLEEP5, DSSLEEP6, DSSLEEP7, DSSLEEP8",,,
b1d-dsivp-p-1006,1006,Alert,b1d,IDS,DSAD,Plausibility,Dementia dx aligns within form B1D,"If DSAD=0, then DSDXHS_DEM should be blank or 0","If Q27q. DSAD (Dementia/Alzheimer's disease)=0 (Condition not present), then Q16c. DSDXHS_DEM (Yes, dementia) should be blank or 0 (Dementia not previously diagnosed)",If DSAD=0 and DSDXHS_DEM=1,,"DSAD, DSDXHS_DEM",,,
b1d-dsivp-p-1007,1007,Alert,b1d,IDS,DSAD,Plausibility,Dementia dx aligns within form B1D,"If DSAD in (1-3), then DSDXHS_DEM should be 1","If Q27q. DSAD (Dementia/Alzheimer's disease) is in 1-3 (recent conditon, condition in past 5 years, or lifelong condition), then Q16c. DSDXHS_DEM (Yes, dementia) should be 1 (Dementia previously diagnosed)",If DSAD in (1-3) and DSDXHS_DEM ne 1,,"DSAD, DSDXHS_DEM",,,
b1d-dsivp-p-1008,1008,Alert,b1d,IDS,DSDEP,Plausibility,Depression aligns within form B1D,"If DSDEP=0, then DSBEH12 should equal 0","If Q27r. DSDEP (Depression) =0 (condition not present), then Q24l. DSBEH12 (Appears depressed) should equal 0 (Does not apply)",If DSDEP=0 and DSBEH12 ne 0,,"DSBEH12, DSDEP",,,
b1d-dsivp-p-1009,1009,Alert,b1d,IDS,DSSEIZ,Plausibility,History of seizures aligns within form B1D,"If DSSEIZ=0, then DSEPILEP should equal 0","If Q15. DSSEIZ (Seizures)=0 (No history of seizures), then Q27ii. DSEPILEP (Epilepsy/seizure disorder) should equal 0 (Condition not present)",If DSSEIZ=0 and DSEPILEP ne 0,,"DSSEIZ, DSEPILEP",,,
b1d-dsivp-p-1010,1010,Alert,b1d,IDS,DSSEIZ,Plausibility,History of seizures aligns within form B1D,"If DSSEIZ in (1-3), then DSEPILEP should not equal 0","If Q15. DSSEIZ (Seizures) is in 1-3 (Seizures in childhood, long term occurrence of seizures, or recent onset seizures), then Q27ii. DSEPILEP (Epilepsy/seizure disorder) should not equal 0 (Condition not present)",If DSSEIZ in (1-3) and DSEPILEP=0,,"DSSEIZ, DSEPILEP",,,
b1d-dsivp-p-1011,1011,Alert,b1d,IDS,DSADL7,Plausibility,Incontinence aligns within form B1D,"If DSADL7=0, then DSINCONT should equal 0","If Q19g. DSADL7 (Incontinent (including occasional accidents))=0 (Does not apply), then Q27kk. DSINCONT (Urinary incontinence) should equal 0 (Condition not present)",If DSADL7=0 and DSINCONT ne 0,,"DSADL7, DSINCONT",,,
b1d-dsivp-p-1012,1012,Alert,b1d,IDS,DSADL7,Plausibility,Incontinence aligns within form B1D,"If DSADL7 in (1-3), then DSINCONT should not equal 0","If Q19g. DSADL7 (Incontinent (including occasional accidents)) is in 1-3 (New symptom, always but worse, always been the case), then Q27kk. DSINCONT (Urinary incontinence) should not equal 0 (Condition not present)",If DSADL7 in (1-3) and DSINCONT=0,,"DSADL7, DSINCONT",,,
