"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dssex,form_b1d_ntg_early_detection_screen_for_dementia,,radio,<sup>(7)</sup>Sex,"0, Female | 1, Male",,,,,,,y,,1,,,
dsdislev,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"<sup>(8)</sup>Best description of level of intellectual disability","1, No discernible intellectual disability | 2, Borderline  (IQ 70-75) | 3, Mild ID (IQ 55-69) | 4, Moderate ID (IQ 40-54) | 5, Severe ID (IQ 25-39) | 6, Profound ID (IQ 24 and below) | 9, Unknown",,,,,,,y,,2,,,
dsntgdx,form_b1d_ntg_early_detection_screen_for_dementia,,checkbox,"<div class=""rich-text-field-label""><p><sup>(9)</sup>Diagnosed condition <em>(Check all that apply)</em></p></div>","autism, Autism | cp, Cerebral palsy | ds, Down syndrome | fragile_x, Fragile X syndrome | intel_dis, Intellectual disability | pw, Prader-Willi syndrome | cond_oth, Other {dsdxothx}",,,,,,,y,,3,,,
dsdxothx,form_b1d_ntg_early_detection_screen_for_dementia,,text,Specify,,,,,,,"[dsntgdx(cond_oth)] = '1'",y,,3a,,,
dsliv,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Current living arrangement of person","1, Lives alone | 2, Lives with spouse or friends | 3, Lives with parents or other family members | 4, Lives with paid caregiver | 5, Lives in community group home, apartment, supervised housing, etc. | 6, Lives in senior housing | 7, Lives in congregate residential setting | 8, Lives in long term care facility | 9, Lives in other {dslivx}",,,,,,,y,,4,,,
dslivx,form_b1d_ntg_early_detection_screen_for_dementia,,text,Specify,,,,,,,"[dsliv] = '9'",y,,4a,,,
dsphys,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"<sup>(10)</sup> General characterization of <u>current</u> physical health","4, Excellent | 3, Very good | 2, Good | 1, Fair | 0, Poor",,,,,,,y,,5,,,
dsphysyr,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"<sup>(11)</sup> Compared to <u>one year ago</u> current <u>physical</u> health is:","4, Much better | 3, Somewhat better | 2, About the same | 1, Somewhat worse | 0, Much worse",,,,,,,y,,6,,,
dsmental,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"<sup>(12)</sup> Compared to <u>one year ago</u> current <u>mental</u> health is:","4, Much better | 3, Somewhat better | 2, About the same | 1, Somewhat worse | 0, Much worse",,,,,,,y,,7,,,
dscond,form_b1d_ntg_early_detection_screen_for_dementia,,checkbox,"<div class=""rich-text-field-label""><p><sup>(13)</sup> Conditions present <em>(Check all that apply)</em></p></div>","vi, Vision impairment | blind, Blind | cv, Vision corrected by glasses | hi, Hearing Impairment | deaf, Deaf | ch, Hearing corrected by hearing aids | mi, Mobility impairment | uw, Not mobile - uses wheelchair | miw, Not mobile - is moved about in wheelchair",,,,,,,,,8,,,
dssigle,form_b1d_ntg_early_detection_screen_for_dementia,,checkbox,"<div class=""rich-text-field-label""><p><sup>(14)</sup> Significant recent [in past year] life event</p> <p><em>(Check all that apply)</em></p></div>","cd, Death of someone close | ch, Changes in living arrangement, work, or day program | cs, Changes in staff close to the person | nr, New roommate/housemates | ii, Illness or impairment due to accident | sem, Adverse reaction to medication or over-medication | sei, Interpersonal Conflicts | sev, Victimization / abuse | oth, Other {dssiglex}",,,,,,,,,9,,,
dssiglex,form_b1d_ntg_early_detection_screen_for_dementia,,text,Specify,,,,,,,"[dssigle(oth)] = '1'",y,,9i1,,,
dsseiz,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"<sup>(15)</sup> Seizures","3, Recent onset seizures | 2, Long term occurrence of seizures | 1, Seizures in childhood, not occurring in adulthood | 0, No history of seizures",,,,,,,y,,10,,,
dsdemdx,form_b1d_ntg_early_detection_screen_for_dementia,"<p class=""text-center""><sup>(16)</sup>Diagnostic History</p>",radio,"Mild cognitive impairment [MCI] or
dementia previously diagnosed","0, No | 1, Yes, MCI | 2, Yes, dementia",,,,,,,y,,11,,,
dsmcimo,form_b1d_ntg_early_detection_screen_for_dementia,,dropdown,"MCI diagnosis month","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Diagnosis month is unknown",,,,,,"[dsdemdx] ='1'",y,,11a1,,,
dsmciyr,form_b1d_ntg_early_detection_screen_for_dementia,,text,"MCI diagnosis year",,9999=unknown,integer,1950,9999,,"[dsdemdx] ='1'",y,,11a2,,,
dsdemmo,form_b1d_ntg_early_detection_screen_for_dementia,,dropdown,"Dementia diagnosis month","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Diagnosis month is unknown",,,,,,"[dsdemdx] ='2'",y,,11b1,,,
dsdemyr,form_b1d_ntg_early_detection_screen_for_dementia,,text,"Dementia diagnosis year",,9999=unknown,integer,1950,9999,,"[dsdemdx] ='2'",y,,11b2,,,
dsdxtype,form_b1d_ntg_early_detection_screen_for_dementia,,text,"Type of dementia",,,,,,,"[dsdemdx] ='2'",y,,11c,,,
dsdxby,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"MCI/dementia diagnosed by","1, Geriatrician | 2, Neurologist | 3, Physician | 4, Psychiatrist | 5, Psychologist | 6, Other {dsdxbyx}",,,,,,"[dsdemdx] = '1' or [dsdemdx] = '2'",y,,11d,,,
dsdxbyx,form_b1d_ntg_early_detection_screen_for_dementia,,text,"MCI/dementia diagnosed by - specify other",,,,,,,"[dsdxby] = '6'",y,,11d1,,,
dsonstmo,form_b1d_ntg_early_detection_screen_for_dementia,,dropdown,"<sup>(17a)</sup>Note approximate MONTH of onset of MCI/dementia","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Unknown",,,,,,"[dsdemdx] = '1' or [dsdemdx] = '2'",y,,12a,,,
dsonstyr,form_b1d_ntg_early_detection_screen_for_dementia,,text,"<sup>(17b)</sup>Note approximate YEAR of onset of MCI/dementia",,9999=unknown,integer,1950,9999,,"[dsdemdx] = '1' or [dsdemdx] = '2'",y,,12b,,,
dsonstyr_warning,form_b1d_ntg_early_detection_screen_for_dementia,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid entry - onset must be before MCI and/or dementia diagnosis.</span></p></div>",,,,,,,"[dsonstyr] <> 9999 and (([dsonstyr] > [dsmciyr]) or ([dsonstyr] > [dsdemyr]))",,,,,,
dsdemcom,form_b1d_ntg_early_detection_screen_for_dementia,,text,"<sup>(18)</sup>Comments / explanations about dementia suspicions",,,,,,,"[dsdemdx] = '1' or [dsdemdx] = '2'",,,13,,,
dsadl1,form_b1d_ntg_early_detection_screen_for_dementia,"<p class=""text-center""><sup>(19)</sup>Activities of Daily Living</p>",radio,"Needs help washing or bathing","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,14a,adl,,
dsadl2,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Needs help with dressing","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,14b,adl,,
dsadl3,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Dresses inappropriately (e.g., back to front, incomplete, inadequately for weather)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,14c,adl,,
dsadl4,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Undresses inappropriately (e.g., in public)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,14d,adl,,
dsadl5,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Needs help eating (cutting food, mouthful amounts, choking)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,14e,adl,,
dsadl6,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Needs help using the bathroom (finding, toileting)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,14f,adl,,
dsadl7,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Incontinent (including occasional accidents)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,14g,adl,,
dslang1,form_b1d_ntg_early_detection_screen_for_dementia,"<p class=""text-center""><sup>(20)</sup>Language & Communication</p>",radio,"Does not initiate conversation","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,15a,lac,,
dslang2,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Does not find words","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,15b,lac,,
dslang3,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Does not follow simple instructions","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,15c,lac,,
dslang4,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Appears to get lost in middle of conversation","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,15d,lac,,
dslang5,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Does not read","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,15e,lac,,
dslang6,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Does not write (including printing own name)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,15f,lac,,
dssleep1,form_b1d_ntg_early_detection_screen_for_dementia,"<p class=""text-center""><sup>(21)</sup>Sleep / Wake Change Patterns</p>",radio,"Excessive sleep (sleeping more)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16a,sleep,,
dssleep2,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Inadequate sleep (sleeping less)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16b,sleep,,
dssleep3,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Wakes frequently at night","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16c,sleep,,
dssleep4,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Confused at night","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16d,sleep,,
dssleep5,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Sleeps during the day more than usual","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16e,sleep,,
dssleep6,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Wanders at night","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16f,sleep,,
dssleep7,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Wakes earlier than usual","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16g,sleep,,
dssleep8,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Sleeps later than usual","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,16h,sleep,,
dsamb1,form_b1d_ntg_early_detection_screen_for_dementia,"<p class=""text-center""><sup>(22)</sup>Ambulation</p>",radio,"Not confident walking over small cracks, lines on the ground, patterned flooring, or uneven surfaces","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,17a,amb,,
dsamb2,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Unsteady walk, loses balance","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,17b,amb,,
dsamb3,form_b1d_ntg_early_detection_screen_for_dementia,,radio,Falls,"3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,17c,amb,,
dsamb4,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Requires aids to walk","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,17d,amb,,
dsmem1,form_b1d_ntg_early_detection_screen_for_dementia,"<p class=""text-center""><sup>(23)</sup>Memory</p>",radio,"Does not recognize familiar persons (staff/relatives/friends)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,18a,mem,,
dsmem2,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Does not remember names of familiar people","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,18b,mem,,
dsmem3,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Does not remember recent events (in past week or less)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,18c,mem,,
dsmem4,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Does not find way in familiar surroundings","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,18d,mem,,
dsmem5,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Loses track of time (time of day, day of the week, seasons)","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,18e,mem,,
dsmem6,form_b1d_ntg_early_detection_screen_for_dementia,,radio,"Loses or misplaces objects","3, Always been the case | 2, Always but worse | 1, New symptom in past year | 0, Does not apply",,,,,,,y,,18f,mem,,
