form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
b2d,IDS,0a. B2D Participant Demographics - Form date,FRMDATE_B2D,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
b2d,IDS,0b. B2D Participant Demographics - Examiner's initials,INITIALS_B2D,No,text,,String,
b2d,IDS,"1a. Short-term memory, page 2",DSDLDST2,Always,Integers 0-4,"0, 0|1,1|2, 2|3, 3|4,4",Integer,
b2d,IDS,"1b. Short-term memory, page 4",DSDLDST4,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"1c. Short-term memory, page 5",DSDLDST5,Always,Integers 0-4,"0, 0|1,1|2, 2|3, 3|4,4",Integer,
b2d,IDS,"1d. Short-term memory, page 6",DSDLDST6,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"1e. Short-term memory, page 7",DSDLDST7,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,1. Short-term memory total,DSDLDSTM,Always,Integers 0-14,"0, 0|1,1|2, 2|3, 3|4,4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14",Integer,
b2d,IDS,"2a. Long-term memory, page 2",DSDLDLT2,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"2b. Long-term memory, page 3",DSDLDLT3,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"2c. Long-term memory, page 6",DSDLDLT6,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"2d. Long-term memory, page 8",DSDLDLT8,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"2e. Long-term memory, page 9",DSDLDLT9,Always,Integers 0-8,"0, 0|1,1|2, 2|3, 3|4,4|5, 5|6, 6|7, 7|8, 8",Integer,
b2d,IDS,2. Long-term memory total,DSDLDLTM,Always,Integers 0-16,"0, 0|1,1|2, 2|3, 3|4,4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16",Integer,
b2d,IDS,"3a. Spatial & temporal orientation, page 2",DSDLDOR2,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"3b. Spatial & temporal orientation, page 3",DSDLDOR3,Always,Integers 0-4,"0, 0|1,1|2, 2|3, 3|4,4",Integer,
b2d,IDS,"3c. Spatial & temporal orientation, page 4",DSDLDOR4,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"3d. Spatial & temporal orientation, page 6",DSDLDOR6,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"3e. Spatial & temporal orientation, page 8",DSDLDOR8,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,"3f. Spatial & temporal orientation, page 9",DSDLDOR9,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
b2d,IDS,3. Spatial & temporal orientation total,DSDLDOR,Always,Integers 0-14,"0, 0|1,1|2, 2|3, 3|4,4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14",Integer,
b2d,IDS,"4a. Speech, page 2",DSDLDSP2,Always,Integers 0-2,"0, 0|1,1|2, 2",Integer,
