"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dsmseadm,form_c1d_neuropsychological_battery_scores,DSMSE,yesno,"Was any part of the DSMSE administered?",,,,,,,,y,RH,1,,,
dsmserea,form_c1d_neuropsychological_battery_scores,,radio,"Reason code","95, Physical problem | 96, Cognitive/behavior problem | 97, Other problem | 98, Verbal refusal",,,,,,"[dsmseadm] = ""0""",y,,1a,,,
dsprsinf,form_c1d_neuropsychological_battery_scores,,text,"Personal information",,"0-7; 8=Not assessed",integer,0,8,,"[dsmseadm] = ""1""",y,,1a1,,,
dsprsinf_warning,form_c1d_neuropsychological_battery_scores,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid score - must be between 0-7. Enter 8 if not assessed.</span></p></div>",,,,,,,"[dsprsinf]<0 or ([dsprsinf]>7 and [dsprsinf] !=8)",,,,,,
dsseasdy,form_c1d_neuropsychological_battery_scores,,text,Season/day,,"0-4; 8=Not assessed",integer,0,8,,"[dsmseadm] = ""1""",y,,1b1,,,
dsseasdy_warning,form_c1d_neuropsychological_battery_scores,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid score - must be between 0-4. Enter 8 if not assessed.</span></p></div>",,,,,,,"[dsseasdy]<0 or ([dsseasdy]>4 and [dsseasdy] !=8)",,,,,,
dsortot1,form_c1d_neuropsychological_battery_scores,,calc,"1b2 total (score 1)","if([dsprsinf]=8 or [dsseasdy]=8, 88, [dsprsinf]+[dsseasdy])","88=Not assessed",,,,,"[dsmseadm] = ""1""",y,,1b2,,,
dsortot2,form_c1d_neuropsychological_battery_scores,,calc,"1b3 total (score 2)",[dsortot1],"88=Not assessed",,,,,"[dsmseadm] = ""1""",y,,1b3,,,
dssmimm,form_c1d_neuropsychological_battery_scores,,text,"Shoebox memory - Immediate",,"0-9; 88=Not assessed",integer,0,88,,"[dsmseadm] = ""1""",y,,1c1,,,
dssmimm_warning,form_c1d_neuropsychological_battery_scores,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Invalid score - must be between 0-9. Enter 88 if not assessed.</span></p></div>",,,,,,,"[dssmimm]<0 or ([dssmimm]>9 and [dssmimm] !=88)",,,,,,
