form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
a1d,IDS,0a. A1D Participant Health History - Form date,FRMDATEA1D,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
a1d,IDS,0b. A1D Participant Health History - Examiner's initials,INITIALSA1D,No,Any text,,String,
a1d,IDS,1a. Participant's weekday activities: Day Program,DSDAYPRG,Always,"0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
a1d,IDS,1b. Participant's weekday activities: Workshops,DSWRKSHP,Always,"0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
a1d,IDS,1c. Participant's weekday activities: Stays at home,DSHOME,Always,"0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
a1d,IDS,1d. Participant's weekday activities: Community paid job,DSJOB,Always,"0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
a1d,IDS,1e. Participant's weekday activities: Other,DSOTHAC,Always,"0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
a1d,IDS,1e1. Other weekday activity: Specify,DSOTHACX,Conditional (e.g. skip pattern),text,,String,"[dsothac] = ""1"""
a1d,IDS,2. Age of participant's mother at participant's birth,DSMOMAGE,Always ,"10-60, 999","10-60, years | 999, Unknown",Integer,
a1d,IDS,3. Congenital heart disease - atrial septal defect,DSCHDASD,Always ,"0-3, 9","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",Integer,
a1d,IDS,4. Congenital heart disease - ventricular septal defect,DSCHDVSD,Always ,"0-3, 9","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",Integer,
a1d,IDS,5. Congenital heart disease - atrioventricular (AV) canal defect,DSCHDACD,Always ,"0-3, 9","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",Integer,
a1d,IDS,6. Congenital heart disease - tetralogy of Fallot,DSCHDTOF,Always ,"0-3, 9","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",Integer,
a1d,IDS,7. Congenital heart disease - other,DSCHDOTH,Always ,"0-3, 9","0, Absent | 1, Present - resolved | 2, Present - repaired | 3, Present - unrepaired | 9, Unknown",Integer,
a1d,IDS,7a. Other congenital heart disease: Specify,DSCHDOTX,Conditional (e.g. skip pattern),text,,String,"[dschdoth] = ""1"" or [dschdoth] = ""2"" or [dschdoth] = ""3"""
a1d,IDS,8. Cardiovascular disease - hypotension,DSHYPOTN,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,9. Cardiovascular disease - syncope,DSSYNC,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,10. Pulmonary disease - pneumonia/aspiration,DSPNEUM,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,11. Hepatic conditions,DSHEPAT,Always ,"1-4, 9","1, Hepatitis B carrier | 2, Hepatitis B infected | 3, Hepatitis B immune | 4, Had hepatitis B vaccine | 9, Unknown",Integer,
a1d,IDS,12. Dermatologic conditions - rosacea,DSROSAC,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,13. Dermatologic conditions - alopecia,DSALOP,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,14. Dermatologic conditions - psoriasis,DSPSOR,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,15. Musculoskeletal conditions - osteoporosis/osteopenia,DSOSTEO,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,16. Musculoskeletal conditions - gout,DSGOUT,Always ,"0-2, 9","0, Absent | 1, Recent/active | 2, Remote/inactive | 9, Unknown",Integer,
a1d,IDS,17. Musculoskeletal conditions - atlanto-axial subluxation,DSATAXSU,Always ,"0-1, 9","0, Absent | 1, Present | 9, Unknown",Integer,
a1d,IDS,18. Musculoskeletal conditions - fractures in the past five years,DSFRACT,Always ,"0-1, 9","0, Absent | 1, Present | 9, Unknown",Integer,
