error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b2d-dsivp-m-001,001,Error,b2d,IDS,FRMDATE_B2D,Missingness,FRMDATE_B2D must be present,FRMDATE_B2D cannot be blank,Q0a. FRMDATE_B2D (B2D form date) cannot be blank ,If FRMDATE_B2D = blank,,,,,
b2d-dsivp-c-002,002,Error,b2d,IDS,FRMDATE_B2D,Conformity,FRMDATE_B2D conforms,FRMDATE_B2D must be a date,Q0a. FRMDATE_B2D (B2D form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATE_B2D is not mm/dd/yyyy or yyyy/mm/dd,,,,,
b2d-dsivp-m-003,003,Error,b2d,IDS,DSDLDST2,Missingness,DSDLDST2 must be present,DSDLDST2 cannot be blank,"Q1a. DSDLDST2 (Short-term memory, page 2) cannot be blank",IF DSDLDST2 = blank,,,,,
b2d-dsivp-c-004,004,Error,b2d,IDS,DSDLDST2,Conformity,DSDLDST2 conforms,DSDLDST2 must be an integer between 0-4,"Q1a. DSDLDST2 (Short-term memory, page 2) must be an integer between 0-4",IF DSDLDST2 < 0 or DSDLDST2 > 4,,,,,
b2d-dsivp-m-005,005,Error,b2d,IDS,DSDLDST4,Missingness,DSDLDST4 must be present,DSDLDST4 cannot be blank,"Q1b. DSDLDST4 (Short-term memory, page 4) cannot be blank",IF DSDLDST4 = blank,,,,,
b2d-dsivp-c-006,006,Error,b2d,IDS,DSDLDST4,Conformity,DSDLDST4 conforms,DSDLDST4 must be an integer between 0-2,"Q1b. DSDLDST4 (Short-term memory, page 4) must be an integer between 0-2",IF DSDLDST4 < 0 or DSDLDST4 > 2,,,,,
b2d-dsivp-m-007,007,Error,b2d,IDS,DSDLDST5,Missingness,DSDLDST5 must be present,DSDLDST5 cannot be blank,"Q1c. DSDLDST5 (Short-term memory, page 5) cannot be blank",IF DSDLDST5 = blank,,,,,
b2d-dsivp-c-008,008,Error,b2d,IDS,DSDLDST5,Conformity,DSDLDST5 conforms,DSDLDST5 must be an integer between 0-4,"Q1c. DSDLDST5 (Short-term memory, page 5) must be an integer between 0-4",IF DSDLDST5 < 0 or DSDLDST5 > 4,,,,,
b2d-dsivp-m-009,009,Error,b2d,IDS,DSDLDST6,Missingness,DSDLDST6 must be present,DSDLDST6 cannot be blank,"Q1d. DSDLDST6 (Short-term memory, page 6) cannot be blank",IF DSDLDST6 = blank,,,,,
b2d-dsivp-c-010,010,Error,b2d,IDS,DSDLDST6,Conformity,DSDLDST6 conforms,DSDLDST6 must be an integer between 0-2,"Q1d. DSDLDST6 (Short-term memory, page 6) must be an integer between 0-2",IF DSDLDST6 < 0 or DSDLDST6 > 2,,,,,
b2d-dsivp-m-011,011,Error,b2d,IDS,DSDLDST7,Missingness,DSDLDST7 must be present,DSDLDST7 cannot be blank,"Q1e. DSDLDST7 (Short-term memory, page 7) cannot be blank",IF DSDLDST7 = blank,,,,,
b2d-dsivp-c-012,012,Error,b2d,IDS,DSDLDST7,Conformity,DSDLDST7 conforms,DSDLDST7 must be an integer between 0-2,"Q1e. DSDLDST7 (Short-term memory, page 7) must be an integer between 0-2",IF DSDLDST7 < 0 or DSDLDST7 > 2 ,,,,,
b2d-dsivp-m-013,013,Error,b2d,IDS,DSDLDSTM,Missingness,DSDLDSTM must be present,DSDLDSTM cannot be blank,Q1. DSDLDSTM (Short-term memory total) cannot be blank,IF DSDLDSTM = blank,,,,,
b2d-dsivp-c-014,014,Error,b2d,IDS,DSDLDSTM,Conformity,DSDLDSTM conforms,DSDLDSTM must be an integer between 0-14,Q1. DSDLDSTM (Short-term memory total) must be an integer between 0-14,IF DSDLDSTM < 0 or DSDLDSTM > 14,,,,,
b2d-dsivp-m-015,015,Error,b2d,IDS,DSDLDLT2,Missingness,DSDLDLT2 must be present,DSDLDLT2 cannot be blank,"Q2a. DSDLDLT2 (Long-term memory, page 2) cannot be blank",IF DSDLDLT2 = blank,,,,,
b2d-dsivp-c-016,016,Error,b2d,IDS,DSDLDLT2,Conformity,DSDLDLT2 conforms,DSDLDLT2 must be an integer between 0-2,"Q2a. DSDLDLT2 (Long-term memory, page 2) must be an integer between 0-2",IF DSDLDLT2 < 0 or DSDLDLT2 > 2,,,,,
b2d-dsivp-m-017,017,Error,b2d,IDS,DSDLDLT3,Missingness,DSDLDLT3 must be present,DSDLDLT3 cannot be blank,"Q2b. DSDLDLT3 (Long-term memory, page 3) cannot be blank",IF DSDLDLT3 = blank,,,,,
b2d-dsivp-c-018,018,Error,b2d,IDS,DSDLDLT3,Conformity,DSDLDLT3 conforms,DSDLDLT3 must be an integer between 0-2,"Q2b. DSDLDLT3 (Long-term memory, page 3) must be an integer between 0-2",IF DSDLDLT3 < 0 or DSDLDLT3 > 2,,,,,
b2d-dsivp-m-019,019,Error,b2d,IDS,DSDLDLT6,Missingness,DSDLDLT6 must be present,DSDLDLT6 cannot be blank,"Q2c. DSDLDLT6 (Long-term memory, page 6) cannot be blank",IF DSDLDLT6 = blank,,,,,
b2d-dsivp-c-020,020,Error,b2d,IDS,DSDLDLT6,Conformity,DSDLDLT6 conforms,DSDLDLT6 must be an integer between 0-2,"Q2c. DSDLDLT6 (Long-term memory, page 6) must be an integer between 0-2",IF DSDLDLT6 < 0 or DSDLDLT6 > 2,,,,,
b2d-dsivp-m-021,021,Error,b2d,IDS,DSDLDLT8,Missingness,DSDLDLT8 must be present,DSDLDLT8 cannot be blank,"Q2d. DSDLDLT8 (Long-term memory, page 8) cannot be blank",IF DSDLDLT8 = blank,,,,,
b2d-dsivp-c-022,022,Error,b2d,IDS,DSDLDLT8,Conformity,DSDLDLT8 conforms,DSDLDLT8 must be an integer between 0-2,"Q2d. DSDLDLT8 (Long-term memory, page 8) must be an integer between 0-2",IF DSDLDLT8 < 0 or DSDLDLT8 > 2,,,,,
b2d-dsivp-m-023,023,Error,b2d,IDS,DSDLDLT9,Missingness,DSDLDLT9 must be present,DSDLDLT9 cannot be blank,"Q2e. DSDLDLT9 (Long-term memory, page 9) cannot be blank",IF DSDLDLT9 = blank,,,,,
b2d-dsivp-c-024,024,Error,b2d,IDS,DSDLDLT9,Conformity,DSDLDLT9 conforms,DSDLDLT9 must be an integer between 0-8,"Q2e. DSDLDLT9 (Long-term memory, page 9) must be an integer between 0-8",IF DSDLDLT9 < 0 or DSDLDLT9 > 8,,,,,
b2d-dsivp-m-025,025,Error,b2d,IDS,DSDLDLTM,Missingness,DSDLDLTM must be present,DSDLDLTM cannot be blank,Q2. DSDLDLTM (Long-term memory total) cannot be blank,IF DSDLDLTM = blank,,,,,
b2d-dsivp-c-026,026,Error,b2d,IDS,DSDLDLTM,Conformity,DSDLDLTM conforms,DSDLDLTM must be an integer between 0-16,Q2. DSDLDLTM (Long-term memory total) must be an integer between 0-16,IF DSDLDLTM < 0 or DSDLDLTM > 16,,,,,
b2d-dsivp-m-027,027,Error,b2d,IDS,DSDLDOR2,Missingness,DSDLDOR2 must be present,DSDLDOR2 cannot be blank,"Q3a. DSDLDOR2 (Spatial & temporal orientation, page 2) cannot be blank",IF DSDLDOR2 = blank,,,,,
b2d-dsivp-c-028,028,Error,b2d,IDS,DSDLDOR2,Conformity,DSDLDOR2 conforms,DSDLDOR2 must be an integer between 0-2,"Q3a. DSDLDOR2 (Spatial & temporal orientation, page 2) must be an integer between 0-2",IF DSDLDOR2 < 0 or DSDLDOR2 > 2,,,,,
b2d-dsivp-m-029,029,Error,b2d,IDS,DSDLDOR3,Missingness,DSDLDOR3 must be present,DSDLDOR3 cannot be blank,"Q3b. DSDLDOR3 (Spatial & temporal orientation, page 3) cannot be blank",IF DSDLDOR3 = blank,,,,,
b2d-dsivp-c-030,030,Error,b2d,IDS,DSDLDOR3,Conformity,DSDLDOR3 conforms,DSDLDOR3 must be an integer between 0-4,"Q3b. DSDLDOR3 (Spatial & temporal orientation, page 3) must be an integer between 0-4",IF DSDLDOR3 < 0 or DSDLDOR3 > 4,,,,,
b2d-dsivp-m-031,031,Error,b2d,IDS,DSDLDOR4,Missingness,DSDLDOR4 must be present,DSDLDOR4 cannot be blank,"Q3c. DSDLDOR4 (Spatial & temporal orientation, page 4) cannot be blank",IF DSDLDOR4 = blank,,,,,
b2d-dsivp-c-032,032,Error,b2d,IDS,DSDLDOR4,Conformity,DSDLDOR4 conforms,DSDLDOR4 must be an integer between 0-2,"Q3c. DSDLDOR4 (Spatial & temporal orientation, page 4) must be an integer between 0-2",IF DSDLDOR4 < 0 or DSDLDOR4 > 2,,,,,
b2d-dsivp-m-033,033,Error,b2d,IDS,DSDLDOR6,Missingness,DSDLDOR6 must be present,DSDLDOR6 cannot be blank,"Q3d. DSDLDOR6 (Spatial & temporal orientation, page 6) cannot be blank",IF DSDLDOR6 = blank,,,,,
b2d-dsivp-c-034,034,Error,b2d,IDS,DSDLDOR6,Conformity,DSDLDOR6 conforms,DSDLDOR6 must be an integer between 0-2,"Q3d. DSDLDOR6 (Spatial & temporal orientation, page 6) must be an integer between 0-2",IF DSDLDOR6 < 0 or DSDLDOR6 > 2,,,,,
b2d-dsivp-m-035,035,Error,b2d,IDS,DSDLDOR8,Missingness,DSDLDOR8 must be present,DSDLDOR8 cannot be blank,"Q3e. DSDLDOR8 (Spatial & temporal orientation, page 8) cannot be blank",IF DSDLDOR8 = blank,,,,,
b2d-dsivp-c-036,036,Error,b2d,IDS,DSDLDOR8,Conformity,DSDLDOR8 conforms,DSDLDOR8 must be an integer between 0-2,"Q3e. DSDLDOR8 (Spatial & temporal orientation, page 8) must be an integer between 0-2",IF DSDLDOR8 < 0 or DSDLDOR8 > 2,,,,,
b2d-dsivp-m-037,037,Error,b2d,IDS,DSDLDOR9,Missingness,DSDLDOR9 must be present,DSDLDOR9 cannot be blank,"Q3f. DSDLDOR9 (Spatial & temporal orientation, page 9) cannot be blank",IF DSDLDOR9 = blank,,,,,
b2d-dsivp-c-038,038,Error,b2d,IDS,DSDLDOR9,Conformity,DSDLDOR9 conforms,DSDLDOR9 must be an integer between 0-2,"Q3f. DSDLDOR9 (Spatial & temporal orientation, page 9) must be an integer between 0-2",IF DSDLDOR9 < 0 or DSDLDOR9 > 2,,,,,
b2d-dsivp-m-039,039,Error,b2d,IDS,DSDLDOR,Missingness,DSDLDOR must be present,DSDLDOR cannot be blank,Q3. DSDLDOR (Spatial & temporal orientation total) cannot be blank,IF DSDLDOR = blank,,,,,
b2d-dsivp-c-040,040,Error,b2d,IDS,DSDLDOR,Conformity,DSDLDOR conforms,DSDLDOR must be an integer between 0-14,Q3. DSDLDOR (Spatial & temporal orientation total) must be an integer between 0-14,IF DSDLDOR < 0 or DSDLDOR > 14,,,,,
b2d-dsivp-m-041,041,Error,b2d,IDS,DSDLDSP2,Missingness,DSDLDSP2 must be present,DSDLDSP2 cannot be blank,"Q4a. DSDLDSP2 (Speech, page 2) cannot be blank",IF DSDLDSP2 = blank,,,,,
