error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c1d-dsivp-m-001,001,Error,c1d,IDS,DSMSEADM,Missingness,DSMSEADM must be present,DSMSEADM cannot be blank,Q1. DSMSEADM (Any part of DSMSE administered?) cannot be blank,If DSMSEADM = blank,,,,,
c1d-dsivp-c-002,002,Error,c1d,IDS,DSMSEADM,Conformity,DSMSEADM conforms,DSMSEADM must be an integer between 0-1,Q1. DSMSEADM (Any part of DSMSE administered?) must be an integer between 0-1,If DSMSEADM < 0 or DSMSEADM > 1,,,,,
c1d-dsivp-m-003,003,Error,c1d,IDS,DSMSEREA,Missingness,DSMSEREA conditionally present,"If DSMSEADM = 0, DSMSEREA cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1a. DSMSEREA (Wasn't administered: Specify reason) cannot be blank",If DSMSEADM = 0 and DSMSEREA = blank,,"DSMSEADM, DSMSEREA",,,
c1d-dsivp-m-004,004,Error,c1d,IDS,DSMSEREA,Missingness,DSMSEREA conditionally blank,"If DSMSEADM = 1, DSMSEREA must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1a. DSMSEREA (Wasn't administered: Specify reason) must be blank",If DSMSEADM = 1 and DSMSEREA ne blank,,"DSMSEADM, DSMSEREA",,,
c1d-dsivp-c-005,005,Error,c1d,IDS,DSMSEREA,Conformity,DSMSEREA conforms,DSMSEREA must be an integer between 95-98,Q1a. DSMSEREA (Wasn't administered: Specify reason) must be an integer between 95-98,If DSMSEREA < 95 or DSMSEREA > 98,,,,,
c1d-dsivp-m-006,006,Error,c1d,IDS,DSPRSINF,Missingness,DSPRSINF conditionally present,"If DSMSEADM = 1, DSPRSINF cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1a1. DSPRSINF (Personal information) cannot be blank",If DSMSEADM = 1 and DSPRSINF = blank,,"DSMSEADM, DSPRSINF",,,
c1d-dsivp-m-007,007,Error,c1d,IDS,DSPRSINF,Missingness,DSPRSINF conditionally blank,"If DSMSEADM = 0,  DSPRSINF must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1a1. DSPRSINF (Personal information) must be blank",If DSMSEADM = 0 and DSPRSINF ne blank,,"DSMSEADM, DSPRSINF",,,
c1d-dsivp-c-008,008,Error,c1d,IDS,DSPRSINF,Conformity,DSPRSINF conforms,DSPRSINF must be an integer between 0-8,Q1a1. DSPRSINF (Personal information) must be an integer between 0-8,If DSPRSINF < 0 or DSPRSINF > 8,,,,,
c1d-dsivp-m-009,009,Error,c1d,IDS,DSSEASDY,Missingness,DSSEASDY conditionally present,"If DSMSEADM = 1, DSSEASDY cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1b1. DSSEASDY (Season/Day) cannot be blank",If DSMSEADM = 1 and DSSEASDY = blank,,"DSMSEADM, DSSEASDY",,,
c1d-dsivp-m-010,010,Error,c1d,IDS,DSSEASDY,Missingness,DSSEASDY conditionally blank,"If DSMSEADM = 0,  DSSEASDY must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1b1. DSSEASDY (Season/Day) must be blank",If DSMSEADM = 0 and DSSEASDY ne blank,,"DSMSEADM, DSSEASDY",,,
c1d-dsivp-c-011,011,Error,c1d,IDS,DSSEASDY,Conformity,DSSEASDY conforms,DSSEASDY must be an integer between 0-4 or 8,Q1b1. DSSEASDY (Season/Day) must be an integer between 0-4 or 8,If DSSEASDY < 0 or DSSEASDY > 4 and ne 8,,,,,
c1d-dsivp-m-012,012,Error,c1d,IDS,DSORTOT,Missingness,DSORTOT conditionally present,"If DSMSEADM = 1, DSORTOT cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1b2. DSORTOT (1b2 Total score) cannot be blank",If DSMSEADM = 1 and DSORTOT = blank,,"DSMSEADM, DSORTOT",,,
c1d-dsivp-m-013,013,Error,c1d,IDS,DSORTOT,Missingness,DSORTOT conditionally blank,"If DSMSEADM = 0,  DSORTOT must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1b2. DSORTOT (1b2 Total score) must be blank",If DSMSEADM = 0 and DSORTOT ne blank,,"DSMSEADM, DSORTOT",,,
c1d-dsivp-c-014,014,Error,c1d,IDS,DSORTOT,Conformity,DSORTOT conforms,DSORTOT must be an integer between 0-11 or 88,Q1b2. DSORTOT (1b2 Total score) must be an integer between 0-11 or 88,If DSORTOT < 0 or DSORTOT > 11 and ne 88,,,,,
c1d-dsivp-m-015,015,Error,c1d,IDS,DSSMIMM,Missingness,DSSMIMM conditionally present,"If DSMSEADM = 1, DSSMIMM cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1c1. DSSMIMM (Shoebox memory - immediate) cannot be blank",If DSMSEADM = 1 and DSSMIMM = blank,,"DSMSEADM, DSSMIMM",,,
c1d-dsivp-m-016,016,Error,c1d,IDS,DSSMIMM,Missingness,DSSMIMM conditionally blank,"If DSMSEADM = 0,  DSSMIMM must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1c1. DSSMIMM (Shoebox memory - immediate) must be blank",If DSMSEADM = 0 and DSSMIMM ne blank,,"DSMSEADM, DSSMIMM",,,
c1d-dsivp-c-017,017,Error,c1d,IDS,DSSMIMM,Conformity,DSSMIMM conforms,DSSMIMM must be an integer between 0-9 or 88,Q1c1. DSSMIMM (Shoebox memory - immediate) must be an integer between 0-9 or 88,If DSSMIMM < 0 or DSSMIMM > 9 and ne 88,,,,,
c1d-dsivp-m-018,018,Error,c1d,IDS,DSSMDEL,Missingness,DSSMDEL conditionally present,"If DSMSEADM = 1, DSSMDEL cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1c2. DSSMDEL (Shoebox memory - Delay) cannot be blank",If DSMSEADM = 1 and DSSMDEL = blank,,"DSMSEADM, DSSMDEL",,,
c1d-dsivp-m-019,019,Error,c1d,IDS,DSSMDEL,Missingness,DSSMDEL conditionally blank,"If DSMSEADM = 0,  DSSMDEL must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1c2. DSSMDEL (Shoebox memory - Delay) must be blank",If DSMSEADM = 0 and DSSMDEL ne blank,,"DSMSEADM, DSSMDEL",,,
c1d-dsivp-c-020,020,Error,c1d,IDS,DSSMDEL,Conformity,DSSMDEL conforms,DSSMDEL must be an integer between 0-9 or 88,Q1c2. DSSMDEL (Shoebox memory - Delay) must be an integer between 0-9 or 88,If DSSMDEL < 0 or DSSMDEL > 9 and ne 88,,,,,
c1d-dsivp-m-021,021,Error,c1d,IDS,DSSMTOT,Missingness,DSSMTOT conditionally present,"If DSMSEADM = 1, DSSMTOT cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1c3. DSSMTOT (Shoebox memory - Total score) cannot be blank",If DSMSEADM = 1 and DSSMTOT = blank,,"DSMSEADM, DSSMTOT",,,
c1d-dsivp-m-022,022,Error,c1d,IDS,DSSMTOT,Missingness,DSSMTOT conditionally blank,"If DSMSEADM = 0,  DSSMTOT must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1c3. DSSMTOT (Shoebox memory - Total score) must be blank",If DSMSEADM = 0 and DSSMTOT ne blank,,"DSMSEADM, DSSMTOT",,,
c1d-dsivp-c-023,023,Error,c1d,IDS,DSSMTOT,Conformity,DSSMTOT conforms,DSSMTOT must be an integer between 0-18 or 88,Q1c3. DSSMTOT (Shoebox memory - Total score) must be an integer between 0-18 or 88,If DSSMTOT < 0 or DSSMTOT > 18 and ne 88,,,,,
c1d-dsivp-m-024,024,Error,c1d,IDS,DSMEMIMM,Missingness,DSMEMIMM conditionally present,"If DSMSEADM = 1, DSMEMIMM cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1d1. DSMEMIMM (Memory - immediate) cannot be blank",If DSMSEADM = 1 and DSMEMIMM = blank,,"DSMSEADM, DSMEMIMM",,,
c1d-dsivp-m-025,025,Error,c1d,IDS,DSMEMIMM,Missingness,DSMEMIMM conditionally blank,"If DSMSEADM = 0, DSMEMIMM must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1d1. DSMEMIMM (Memory - immediate) must be blank",If DSMSEADM = 0 and DSMEMIMM ne blank,,"DSMSEADM, DSMEMIMM",,,
c1d-dsivp-c-026,026,Error,c1d,IDS,DSMEMIMM,Conformity,DSMEMIMM conforms,DSMEMIMM must be an integer between 0-3 or 8,Q1d1. DSMEMIMM (Memory - immediate) must be an integer between 0-3 or 8,If DSMEMIMM < 0 or DSMEMIMM > 3 and ne 8,,,,,
c1d-dsivp-m-027,027,Error,c1d,IDS,DSMEMDEL,Missingness,DSMEMDEL conditionally present,"If DSMSEADM = 1, DSMEMDEL cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1d2. DSMEMDEL (Memory - Delay) cannot be blank",If DSMSEADM = 1 and DSMEMDEL = blank,,"DSMSEADM, DSMEMDEL",,,
c1d-dsivp-m-028,028,Error,c1d,IDS,DSMEMDEL,Missingness,DSMEMDEL conditionally blank,"If DSMSEADM = 0,  DSMEMDEL must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1d2. DSMEMDEL (Memory - Delay) must be blank",If DSMSEADM = 0 and DSMEMDEL ne blank,,"DSMSEADM, DSMEMDEL",,,
c1d-dsivp-c-029,029,Error,c1d,IDS,DSMEMDEL,Conformity,DSMEMDEL conforms,DSMEMDEL must be an integer between 0-3 or 8,Q1d2. DSMEMDEL (Memory - Delay) must be an integer between 0-3 or 8,If DSMEMDEL < 0 or DSMEMDEL > 3 and ne 8,,,,,
c1d-dsivp-m-030,030,Error,c1d,IDS,DSMMTOT,Missingness,DSMMTOT conditionally present,"If DSMSEADM = 1, DSMMTOT cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1d3. DSMMTOT (Memory - Total score) cannot be blank",If DSMSEADM = 1 and DSMMTOT = blank,,"DSMSEADM, DSMMTOT",,,
c1d-dsivp-m-031,031,Error,c1d,IDS,DSMMTOT,Missingness,DSMMTOT conditionally blank,"If DSMSEADM = 0,  DSMMTOT must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1d3. DSMMTOT (Memory - Total score) must be blank",If DSMSEADM = 0 and DSMMTOT ne blank,,"DSMSEADM, DSMMTOT",,,
c1d-dsivp-c-032,032,Error,c1d,IDS,DSMMTOT,Conformity,DSMMTOT conforms,DSMMTOT must be an integer between 0-6 or 8,Q1d3. DSMMTOT (Memory - Total score) must be an integer between 0-6 or 8,If DSMMTOT < 0 or DSMMTOT > 6 and ne 8,,,,,
c1d-dsivp-m-033,033,Error,c1d,IDS,DSAPINT,Missingness,DSAPINT conditionally present,"If DSMSEADM = 1, DSAPINT cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1e1. DSAPINT (Apraxia - Intransitive) cannot be blank",If DSMSEADM = 1 and DSAPINT = blank,,"DSMSEADM, DSAPINT",,,
c1d-dsivp-m-034,034,Error,c1d,IDS,DSAPINT,Missingness,DSAPINT conditionally blank,"If DSMSEADM = 0,  DSAPINT must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1e1. DSAPINT (Apraxia - Intransitive) must be blank",If DSMSEADM = 0 and DSAPINT ne blank,,"DSMSEADM, DSAPINT",,,
c1d-dsivp-c-035,035,Error,c1d,IDS,DSAPINT,Conformity,DSAPINT conforms,DSAPINT must be an integer between 0-2 or 8,Q1e1. DSAPINT (Apraxia - Intransitive) must be an integer between 0-2 or 8,If DSAPINT < 0 or DSAPINT > 2 and ne 8,,,,,
c1d-dsivp-m-036,036,Error,c1d,IDS,DSAPTRAN,Missingness,DSAPTRAN conditionally present,"If DSMSEADM = 1, DSAPTRAN cannot be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes), Q1e2. DSAPTRAN (Apraxia - transitive) cannot be blank",If DSMSEADM = 1 and DSAPTRAN = blank,,"DSMSEADM, DSAPTRAN",,,
c1d-dsivp-m-037,037,Error,c1d,IDS,DSAPTRAN,Missingness,DSAPTRAN conditionally blank,"If DSMSEADM = 0,  DSAPTRAN must be blank","If Q1. DSMSEADM (Any part of DSMSE administered?) = 0 (No), Q1e2. DSAPTRAN (Apraxia - transitive) must be blank",If DSMSEADM = 0 and DSAPTRAN ne blank,,"DSMSEADM, DSAPTRAN",,,
c1d-dsivp-c-038,038,Error,c1d,IDS,DSAPTRAN,Conformity,DSAPTRAN conforms,DSAPTRAN must be a number between 0.0 and 2.0 or 8.8,Q1e2. DSAPTRAN (Apraxia - transitive) must be a number between 0.0 and 2.0 or 8.8 ,If DSAPTRAN < 0.0 or DSAPTRAN > 2.0 and ne 8.8,,,,,
