error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1d-dsfvp-m-001,001,Error,d1d,FDS,FRMDATE_D1D,Missingness,FRMDATE_D1D must be present,FRMDATE_D1D cannot be blank,Q0a. FRMDATE_D1D (D1D form date) cannot be blank ,If FRMDATE_D1D = blank,,,,,
d1d-dsfvp-c-002,002,Error,d1d,FDS,FRMDATE_D1D,Conformity,FRMDATE_D1D conforms,FRMDATE_D1D must be a date,Q0a. FRMDATE_D1D (D1D form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATE_D1D is not mm/dd/yyyy or yyyy/mm/dd,,,,,
d1d-dsfvp-m-003,003,Error,d1d,FDS,DSHEADCM,Missingness,DSHEADCM must be present,DSHEADCM cannot be blank,Q1. DSHEADCM (Head circumference (cm)) cannot be blank,IF DSHEADCM = blank,,,,,
d1d-dsfvp-c-004,004,Error,d1d,FDS,DSHEADCM,Conformity,DSHEADCM conforms,"DSHEADCM must be an integer between 45-70, 777, or 888","Q1. DSHEADCM (Head circumference (cm)) must be an integer between 45-70, 777 or 888","IF DSHEADCM < 45 or (DSHEADCM > 70 and not in (777, 888))",,,,,
d1d-dsfvp-m-005,005,Error,d1d,FDS,DSGRASP,Missingness,DSGRASP must be present,DSGRASP cannot be blank,Q2. DSGRASP (Pathological reflexes - grasp) cannot be blank,IF DSGRASP = blank,,,,,
d1d-dsfvp-c-006,006,Error,d1d,FDS,DSGRASP,Conformity,DSGRASP conforms,DSGRASP must be an integer between 1-2 or 9,Q2. DSGRASP (Pathological reflexes - grasp) must be an interger between 1-2 or 9,IF DSGRASP < 1 or (DSGRASP > 2 and ne 9),,,,,
d1d-dsfvp-m-007,007,Error,d1d,FDS,DSSNOUT,Missingness,DSSNOUT must be present,DSSNOUT cannot be blank,Q3. DSSNOUT (Pathological reflexes - snout) cannot be blank,IF DSSNOUT = blank,,,,,
d1d-dsfvp-c-008,008,Error,d1d,FDS,DSSNOUT,Conformity,DSSNOUT conforms,DSSNOUT must be an integer between 1-2 or 9,Q3. DSSNOUT (Pathological reflexes - snout) must be an interger between 1-2 or 9,IF DSSNOUT < 1 or (DSSNOUT > 2 and ne 9),,,,,
d1d-dsfvp-m-009,009,Error,d1d,FDS,DSROOT,Missingness,DSROOT must be present,DSROOT cannot be blank,Q4. DSROOT (Pathological reflexes - rooting) cannot be blank,IF DSROOT = blank,,,,,
d1d-dsfvp-c-010,010,Error,d1d,FDS,DSROOT,Conformity,DSROOT conforms,DSROOT must be an integer between 1-2 or 9,Q4. DSROOT (Pathological reflexes - rooting) must be an interger between 1-2 or 9,IF DSROOT < 1 or (DSROOT > 2 and ne 9),,,,,
d1d-dsfvp-m-011,011,Error,d1d,FDS,DSCHROM,Missingness,DSCHROM must be present,DSCHROM cannot be blank,Q5. DSCHROM (participant's chromosome diagnosis) cannot be blank,IF DSCHROM = blank,,,,,
d1d-dsfvp-c-012,012,Error,d1d,FDS,DSCHROM,Conformity,DSCHROM conforms,"DSCHROM must be an integer between 1-3, 7, or 9","Q5. DSCHROM (participant's chromosome diagnosis) must be an interger between 1-3, 7, or 9","IF DSCHROM < 1 or (DSCHROM > 3 and not in (7, 9))",,,,,
d1d-dsfvp-m-013,013,Error,d1d,FDS,DSCOGST,Missingness,DSCOGST must be present,DSCOGST cannot be blank,Q6. DSCOGST (participant's cognitive status) cannot be blank,IF DSCOGST = blank,,,,,
d1d-dsfvp-c-014,014,Error,d1d,FDS,DSCOGST,Conformity,DSCOGST conforms,DSCOGST must be an integer between 1-3 or 9,Q6. DSCOGST (participant's cognitive status) must be an interger between 1-3 or 9,IF DSCOGST < 1 or (DSCOGST > 3 and ne 9),,,,,
