error_code,error_no,error_type,form_name,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions
enrl-m-001,001,Error,enrl,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Header variable ADCID cannot be blank,IF ADCID=blank ,n/a,n/a,Yes,n/a
enrl-c-002,002,Error,enrl,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Header variable ADCID must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,n/a,n/a,No,n/a
enrl-m-003,003,Error,enrl,PTID,Missingness,PTID must be present, PTID cannot be blank,Header variable PTID cannot be blank,IF PTID=blank,n/a,n/a,Yes,n/a
enrl-m-004,004,Error,enrl,FRMDATE_ENRL,Missingness,FRMDATE_ENRL must be present,FRMDATE_ENRL cannot be blank,Header variable FRMDATE_ENRL cannot be blank,IF FRMDATE_ENRL=blank,n/a,n/a,Yes,n/a
enrl-c-005,005,Error,enrl,FRMDATE_ENRL,Conformity,FRMDATE_ENRL conforms,FRMDATE_ENRL must be in mm-dd-yyyy or yyyy-mm-dd format,Header variable FRMDATE_ENRL must be in mm-dd-yyyy or yyyy-mm-dd format,IF FRMDATE_ENRL not in (mm-dd-yyyy or yyyy-mm-dd),n/a,n/a,Yes,n/a
enrl-m-006,006,Error,enrl,ENRLTYPE,Missingness,ENRLTYPE must be present,ENRLTYPE cannot be blank,Q1. ENRLTYPE (Assign NACCID or transfer?) cannot be blank,IF ENRLTYPE=blank,n/a,n/a,Yes,n/a
enrl-c-007,007,Error,enrl,ENRLTYPE,Conformity,ENRLTYPE conforms,ENRLTYPE must be an integer between 1 and 2,Q1. ENRLTYPE (Assign NACCID or transfer?) must be an integer between 1 and 2,IF ENRLTYPE<1 or ENRLTYPE>2,n/a,n/a,Yes,n/a
enrl-m-008,008,Error,enrl,ENRLBIRTHMO,Missingness,ENRLBIRTHMO must be present,ENRLBIRTHMO cannot be blank,Q2a. ENRLBIRTHMO (birth month) cannot be blank,IF ENRLBIRTHMO=blank,n/a,n/a,Yes,n/a
enrl-c-009,009,Error,enrl,ENRLBIRTHMO,Conformity,ENRLBIRTHMO conforms,ENRLBIRTHMO must be between 1 and 12,Q2a. ENRLBIRTHMO (birth month) must be between 1 and 12,IF ENRLBIRTHMO <1 or ENRLBIRTHMO>12,n/a,n/a,Yes,n/a
enrl-m-010,010,Error,enrl,ENRLBIRTHYR,Missingness,ENRLBIRTHYR must be present,ENRLBIRTHYR cannot be blank,Q2b. ENRLBIRTHYR (birth year) cannot be blank,IF ENRLBIRTHYR=blank,n/a,n/a,Yes,n/a
