Form ,Version,Gate question variable,Variable,TT code
d1a,4,NORMCOG,SCD,"If NORMCOG=0 and SCD is blank, then SCD should =8"
d1a,4,NORMCOG,SCDDXCONF,"If NORMCOG=1 and SCD=0 and SCDDXCONF is blank, then SCDDXCONF should =8"
d1a,4,"NORMCOG, DEMENTED",MCICRITCLN,"If NORMCOG=0 and DEMENTED=0 and MCICRITCLN is blank, then MCICRITCLN should =0"
d1a,4,"NORMCOG, DEMENTED",MCICRITIMP,"If NORMCOG=0 and DEMENTED=0 and MCICRITIMP is blank, then MCICRITIMP should =0"
d1a,4,"NORMCOG, DEMENTED",MCICRITFUN,"If NORMCOG=0 and DEMENTED=0 and MCICRITFUN is blank, then MCICRITFUN should =0"
d1a,4,"NORMCOG, DEMENTED, MCI",IMPNOMCIFU,"If NORMCOG=0 and DEMENTED=0 and MCI=0 and IMPNOMCIFU is blank, then IMPNOMCIFU should =0"
d1a,4,"NORMCOG, DEMENTED, MCI",IMPNOMCICG,"If NORMCOG=0 and DEMENTED=0 and MCI=0 and IMPNOMCICG is blank, then IMPNOMCICG should =0"
d1a,4,"NORMCOG, DEMENTED, MCI",IMPNOMCLCD,"If NORMCOG=0 and DEMENTED=0 and MCI=0 and IMPNOMCLCD is blank, then IMPNOMCLCD should =0"
d1a,4,"NORMCOG, DEMENTED, MCI",IMPNOMCIO,"If NORMCOG=0 and DEMENTED=0 and MCI=0 and IMPNOMCIO is blank, then IMPNOMCIO should =0"
d1a,4,,IMPNOMCIOX,If IMPNOMCIOX is blank then IMPNOMCIOX should remain blank
d1a,4,"NORMCOG, DEMENTED, MCI, IMPNOMCI",CDOMMEM,"If (MCI=1 or DEMENTED=1) and CDOMMEM is blank, then CDOMMEM should =0;
If (NORMCOG=1 or IMPNOMCI=1) and CDOMMEM is blank, then CDOMMEM should =8"
d1a,4,"NORMCOG, DEMENTED, MCI, IMPNOMCI",CDOMLANG,"If (MCI=1 or DEMENTED=1) and CDOMLANG is blank, then CDOMLANG should =0;
If (NORMCOG=1 or IMPNOMCI=1) and CDOMLANG is blank, then CDOMLANG should =8"
d1a,4,"NORMCOG, DEMENTED, MCI, IMPNOMCI",CDOMATTN,"If (MCI=1 or DEMENTED=1) and CDOMATTN is blank, then CDOMATTN should =0;
If (NORMCOG=1 or IMPNOMCI=1) and CDOMATTN is blank, then CDOMATTN should =8"
d1a,4,"NORMCOG, DEMENTED, MCI, IMPNOMCI",CDOMEXEC,"If (MCI=1 or DEMENTED=1) and CDOMEXEC is blank, then CDOMEXEC should =0;
If (NORMCOG=1 or IMPNOMCI=1) and CDOMEXEC is blank, then CDOMEXEC should =8"
