error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a3a-ftldivp-m-001,001,Error,a3a,IF,FRMDATEA3A,Missingness,FRMDATEA3A must be present,FRMDATEA3A cannot be blank,Q0a. FRMDATEA3A (A3A form date) cannot be blank ,If FRMDATEA3A = blank,,,Yes,No,
a3a-ftldivp-c-002,002,Error,a3a,IF,FRMDATEA3A,Conformity,FRMDATEA3A conforms,FRMDATEA3A must be a date,Q0a. FRMDATEA3A (A3A form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEA3A is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
a3a-ftldivp-m-003,003,Error,a3a,IF,LANGA3A,Missingness,LANGA3A must be present,LANGA3A cannot be blank,Q0c. LANGA3A (Language of A3A administration) cannot be blank,If LANGA3A = blank,,,Yes,Yes,
a3a-ftldivp-c-004,004,Error,a3a,IF,LANGA3A,Conformity,LANGA3A conforms,LANGA3A must be an integer between 1-2,Q0c. LANGA3A (Language of A3A administration) must be an integer between 1-2,If LANGA3A < 1 or LANGA3A > 2,,,Yes,Yes,
a3a-ftldivp-m-005,005,Error,a3a,IF,MODEA3A,Missingness,MODEA3A must be present,MODEA3A cannot be blank,Q0d. MODEA3A (A3A in-person or not completed?) cannot be blank,If MODEA3A = blank,,,Yes,No,
a3a-ftldivp-c-006,006,Error,a3a,IF,MODEA3A,Conformity,MODEA3A conforms,MODEA3A must be an integer between 0-1,Q0d. MODEA3A (A3A in-person or not completed?) must be an integer between 0-1,If MODEA3A < 0 or MODEA3A > 1,,,Yes,No,
a3a-ftldivp-m-007,007,Error,a3a,IF,A3ANOT,Missingness,A3ANOT conditionally blank,"IF MODEA3A = 1, A3ANOT must be blank","If Q0d. MODEA3A (A3A in-person or not completed?) = 1 (In-person) then Q0d1. A3ANOT (If form was not completed, specify reason) must be blank",If MODEA3A=1 and A3ANOT is not blank,,"MODEA3A, A3ANOT",Yes,No,
a3a-ftldivp-m-008,008,Error,a3a,IF,A3ANOT,Missingness,A3ANOT conditionally present,"IF MODEA3A = 0, A3ANOT cannot be blank","If Q0d. MODEA3A (A3A in-person or not completed?) = 0 (Not completed) then Q0d1. A3ANOT (If form was not completed, specify reason) cannot be blank",If MODEA3A = 0 and A3ANOT = blank,,"MODEA3A, A3ANOT",Yes,No,
a3a-ftldivp-c-009,009,Error,a3a,IF,A3ANOT,Conformity,A3ANOT conforms,A3ANOT must be an integer between 95-99,"Q0d1. A3ANOT (If form was not completed, specify reason) must be an integer between 95-99",If A3ANOT < 95 or A3ANOT >99,,,Yes,No,
a3a-ftldivp-m-010,010,Error,a3a,IF,MODEA3A,Missingness,A3A form must be blank,"If MODEA3A = 0, form should not have data filled","If Q0d. MODEA3A (A3A in-person or not completed?) = 0 (Not completed), form A3A should not have data filled",IF MODEA3A=0 and rest of form is not blank,,,No,No,
a3a-ftldivp-m-011,011,Error,a3a,IF,FTDRELCO,Missingness,FTDRELCO must be present,FTDRELCO cannot be blank,Q1. FTDRELCO (consenting relative) cannot be blank,IF FTDRELCO =blank,,,Yes,Yes,
a3a-ftldivp-c-012,012,Error,a3a,IF,FTDRELCO,Conformity,FTDRELCO conforms,FTDRELCO must be a an integer between 1-4,Q1. FTDRELCO (consenting relative) must be an integer between 1-4,IF FTDRELCO < 1 or FTDRELCO > 4 ,,,Yes,Yes,
a3a-ftldivp-m-013,013,Error,a3a,IF,FTDSIBBY,Missingness,FTDSIBBY conditionally present,"If FTDRELCO =3, FTDSIBBY cannot be blank","If Q1. FTDRELCO (consenting relative) = 3, Q1. FTDSIBBY (sibling's birth year) cannot be blank",IF FTDRELCO =3 and FTDSIBBY =blank,,"FTDRELCO, FTDSIBBY",Yes,Yes,
