error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b3f-ftldivp-m-001,1,Error,b3f,IF,FRMDATEB3F,Missingness,FRMDATEB3F must be present,FRMDATEB3F cannot be blank,Q0a. FRMDATEB3F (B3F form date) cannot be blank ,If FRMDATEB3F = blank,,,Yes,No,
b3f-ftldivp-c-002,2,Error,b3f,IF,FRMDATEB3F,Conformity,FRMDATEB3F conforms,FRMDATEB3F must be a date,Q0a. FRMDATEB3F (B3F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB3F is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b3f-ftldivp-m-003,3,Error,b3f,IF,LANGB3F,Missingness,LANGB3F must be present,LANGB3F cannot be blank,Q0c. LANGB3F (Language of B3F administration) cannot be blank,If LANGB3F = blank,,,Yes,Yes,
b3f-ftldivp-c-004,4,Error,b3f,IF,LANGB3F,Conformity,LANGB3F conforms,LANGB3F must be an integer between 1-2,Q0c. LANGB3F (Language of B3F administration) must be an integer between 1-2,If LANGB3F < 1 or LANGB3F > 2,,,Yes,Yes,
b3f-ftldivp-m-005,5,Error,b3f,IF,FTDLTFAS,Missingness,FTDLTFAS must be present,FTDLTFAS cannot be blank,QA1. FTDLTFAS (limb or torso fasciculations consistent with a diagnosis of SMA or ALS) cannot be blank,IF FTDLTFAS =blank,,,Yes,Yes,
b3f-ftldivp-c-006,6,Error,b3f,IF,FTDLTFAS,Conformity,FTDLTFAS conforms,FTDLTFAS must be a an integer between 0-3,QA1. FTDLTFAS (limb or torso fasciculations consistent with a diagnosis of SMA or ALS) must be an integer between 0-3,IF FTDLTFAS < 0 or FTDLTFAS > 3,,,Yes,Yes,
b3f-ftldivp-m-007,7,Error,b3f,IF,FTDLIMB,Missingness,FTDLIMB must be present,FTDLIMB  cannot be blank,QA2. FTDLIMB (limb weakness and/or hyperreflexia consistent with a diagnosis of primary lateral sclerosis (PLS) or ALS) cannot be blank,IF FTDLIMB =blank,,,Yes,Yes,
b3f-ftldivp-c-008,8,Error,b3f,IF,FTDLIMB,Conformity,FTDLIMB conforms,FTDLIMB must be a an integer between 0-3,QA2. FTDLIMB (limb weakness and/or hyperreflexia consistent with a diagnosis of primary lateral sclerosis (PLS) or ALS) must be an integer between 0-3,IF FTDLIMB < 0 or FTDLIMB > 3,,,Yes,Yes,
b3f-ftldivp-m-009,9,Error,b3f,IF,FTDBULB,Missingness,FTDBULB must be present,FTDBULB cannot be blank,QA3. FTDBULB (bulbar weakness and/or fasciculations consistent with a diagnosis of ALS) cannot be blank,IF FTDBULB =blank,,,Yes,Yes,
b3f-ftldivp-c-010,10,Error,b3f,IF,FTDBULB,Conformity,FTDBULB conforms,FTDBULB must be 0 or 3,QA3. FTDBULB (bulbar weakness and/or fasciculations consistent with a diagnosis of ALS) must be 0 or 3,"IF FTDBULB not in (0, 3)",,,Yes,Yes,
