error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b9f-ftldfvp-p-1001,1001,Error,b9f,FF,FRMDATEB9F,Plausibility,FRMDATEB9F earliest date allowed,FRMDATEB9F must not be from date before form was released,Q0a. FRMDATEB9F (B9F form date) must not be from date before form was released (2012),IF FRMDATEB9F before (01/01/2012),,,,,
b9f-ftldfvp-p-1002,1002,Alert,b9f,FF,FTDCPPA,Plausibility,FTDCPPA aligns with Form D1a PPASYN,If PPASYN = 1 then FTDCPPA should = 1,If Form D1a Q8d. PPASYN (Primary progressive aphasia symdrome) = 1 (present) then Q12. FTDCPPA (Root diagnosis of PPA) should = 1 (Yes - meets root diagnosis of PPA),If PPASYN = 1 and FTDCPPA not = 1,"b9f, d1a","PPASYN, FTDCPPA",,,
b9f-ftldfvp-p-1003,1003,Alert,b9f,FF,FTDCPPA,Plausibility,FTDCPPA aligns with Form D1a PPASYN,If PPASYN ne 1 then FTDCPPA should = 0 or blank,If Form D1a Q8d. PPASYN (Primary progressive aphasia symdrome) does not = 1 (present) then Q12. FTDCPPA (Root diagnosis of PPA) should = 0 (No) or blank,If PPASYN ne 1 and FTDCPPA = 1,"b9f, d1a","PPASYN, FTDCPPA",,,
b9f-ftldfvp-p-1004,1004,Alert,b9f,FF,FTDCPPAS,Plausibility,FTDCPPAS aligns with Form D1a PPASYNT ,If PPASYNT= 1 then FTDCPPAS should = 1,"If Form D1a Q8d1. PPASYNT (Primary progressive aphasia symdrome - type) = 1 (semantic PPA) then Q13. FTDCPPAS (Consensus diagnosis of dominant PPA subtype) should = 1 (PPA, semantic variant)",If PPASYNT = 1 and FTDCPPAS not = 1,"b9f, d1a","PPASYNT, FTDCPPAS",,,
b9f-ftldfvp-p-1006,1006,Alert,b9f,FF,FTDCPPAS,Plausibility,FTDCPPAS aligns with Form D1a PPASYNT ,If PPASYNT= 2 then FTDCPPAS should = 3,"If Form D1a Q8d1. PPASYNT (Primary progressive aphasia symdrome - type) = 2 (logopenic PPA) then Q13. FTDCPPAS (Consensus diagnosis of dominant PPA subtype) should = 3 (PPA, logopenic variant)",If PPASYNT = 2 and FTDCPPAS not = 3,"b9f, d1a","PPASYNT, FTDCPPAS",,,
b9f-ftldfvp-p-1008,1008,Alert,b9f,FF,FTDCPPAS,Plausibility,FTDCPPAS aligns with Form D1a PPASYNT ,If PPASYNT= 3 then FTDCPPAS should = 2,"If Form D1a Q8d1. PPASYNT (Primary progressive aphasia symdrome - type) = 3 (nonfluent/agrammatic PPA) then Q13. FTDCPPAS (Consensus diagnosis of dominant PPA subtype) should = 2 (PPA, nonfluent/agrammatic variant)",If PPASYNT = 3 and FTDCPPAS not = 2,"b9f, d1a","PPASYNT, FTDCPPAS",,,
b9f-ftldfvp-p-1010,1010,Alert,b9f,FF,FTDCPPAS,Plausibility,FTDCPPAS aligns with Form D1a PPASYNT ,If PPASYNT= 5 then FTDCPPAS should = 4,"If Form D1a Q8d1. PPASYNT (Primary progressive aphasia symdrome - type) = 5 (PPA other/not otherwise specified) then Q13. FTDCPPAS (Consensus diagnosis of dominant PPA subtype) should = 4 (PPA, not otherwise specified)",If PPASYNT = 5 and FTDCPPAS not = 4,"b9f, d1a","PPASYNT, FTDCPPAS",,,
b9f-ftldfvp-p-1012,1012,Alert,b9f,FF,FTDBVFT,Plausibility,FTDBVFT aligns with Form D1a FTDSYN,If FTDSYN = 1 then FTDBVFT should not = 0 or blank,If Form D1a Q8e. FTDSYN (Behavioral variant frontotemporal syndrome) = 1 (present) then Q22. FTDBVFT (Subject meet the criteria for clinical probable or possible byFTD syndrome) should not = 0 (Does not meet criteria for bvFTD) or blank,If FTDSYN = 1 and FTDBVFT = 0 or blank,"b9f, d1a","FTDSYN, FTDBVFT ",,,
b9f-ftldfvp-p-1013,1013,Alert,b9f,FF,FTDBVFT,Plausibility,FTDBVFT aligns with Form D1a FTDSYN,If FTDSYN ne 1 then FTDBVFT should = 0 or blank,If Form D1a Q8e. FTDSYN (Behavioral variant frontotemporal syndrome) does not = 1 (present) then Q22. FTDBVFT (Subject meet the criteria for clinical probable or possible bvFTD syndrome) should = 0 (Does not meet criteria for bvFTD) or blank,If FTDSYN ne 1 and FTDBVFT ne 0 or blank,"b9f, d1a","FTDSYN, FTDBVFT ",,,
b9f-ftldfvp-p-1014,1014,Alert,b9f,FF,FTDEMGMN,Plausibility,FTDEMGMN aligns with previous visit,"If FTDEMGMN[prev_vis]=1 and FTDEMGPV=1, then FTDEMGMN should equal 1","If Q25. FTDEMGMN (evidence of motor neuron disease on EMG)=1 (Yes) at the previous visit and Q23. FTDEMGPV(Was an electromyogram (EMG) performed at this visit?)=1 (Yes), then Q25. FTDEMGMN (evidence of motor neuron disease on EMG) should equal 1 (Yes)",If FTDEMGMN[prev_vis]=1 and FTDEMGPV=1 and FTDEMGMN ne 1,,"FTDEMGMN, FTDEMGPV",,,
