error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c4f-ftldivp-m-001,1,Error,c4f,IF,FRMDATEC4F,Missingness,FRMDATEC4F must be present,FRMDATEC4F cannot be blank,Q0a. FRMDATEC4F (C4F form date) cannot be blank ,If FRMDATEC4F = blank,,,Yes,No,
c4f-ftldivp-c-002,2,Error,c4f,IF,FRMDATEC4F,Conformity,FRMDATEC4F conforms,FRMDATEC4F must be a date,Q0a. FRMDATEC4F (C4F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC4F is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
c4f-ftldivp-m-003,3,Error,c4f,IF,LANGC4F,Missingness,LANGC4F must be present,LANGC4F cannot be blank,Q0c. LANGC4F (Language of C4F administration) cannot be blank,If LANGC4F = blank,,,Yes,Yes,
c4f-ftldivp-c-004,4,Error,c4f,IF,LANGC4F,Conformity,LANGC4F conforms,LANGC4F must be an integer between 1-2,Q0c. LANGC4F (Language of C4F administration) must be an integer between 1-2,If LANGC4F < 1 or LANGC4F > 2,,,Yes,Yes,
c4f-ftldivp-m-005,5,Error,c4f,IF,MODEC4F,Missingness,MODEC4F must be present,MODEC4F cannot be blank,Q0d. MODEC4F (C4F in-person or not completed?) cannot be blank,If MODEC4F = blank,,,Yes,No,
c4f-ftldivp-c-006,6,Error,c4f,IF,MODEC4F,Conformity,MODEC4F conforms,MODEC4F must be an integer between 0-1,Q0d. MODEC4F (C4F in-person or not completed?) must be an integer between 0-1,If MODEC4F < 0 or MODEC4F > 1,,,Yes,No,
c4f-ftldivp-m-007,7,Error,c4f,IF,C4FNOT,Missingness,C4FNOT conditionally blank,"If MODEC4F = 1, C4FNOT must be blank","If Q0d. MODEC4F (C4F in-person or not completed?) = 1 (In-person) then Q0d1. C4FNOT (If form was not completed, specify reason) must be blank",If MODEC4F=1 and C4FNOT is not blank,,"MODEC4F, C4FNOT",Yes,No,
c4f-ftldivp-m-008,8,Error,c4f,IF,C4FNOT,Missingness,C4FNOT conditionally present,"If MODEC4F = 0, C4FNOT cannot be blank","If Q0d. MODEC4F (C4F in-person or not completed?) = 0 (Not completed) then Q0d1. C4FNOT (If form was not completed, specify reason) cannot be blank",If MODEC4F = 0 and C4FNOT = blank,,"MODEC4F, C4FNOT",Yes,No,
c4f-ftldivp-c-009,9,Error,c4f,IF,C4FNOT,Conformity,C4FNOT conforms,C4FNOT must be an integer between 95-99,"Q0d1. C4FNOT (If form was not completed, specify reason) must be an integer between 95-99",If C4FNOT < 95 or C4FNOT >99,,,Yes,No,
c4f-ftldivp-m-010,10,Error,c4f,IF,MODEC4F,Missingness,C4F form must be blank,"If MODEC4F = 0, form should not have data filled","If Q0d. MODEC4F (C4F in-person or not completed?) = 0 (Not completed), form C4F should not have data filled",IF MODEC4F=0 and rest of form is not blank,,,No,No,
