error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c6f-ftldivp-m-001,001,Error,c6f,IF,FRMDATEC6F,Missingness,FRMDATEC6F must be present,FRMDATEC6F cannot be blank,Q0a. FRMDATEC6F (C6F form date) cannot be blank ,If FRMDATEC6F = blank,,,Yes,No,
c6f-ftldivp-c-002,002,Error,c6f,IF,FRMDATEC6F,Conformity,FRMDATEC6F conforms,FRMDATEC6F must be a date,Q0a. FRMDATEC6F (C6F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC6F is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
c6f-ftldivp-m-003,003,Error,c6f,IF,LANGC6F,Missingness,LANGC6F must be present,LANGC6F cannot be blank,Q0c. LANGC6F (Language of C6F administration) cannot be blank,If LANGC6F = blank,,,Yes,Yes,
c6f-ftldivp-c-004,004,Error,c6f,IF,LANGC6F,Conformity,LANGC6F conforms,LANGC6F must be an integer between 1-2,Q0c. LANGC6F (Language of C6F administration) must be an integer between 1-2,If LANGC6F < 1 or LANGC6F > 2,,,Yes,Yes,
c6f-ftldivp-m-005,005,Error,c6f,IF,MODEC6F,Missingness,MODEC6F must be present,MODEC6F cannot be blank,Q0d. MODEC6F (C6F in-person or not completed?) cannot be blank,If MODEC6F = blank,,,Yes,No,
c6f-ftldivp-c-006,006,Error,c6f,IF,MODEC6F,Conformity,MODEC6F conforms,MODEC6F must be an integer between 0-1,Q0d. MODEC6F (C6F in-person or not completed?) must be an integer between 0-1,If MODEC6F < 0 or MODEC6F > 1,,,Yes,No,
c6f-ftldivp-m-007,007,Error,c6f,IF,C6FNOT,Missingness,C6FNOT conditionally blank,IF MODEC6F = 1 then C6FNOT must be blank,"If Q0d. MODEC6F (C6F in-person or not completed?) = 1 (In-person) then Q0d1. C6FNOT (If form was not completed, specify reason) must be blank",If MODEC6F=1 and C6FNOT is not blank,,"MODEC6F, C6FNOT",Yes,No,
c6f-ftldivp-m-008,008,Error,c6f,IF,C6FNOT,Missingness,C6FNOT conditionally present,If MODEC6F = 0 then C6FNOT cannot be blank,"If Q0d. MODEC6F (C6F in-person or not completed?) = 0 (Not completed) then Q0d1. C6FNOT (If form was not completed, specify reason) cannot be blank",If MODEC6F = 0 and C6FNOT = blank,,"MODEC6F, C6FNOT",Yes,No,
c6f-ftldivp-c-009,009,Error,c6f,IF,C6FNOT,Conformity,C6FNOT conforms,C6FNOT must be an integer between 95-99,"Q0d1. C6FNOT (If form was not completed, specify reason) must be an integer between 95-99",If C6FNOT < 95 or C6FNOT >99,,,Yes,No,
c6f-ftldivp-m-010,010,Error,c6f,IF,MODEC6F,Missingness,C6F form must be blank,"If MODEC6F = 0, form should not have data filled","If Q0d. MODEC6F (C6F in-person or not completed?) = 0 (Not completed), form C6F should not have data filled",IF MODEC6F=0 and rest of form is not blank,,,No,No,
