form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic,,
e2f,IF,0a. E2F Imaging Available - Form date,FRMDATEE2F,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,,,
e2f,IF,0b. E2F Imaging Available - Examiner's initials,INITIALSE2F,No,text,,String,,,
e2f,IF,0c. E2F Imaging Available - Language,LANGE2F,Always,Integers 1-2,"1, English|2, Spanish",Integer,,,
e2f,IF,"1. Is a structural MRI scan, obtained as part of the current evaluation or a previous evaluation, available for data sharing?",FTDSMRI,Always,Integers 0-1,0 = No | 1 = Yes,Integer,,,
e2f,IF,1a. Month of structural MRI scan,FTDSMMO,Conditional,Integers 1-12,,Integer,Blank if Question 1 FTDSMRI = 0 (No),,
e2f,IF,1a. Day of structural MRI scan,FTDSMDY,Conditional,"Integers 1-31, and 99",1-31 | 99 = Unknown,Integer,Blank if Question 1 FTDSMRI = 0 (No),,
e2f,IF,1a. Year of structural MRI scan,FTDSMYR,Conditional,Integers 2000-present year,,Integer,Blank if Question 1 FTDSMRI = 0 (No),,
e2f,IF,1b. Structural MRI scan: Is it in DICOM format or other electronic format?,FTDSMDIC,Conditional,"Integers 0-1, and 9",0 = No | 1 = Yes | 9= Unknown,Integer,Blank if Question 1 FTDSMRI = 0 (No),,
e2f,IF,1b1. Structural MRI scan: Specify DICOM or other format,FTDSMDIS,Conditional,"Any text or numbers, but cannot include single quotes ('), double quotes (“), ampersands (&) or percentage signs (%)”",,String,"Blank if Question 1 FTDSMRI = 0 (No)  or Question 1b, FTDSMDIC ne 1 (Yes)",,
e2f,IF,1c. Structural MRI scan: Was ADNI protocol used?,FTDSMADN,Conditional,"Integers 0-1, and 9",0 = No | 1 = Yes | 9= Unknown,Integer,Blank if Question 1 FTDSMRI = 0 (No),,
e2f,IF,"1c1. Structural MRI scan: If ADNI protocol was used, then ADNI version?",FTDSMADV,Conditional,"Any text or numbers, but cannot include single quotes ('), double quotes (“), ampersands (&) or percentage signs (%)”",,String,"Blank if Question 1 FTDSMRI = 0 (No)  or Question 1c, FTDSMADN ne 1 (Yes)",,
e2f,IF,1d. Structural MRI scan: Scan manufacturer?,FTDSMMAN,Conditional,"Integers 1-4, and 9",1 = GE | 2 = Siemens | 3 = Phillips | 4 = Other | 9 = Unknown,Integer,Blank if Question 1 FTDSMRI = 0 (No),,
e2f,IF,"1d0. Structural MRI scan: Manufacturer, if other specify",FTDSMMAO,Conditional,"Any text or numbers, but cannot include single quotes ('), double quotes (“), ampersands (&) or percentage signs (%)”",,String,"Blank if Question 1 FTDSMRI = 0 (No)  or Question 1d, FTDSMMAN ne 4 (Other)",,
