form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
e3f,IF,0a. E3F Imaging in Diagnosis - Form date,FRMDATEE3F,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
e3f,IF,0b. E3F Imaging in Diagnosis - Examiner's initials,INITIALSE3F,No,text,,String,
e3f,IF,0c. E3F Imaging in Diagnosis - Language,LANGE3F,Always,Integers 1-2,"1, English|2, Spanish",Integer,
e3f,IF,1. Imaging obtained as part of this visit for use in diagnosis,FTDIDIAG,Always,Integers 0-1,0 = No | 1 = Yes,Integer,
e3f,IF,2. Was structural MRI imaging done?,FTDSMRIO,Conditional,Integers 0-1,0 = No | 1 = Yes,Integer,"Blank if Question 1, FTDIDIAG, = 0 (No)"
e3f,IF,2a. Structural MRI: Was focal atrophy (beyond what would be expected for age) appreciated by visual inspection?,FTDMRIFA,Conditional,"Integers 0-1, and 9 ",0 = No | 1 = Yes | 9= Unknown,Integer,"Blank if Question 1, FTDIDIAG, = 0 (No) or Question 2, FTDSMRIO = 0 (No)"
e3f,IF,2a1. Verbalized a desire to leave the evaluation prematurely,FTDMRIRF,Conditional,"Integers 0-1, and 9 ",0 = No | 1 = Yes | 9= Unknown,Integer,"Blank if Question 1, FTDIDIAG, = 0 (No) or Question 2, FTDSMRIO = 0 (No) or Question 2a, FTDMRIFA = 0 (No) or 9 (Unknown)"
e3f,IF,2a2. Structural MRI: Left frontal lobe?,FTDMRILF,Conditional,"Integers 0-1, and 9 ",0 = No | 1 = Yes | 9= Unknown,Integer,"Blank if Question 1, FTDIDIAG, = 0 (No) or Question 2, FTDSMRIO = 0 (No) or Question 2a, FTDMRIFA = 0 (No) or 9 (Unknown)"
e3f,IF,2a3. Structural MRI: Right temporal lobe?,FTDMRIRT,Conditional,"Integers 0-1, and 9 ",0 = No | 1 = Yes | 9= Unknown,Integer,"Blank if Question 1, FTDIDIAG, = 0 (No) or Question 2, FTDSMRIO = 0 (No) or Question 2a, FTDMRIFA = 0 (No) or 9 (Unknown)"
e3f,IF,2a4. Structural MRI: Left temporal lobe?,FTDMRILT,Conditional,"Integers 0-1, and 9 ",0 = No | 1 = Yes | 9= Unknown,Integer,"Blank if Question 1, FTDIDIAG, = 0 (No) or Question 2, FTDSMRIO = 0 (No) or Question 2a, FTDMRIFA = 0 (No) or 9 (Unknown)"
