error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b3f-ftldivp-p-1001,1001,Error,b3f,IF,FRMDATEB3F,Plausibility,FRMDATEB3F earliest date allowed,FRMDATEB3F must not be from date before form was released,Q0a. FRMDATEB3F (B3F form date) must not be from date before form was released (2012),IF FRMDATEB3F before (01/01/2012),,,,,
b3f-ftldivp-p-1002,1002,Alert,b3f,IF,FTDGSEV,Plausibility,FTDGSEV aligns with GAITABN on Form B8,If GAITABN = 1 then FTDGSEV should not = 0,If Form B8 Q5. GAITABN (abnormal gait?) = 1 (Yes) then QB1. FTDGSEV (Gait disturbance - severity) should not = 0 (Normal),If GAITABN=1 and FTDGEV =0,"b3f, b8","GAITABN, FTDGEV",,,
b3f-ftldivp-p-1003,1003,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITABN on Form B8,If GAITABN=0 (No abnormal signs) then FTDGTYP should =0 (Normal),If Form B8 Q5. GAITABN (abnormal gait?) = 0 (No abnormal signs) then QB2. FTDGTYP (Gait disturbances - type) should =0 (Normal),If GAITABN = 0 and FTDGTYP not = 0,"b3f, b8","GAITABN, FTDGTYP",,,
b3f-ftldivp-p-1004,1004,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITFIND on Form B9,If GAITFIND=1 (Hemiparetic gait) then FTDGTYP should =1 (Hemiparetic gait),If Form B8 Q5a. GAITFIND (gait findings) = 1 (Hemiparetic gait) then QB2. FTDGTYP (Gait disturbances - type) should =1 (Hemiparetic gait),If GAITFIND = 1 and FTDGTYP not = 1,"b3f, b8","GAITFIND, FTDGTYP",,,
b3f-ftldivp-p-1005,1005,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITFIND on Form B10,If GAITFIND=2 (Foot drop gait) then FTDGTYP should =2 (Foot drop gait),"If Form B8 Q5a. GAITFIND (gait findings) = 2 (Foot drop gait) then FTLD module, Form B3F QB2. FTDGTYP (Gait disturbances - type) should =2 (Foot drop gait)",If GAITFIND = 2 and FTDGTYP not = 2,"b3f, b8","GAITFIND, FTDGTYP",,,
b3f-ftldivp-p-1006,1006,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITFIND on Form B11,If GAITFIND=3 (Ataxic gait) then FTDGTYP should =3 (Ataxic gait),If Form B8 Q5a. GAITFIND (gait findings) = 3 (Ataxic gait) then  QB2. FTDGTYP (Gait disturbances - type) should =3 (Ataxic gait),If GAITFIND = 3 and FTDGTYP not =3,"b3f, b8","GAITFIND, FTDGTYP",,,
b3f-ftldivp-p-1007,1007,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITFIND on Form B12,If GAITFIND=4 (Apractic magnetic gait) then FTDGTYP should =5 (Apractic magnetic gait),If Form B8 Q5a. GAITFIND (gait findings) = 4 (Apractic magnetic gait) then QB2. FTDGTYP (Gait disturbances - type) should =5 (Apractic magnetic gait),If GAITFIND = 4 and FTDGTYP not = 5,"b3f, b8","GAITFIND, FTDGTYP",,,
b3f-ftldivp-p-1008,1008,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITFIND on Form B13,If GAITFIND=5 (Hypokinetic/parkinsonian gait) then FTDGTYP should =4 (Parkinsons gait),If Form B8 Q5a. GAITFIND (gait findings) = 5 (Hypokinetic/parkinsonian gait) then QB2. FTDGTYP (Gait disturbances - type) should =4 (Parkinsons gait),If GAITFIND = 5 and FTDGTYP not = 4,"b3f, b8","GAITFIND, FTDGTYP",,,
b3f-ftldivp-p-1009,1009,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITFIND on Form B14,If GAITFIND=6 (Antalgic gait) then FTDGTYP should =6 (Antalgic gait),If Form B8 Q5a. GAITFIND (gait findings) = 6 (Antalgic gait) then QB2. FTDGTYP (Gait disturbances - type) should =6 (Antalgic gait),If GAITFIND = 6 and FTDGTYP not = 6,"b3f, b8","GAITFIND, FTDGTYP",,,
b3f-ftldivp-p-1010,1010,Alert,b3f,IF,FTDGTYP,Plausibility,FTDGTYP aligns with GAITFIND on Form B15,If GAITFIND=7 (Other gait findings) then FTDGTYP should =7 (Other gait disorder),If Form B8 Q5a. GAITFIND (gait findings) = 7 (Other gait findings) then QB2. FTDGTYP (Gait disturbances - type) should =7 (Other gait disorder),If GAITFIND = 7 and FTDGTYP not = 7,"b3f, b8","GAITFIND, FTDGTYP",,,
