error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b9f-ftldivp-m-001,1,Error,b9f,IF,FRMDATEB9F,Missingness,FRMDATEB9F must be present,FRMDATEB9F cannot be blank,Q0a. FRMDATEB9F (B9F form date) cannot be blank ,If FRMDATEB9F = blank,,,Yes,No,
b9f-ftldivp-c-002,2,Error,b9f,IF,FRMDATEB9F,Conformity,FRMDATEB9F conforms,FRMDATEB9F must be a date,Q0a. FRMDATEB9F (B9F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB9F is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b9f-ftldivp-m-003,3,Error,b9f,IF,LANGB9F,Missingness,LANGB9F must be present,LANGB9F cannot be blank,Q0c. LANGB9F (Language of B9F administration) cannot be blank,If LANGB9F = blank,,,Yes,Yes,
b9f-ftldivp-c-004,4,Error,b9f,IF,LANGB9F,Conformity,LANGB9F conforms,LANGB9F must be an integer between 1-2,Q0c. LANGB9F (Language of B9F administration) must be an integer between 1-2,If LANGB9F < 1 or LANGB9F > 2,,,Yes,Yes,
b9f-ftldivp-m-005,5,Error,b9f,IF,FTDPPASL,Missingness,FTDPPASL must be present,FTDPPASL cannot be blank,Q1. FTDPPASL (acquired disorder of language) cannot be blank,IF FTDPPASL =blank,,,Yes,Yes,
b9f-ftldivp-c-006,6,Error,b9f,IF,FTDPPASL,Conformity,FTDPPASL conforms,FTDPPASL must be a an integer between 0-1,Q1. FTDPPASL (acquired disorder of language) must be an integer between 0-1,IF FTDPPASL < 0 or FTDPPASL > 1,,,Yes,Yes,
b9f-ftldivp-m-007,7,Error,b9f,IF,FTDPPAPO,Missingness,FTDPPAPO conditionally present,"If FTDPPASL = 1, FTDPPAPO cannot be blank","If FTDPPASL= 1, Q2. FTDPPAPO (Poor object naming) cannot be blank",IF FTDPPASL = 1 and FTDPPAPO =blank,,"FTDPPASL, FTDPPAPO",Yes,Yes,
b9f-ftldivp-m-008,8,Error,b9f,IF,FTDPPAPO,Missingness,FTDPPAPO conditionally blank,"If FTDPPASL = 0, FTDPPAPO must be blank","If Q1. FTDPPASL=0, Q2. FTDPPAPO (Poor object naming) must be blank",If FTDPPASL=0 and FTDPPAPO is not blank,,"FTDPPASL, FTDPPAPO",Yes,Yes,
b9f-ftldivp-c-009,9,Error,b9f,IF,FTDPPAPO,Conformity,FTDPPAPO conforms,FTDPPAPO must be a an integer between 0-2 or 9,Q2. FTDPPAPO (Poor object naming) must be an integer between 0-2 or 9,IF FTDPPAPO < 0  or (FTDPPAPO> 2 and FTDPPAPO not = 9),,,Yes,Yes,
b9f-ftldivp-m-010,10,Error,b9f,IF,FTDPPAIW,Missingness,FTDPPAIW conditionally present,"If FTDPPASL = 1, FTDPPAIW cannot be blank","If FTDPPASL = 1, Q3. FTDPPAPO (Improvised word selection/retrieval in spontaneous speech) cannot be blank",IF FTDPPASL = 1 and FTDPPAIW =blank,,"FTDPPASL, FTDPPAIW",Yes,Yes,
b9f-ftldivp-m-011,11,Error,b9f,IF,FTDPPAIW,Missingness,FTDPPAIW conditionally blank,"If FTDPPASL = 0, FTDPPAIW must be blank","If Q1. FTDPPASL=0, Q3. FTDPPAPO (Improvised word selection/retrieval in spontaneous speech) must be blank",If FTDPPASL=0 and FTDPPAIW is not blank,,"FTDPPASL, FTDPPAIW",Yes,Yes,
b9f-ftldivp-c-012,12,Error,b9f,IF,FTDPPAIW,Conformity,FTDPPAIW conforms,FTDPPAIW must be a an integer between 0-2 or 9,Q3. FTDPPAIW (Improvised word selection/retrieval in spontaneous speech) must be an integer between 0-2 or 9,IF FTDPPAIW< 0  or (FTDPPAIW> 2 and FTDPPAIW not = 9),,,Yes,Yes,
b9f-ftldivp-m-013,13,Error,b9f,IF,FTDPPASW,Missingness,FTDPPASW conditionally present,"If FTDPPASL = 1, FTDPPASW cannot be blank","If FTDPPASL= 1, Q4. FTDPPASW (Impaired word comprehension) cannot be blank",IF FTDPPASL = 1 and FTDPPASW=blank,,"FTDPPASL, FTDPPASW",Yes,Yes,
b9f-ftldivp-m-014,14,Error,b9f,IF,FTDPPASW,Missingness,FTDPPASW conditionally blank,"If FTDPPASL = 0, FTDPPASW must be blank","If Q1. FTDPPASL=0, Q4. FTDPPASW (Impaired word comprehension) must be blank",If FTDPPASL=0 and FTDPPASW is not blank,,"FTDPPASL, FTDPPASW",Yes,Yes,
b9f-ftldivp-c-015,15,Error,b9f,IF,FTDPPASW,Conformity,FTDPPASW conforms,FTDPPASW must be a an integer between 0-2 or 9,Q4. FTDPPASW (Impaired word comprehension) must be an integer between 0-2 or 9,IF FTDPPASW < 0  or (FTDPPASW> 2 and FTDPPASW  not = 9),,,Yes,Yes,
b9f-ftldivp-m-016,16,Error,b9f,IF,FTDPPAPK,Missingness,FTDPPAPK conditionally present,"If FTDPPASL = 1, FTDPPAPK cannot be blank","If FTDPPASL= 1, Q5. FTDPPAPK (Poor object/ person knowledge) cannot be blank",IF FTDPPASL = 1 and FTDPPAPK =blank,,"FTDPPASL, FTDPPAPK",Yes,Yes,
b9f-ftldivp-m-017,17,Error,b9f,IF,FTDPPAPK,Missingness,FTDPPAPK conditionally blank,"If FTDPPASL = 0, FTDPPAPK must be blank","If Q1. FTDPPASL=0, Q5. FTDPPAPK (Poor object/ person knowledge) must be blank",If FTDPPASL=0 and FTDPPAPK is not blank,,"FTDPPASL, FTDPPAPK",Yes,Yes,
b9f-ftldivp-c-018,18,Error,b9f,IF,FTDPPAPK,Conformity,FTDPPAPK conforms,FTDPPAPK must be a an integer between 0-2 or 9,Q5. FTDPPAPK (Poor object/ person knowledge) must be an integer between 0-2 or 9,IF FTDPPAPK < 0  or (FTDPPAPK > 2 and FTDPPAPK not = 9),,,Yes,Yes,
b9f-ftldivp-m-019,19,Error,b9f,IF,FTDPPAGS,Missingness,FTDPPAGS conditionally present,"If FTDPPASL = 1, FTDPPAGS cannot be blank","If FTDPPASL= 1, Q6. FTDPPAGS (Grammatical simplification or grammatical errors in speech) cannot be blank",IF FTDPPASL = 1 and FTDPPAGS =blank,,"FTDPPASL, FTDPPAGS",Yes,Yes,
b9f-ftldivp-m-020,20,Error,b9f,IF,FTDPPAGS,Missingness,FTDPPAGS conditionally blank,"If FTDPPASL = 0, FTDPPAGS must be blank","If Q1. FTDPPASL=0, Q6. FTDPPAGS (Grammatical simplification or grammatical errors in speech) must be blank",If FTDPPASL=0 and FTDPPAGS is not blank,,"FTDPPASL, FTDPPAGS",Yes,Yes,
b9f-ftldivp-c-021,21,Error,b9f,IF,FTDPPAGS,Conformity,FTDPPAGS conforms,FTDPPAGS must be a an integer between 0-2 or 9,Q6. FTDPPAGS(Grammatical simplification or grammatical errors in speech) must be an integer between 0-2 or 9,IF FTDPPAGS < 0  or (FTDPPAGS > 2 and FTDPPAGS not = 9),,,Yes,Yes,
b9f-ftldivp-m-022,22,Error,b9f,IF,FTDPPAEH,Missingness,FTDPPAEH conditionally present,"If FTDPPASL = 1, FTDPPAEH cannot be blank","If FTDPPASL= 1, Q7. FTDPPAEH (Effortful, halting speech) cannot be blank",IF FTDPPASL = 1 and FTDPPAEH =blank,,"FTDPPASL, FTDPPAEH",Yes,Yes,
b9f-ftldivp-m-023,23,Error,b9f,IF,FTDPPAEH,Missingness,FTDPPAEH conditionally blank,"If FTDPPASL = 0, FTDPPAEH must be blank","If Q1. FTDPPASL=0, Q7. FTDPPAEH (Effortful, halting speech) must be blank",If FTDPPASL=0 and FTDPPAEH is not blank,,"FTDPPASL, FTDPPAEH",Yes,Yes,
b9f-ftldivp-c-024,24,Error,b9f,IF,FTDPPAEH,Conformity,FTDPPAEH conforms,FTDPPAEH must be a an integer between 0-2 or 9,"Q7. FTDPPAEH (Effortful, halting speech) must be an integer between 0-2 or 9",IF FTDPPAEH < 0  or (FTDPPAEH > 2 and FTDPPAEH not = 9),,,Yes,Yes,
b9f-ftldivp-m-025,25,Error,b9f,IF,FTDPPACS,Missingness,FTDPPACS conditionally present,"If FTDPPASL = 1, FTDPPACS cannot be blank","If FTDPPASL= 1, Q8. FTDPPACS (Circumlocutory speech, empty speech) cannot be blank",IF FTDPPASL = 1 and FTDPPACS  =blank,,"FTDPPASL, FTDPPACS",Yes,Yes,
b9f-ftldivp-m-026,26,Error,b9f,IF,FTDPPACS,Missingness,FTDPPACS conditionally blank,"If FTDPPASL = 0, FTDPPACS must be blank","If Q1. FTDPPASL=0, Q8. FTDPPACS (Circumlocutory speech, empty speech) must be blank",If FTDPPASL=0 and FTDPPACS is not blank,,"FTDPPASL, FTDPPACS",Yes,Yes,
b9f-ftldivp-c-027,27,Error,b9f,IF,FTDPPACS,Conformity,FTDPPACS conforms,FTDPPACS must be a an integer between 0-2 or 9,"Q8. FTDPPACS (Circumlocutory speech, empty speech) must be an integer between 0-2 or 9",IF FTDPPACS < 0  or (FTDPPACS > 2 and FTDPPACS not = 9),,,Yes,Yes,
b9f-ftldivp-m-028,28,Error,b9f,IF,FTDPPASS,Missingness,FTDPPASS conditionally present,"If FTDPPASL = 1, FTDPPASS cannot be blank","If FTDPPASL= 1, Q9. FTDPPASS (Speech sound/ word errors (paraphasias)) cannot be blank",IF FTDPPASL = 1 and FTDPPASS =blank,,"FTDPPASL, FTDPPASS",Yes,Yes,
b9f-ftldivp-m-029,29,Error,b9f,IF,FTDPPASS,Missingness,FTDPPASS conditionally blank,"If FTDPPASL = 0, FTDPPASS must be blank","If Q1. FTDPPASL=0, Q9. FTDPPASS (Speech sound/ word errors (paraphasias)) must be blank",If FTDPPASL=0 and FTDPPASS is not blank,,"FTDPPASL, FTDPPASS",Yes,Yes,
b9f-ftldivp-c-030,30,Error,b9f,IF,FTDPPASS,Conformity,FTDPPASS conforms,FTDPPASS must be a an integer between 0-2 or 9,Q9. FTDPPASS (Speech sound/ word errors (paraphasias)) must be an integer between 0-2 or 9,IF FTDPPASS < 0  or (FTDPPASS > 2 and FTDPPASS not = 9),,,Yes,Yes,
b9f-ftldivp-m-031,31,Error,b9f,IF,FTDPPASR,Missingness,FTDPPASR conditionally present,"If FTDPPASL = 1, FTDPPASR cannot be blank","If FTDPPASL= 1, Q10. FTDPPASR  (Impaired speech repetition) cannot be blank",IF FTDPPASL = 1 and FTDPPASR=blank,,"FTDPPASL, FTDPPASR",Yes,Yes,
b9f-ftldivp-m-032,32,Error,b9f,IF,FTDPPASR,Missingness,FTDPPASR conditionally blank,"If FTDPPASL = 0, FTDPPASR must be blank","If Q1. FTDPPASL=0, Q10. FTDPPASR  (Impaired speech repetition) must be blank",If FTDPPASL=0 and FTDPPASR is not blank,,"FTDPPASL, FTDPPASR",Yes,Yes,
b9f-ftldivp-c-033,33,Error,b9f,IF,FTDPPASR,Conformity,FTDPPASR conforms,FTDPPASR must be a an integer between 0-2 or 9,Q10. FTDPPASR (Impaired speech repetition) must be an integer between 0-2 or 9,IF FTDPPASR < 0  or (FTDPPASR > 2 and FTDPPASR not = 9),,,Yes,Yes,
b9f-ftldivp-m-034,34,Error,b9f,IF,FTDPPASD,Missingness,FTDPPASD conditionally present,"If FTDPPASL = 1, FTDPPASD cannot be blank","If FTDPPASL= 1, Q11. FTDPPASD (Surface dyslexia) cannot be blank",IF FTDPPASL = 1 and FTDPPASD  =blank,,"FTDPPASL, FTDPPASD",Yes,Yes,
b9f-ftldivp-m-035,35,Error,b9f,IF,FTDPPASD,Missingness,FTDPPASD conditionally blank,"If FTDPPASL = 0, FTDPPASD must be blank","If Q1. FTDPPASL=0, Q11. FTDPPASD (Surface dyslexia) must be blank",If FTDPPASL=0 and FTDPPASD is not blank,,"FTDPPASL, FTDPPASD",Yes,Yes,
b9f-ftldivp-c-036,36,Error,b9f,IF,FTDPPASD,Conformity,FTDPPASD conforms,FTDPPASD must be a an integer between 0-2 or 9,Q11. FTDPPASD (Surface dyslexia) must be an integer between 0-2 or 9,IF FTDPPASD< 0  or (FTDPPASD> 2 and FTDPPASD not = 9),,,Yes,Yes,
b9f-ftldivp-m-037,37,Error,b9f,IF,FTDCPPA,Missingness,FTDCPPA conditionally present,"If FTDPPASL = 1, FTDCPPA cannot be blank","If FTDPPASL= 1, Q12. FTDCPPA(Root diagnosis of PPA?) cannot be blank",IF FTDPPASL = 1 and FTDCPPA =blank,,"FTDPPASL, FTDCPPA",Yes,Yes,
b9f-ftldivp-m-038,38,Error,b9f,IF,FTDCPPA,Missingness,FTDCPPA conditionally blank,"If FTDPPASL = 0, FTDCPPA must be blank","If Q1. FTDPPASL=0, Q12. FTDCPPA(Root diagnosis of PPA?) must be blank",If FTDPPASL=0 and FTDCPPA is not blank,,"FTDPPASL, FTDCPPA",Yes,Yes,
b9f-ftldivp-c-039,39,Error,b9f,IF,FTDCPPA,Conformity,FTDCPPA conforms,FTDCPPA must be a an integer between 0-1,Q12. FTDCPPA (Root diagnosis of PPA?) must be an integer between 0-1,IF FTDCPPA < 0  or FTDCPPA > 1,,,Yes,Yes,
b9f-ftldivp-m-040,40,Error,b9f,IF,FTDCPPAS,Missingness,FTDCPPAS conditionally present,"If FTDCPPA = 1, FTDCPPAS cannot be blank","If Q12. FTDCPPA = 1, Q13. FTDCPPAS (Consensus diagnosis of dominant PPA subtype) cannot be blank",IF FTDPPASL = 1 and FTDCPPAS =blank,,"FTDCPPA, FTDCPPAS",Yes,Yes,
