error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c2f-ftldivp-p-1001,1001,Error,c2f,IF,FRMDATEC2F,Plausibility,FRMDATEC2F earliest date allowed,FRMDATEC2F must not be from date before form was released,Q0a. FRMDATEC2F (C2F form date) must not be from date before form was released (2012),IF FRMDATEC2F before (01/01/2012),,,,,
c2f-ftldivp-p-1002,1002,Error,c2f,IF,FTDSNTOT,Plausibility,"FTDSNTOT compared to FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST","FTDSNTOT must equal 22 minus the sum of FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, and FTDLOST","Q23. FTDSNTOT (SNQ22 Total Score) must equal 22 minus the sum of Q1. FTDHAIRD, Q2. FTDSPIT, Q3. FTDNOSE, Q4. FTDCOAGE, Q5. FTDCRY, Q6. FTDCUT, Q7. FTDYTRIP, Q8. FTDEATP, Q9. FTDTELLA, Q10. FTDOPIN, Q11. FTDLAUGH, Q12. FTDSHIRT, Q13. FTDKEEPM, Q14. FTDPICKN, Q15. FTDOVER, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, Q19. FTDMOVE, Q20. FTDHUGS, Q21. FTDLOUD, and Q22. FTDLOST",If (FTDHAIRD and FTDSPIT and FTDNOSE and FTDCOAGE and FTDCRY and FTDCUT and FTDYTRIP and FTDEATP and FTDTELLA and FTDOPIN and FTDLAUGH and FTDSHIRT and FTDKEEPM and FTDPICKN and FTDOVER and FTDEATR and FTDHAIRL and FTDSHIRW and FTDMOVE and FTDHUGS and FTDLOUD and FTDLOST) in 0-1 and FTDSNTOT ne 22-(FTDHAIRD + FTDSPIT + FTDNOSE + FTDCOAGE + FTDCRY + FTDCUT + FTDYTRIP + FTDEATP + FTDTELLA + FTDOPIN + FTDLAUGH + FTDSHIRT + FTDKEEPM + FTDPICKN + FTDOVER + FTDEATR  + FTDHAIRL + FTDSHIRW + FTDMOVE + FTDHUGS + FTDLOUD + FTDLOST),,"FTDSNTOT, FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST",,,
c2f-ftldivp-p-1003,1003,Error,c2f,IF,FTDSNTOT,Plausibility,"FTDSNTOT compared to FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST","FTDSNTOT cannot equal 88 if FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, and FTDLOST all have valid scores","Q23. FTDSNTOT (SNQ22 Total Score) cannot equal 88 (Some scores missing) if Q1. FTDHAIRD, Q2. FTDSPIT, Q3. FTDNOSE, Q4. FTDCOAGE, Q5. FTDCRY, Q6. FTDCUT, Q7. FTDYTRIP, Q8. FTDEATP, Q9. FTDTELLA, Q10. FTDOPIN, Q11. FTDLAUGH, Q12. FTDSHIRT, Q13. FTDKEEPM, Q14. FTDPICKN, Q15. FTDOVER, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, Q19. FTDMOVE, Q20. FTDHUGS, Q21. FTDLOUD, and Q22. FTDLOST all have valid scores (0-1)",If FTDSNTOT = 88 and (FTDHAIRD and FTDSPIT and FTDNOSE and FTDCOAGE and FTDCRY and FTDCUT and FTDYTRIP and FTDEATP and FTDTELLA and FTDOPIN and FTDLAUGH and FTDSHIRT and FTDKEEPM and FTDPICKN and FTDOVER and FTDEATR and FTDHAIRL and FTDSHIRW and FTDMOVE and FTDHUGS and FTDLOUD and FTDLOST) in 0-1,,"FTDSNTOT, FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST",,,
c2f-ftldivp-p-1004,1004,Error,c2f,IF,FTDSNTOT,Plausibility,"FTDSNTOT compared to FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST","FTDSNTOT should equal 88 if any of FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, or FTDLOST are blank","Q23. FTDSNTOT (SNQ22 Total Score) should equal 88 (Some scores missing) if any of Q1. FTDHAIRD, Q2. FTDSPIT, Q3. FTDNOSE, Q4. FTDCOAGE, Q5. FTDCRY, Q6. FTDCUT, Q7. FTDYTRIP, Q8. FTDEATP, Q9. FTDTELLA, Q10. FTDOPIN, Q11. FTDLAUGH, Q12. FTDSHIRT, Q13. FTDKEEPM, Q14. FTDPICKN, Q15. FTDOVER, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, Q19. FTDMOVE, Q20. FTDHUGS, Q21. FTDLOUD, or Q22. FTDLOST are missing (blank)",If FTDSNTOT ne 88 and (FTDHAIRD or FTDSPIT or FTDNOSE or FTDCOAGE or FTDCRY or FTDCUT or FTDYTRIP or FTDEATP or FTDTELLA or FTDOPIN or FTDLAUGH or FTDSHIRT or FTDKEEPM or FTDPICKN or FTDOVER or FTDEATR or FTDHAIRL or FTDSHIRW or FTDMOVE or FTDHUGS or FTDLOUD or FTDLOST) = blank,,"FTDSNTOT, FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST",,,
c2f-ftldivp-p-1005,1005,Error,c2f,IF,FTDSNTBS,Plausibility,"FTDSNTBS compared to FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, FTDLOUD","FTDSNTBS must equal the sum of FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, and FTDLOUD","Q24. FTDSNTBS (SNQ22 Break Score) must equal the sum of Q1. FTDHAIRD, Q2. FTDSPIT, Q4. FTDCOAGE, Q6. FTDCUT, Q8. FTDEATP, Q11. FTDLAUGH, Q12. FTDSHIRT, Q14. FTDPICKN, Q15. FTDOVER, Q19. FTDMOVE, Q20. FTDHUGS, and Q21. FTDLOUD",If (FTDHAIRD and FTDSPIT and FTDCOAGE and FTDCUT and FTDEATP and FTDLAUGH and FTDSHIRT and FTDPICKN and FTDOVER and FTDMOVE and FTDHUGS and FTDLOUD) in 0-1 and FTDSNTBS ne (FTDHAIRD + FTDSPIT + FTDCOAGE + FTDCUT + FTDEATP + FTDLAUGH + FTDSHIRT + FTDPICKN + FTDOVER + FTDMOVE + FTDHUGS + FTDLOUD),,"FTDSNTBS, FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, FTDLOUD",,,
c2f-ftldivp-p-1006,1006,Error,c2f,IF,FTDSNTBS,Plausibility,"FTDSNTBS compared to FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, FTDLOUD","FTDSNTBS cannot equal 88 if FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, FTDLOUD all have valid scores","Q24. FTDSNTBS (SNQ22 Break Score) cannot equal 88 (Some scores missing) if Q1. FTDHAIRD, Q2. FTDSPIT, Q4. FTDCOAGE, Q6. FTDCUT, Q8. FTDEATP, Q11. FTDLAUGH, Q12. FTDSHIRT, Q14. FTDPICKN, Q15. FTDOVER, Q19. FTDMOVE, Q20. FTDHUGS, and Q21. FTDLOUD all have valid scores (0-1)",If FTDSNTBS = 88 and (FTDHAIRD and FTDSPIT and FTDCOAGE and FTDCUT and FTDEATP and FTDLAUGH and FTDSHIRT and FTDPICKN and FTDOVER and FTDMOVE and FTDHUGS and FTDLOUD) in 0-1,,"FTDSNTBS, FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, FTDLOUD",,,
c2f-ftldivp-p-1007,1007,Error,c2f,IF,FTDSNTBS,Plausibility,"FTDSNTBS compared to FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, FTDLOUD","FTDSNTBS should equal 88 if any of FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, or FTDLOUD are blank","Q24. FTDSNTBS (SNQ22 Break Score) should equal 88 (Some scores missing) if any of Q1. FTDHAIRD, Q2. FTDSPIT, Q4. FTDCOAGE, Q6. FTDCUT, Q8. FTDEATP, Q11. FTDLAUGH, Q12. FTDSHIRT, Q14. FTDPICKN, Q15. FTDOVER, Q19. FTDMOVE, Q20. FTDHUGS, or Q21. FTDLOUD are missing (blank)",If FTDSNTBS ne 88 and (FTDHAIRD or FTDSPIT or FTDNOSE or FTDCOAGE or FTDCRY or FTDCUT or FTDYTRIP or FTDEATP or FTDTELLA or FTDOPIN or FTDLAUGH or FTDSHIRT or FTDKEEPM or FTDPICKN or FTDOVER or FTDEATR or FTDHAIRL or FTDSHIRW or FTDMOVE or FTDHUGS or FTDLOUD or FTDLOST) = blank,,"FTDSNTBS, FTDHAIRD, FTDSPIT, FTDCOAGE, FTDCUT, FTDEATP, FTDLAUGH, FTDSHIRT, FTDPICKN, FTDOVER, FTDMOVE, FTDHUGS, FTDLOUD",,,
c2f-ftldivp-p-1008,1008,Error,c2f,IF,FTDSNTOS,Plausibility,"FTDSNTOS compared to FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, FTDLOST","FTDSNTOS must equal the sum of FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, and FTDLOST","Q25. FTDSNTOS (SNQ22 Overadhere Score) must equal the sum of Q3. FTDNOSE, Q5. FTDCRY, Q7. FTDYTRIP, Q9. FTDTELLA, Q10. FTDOPIN, Q13. FTDKEEPM, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, and Q22. FTDLOST",If (FTDNOSE and FTDCRY and FTDYTRIP and FTDTELLA and FTDOPIN and FTDKEEPM and FTDEATR and FTDHAIRL and FTDSHIRW and FTDLOST) in 0-1 and FTDSNTOS ne (FTDNOSE + FTDCRY + FTDYTRIP + FTDTELLA + FTDOPIN + FTDKEEPM + FTDEATR + FTDHAIRL + FTDSHIRW + FTDLOST),,"FTDSNTOS, FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, FTDLOST",,,
c2f-ftldivp-p-1009,1009,Error,c2f,IF,FTDSNTOS,Plausibility,"FTDSNTOS compared to FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, FTDLOST","FTDSNTOS cannot equal 88 if FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, FTDLOST all have valid scores","Q25. FTDSNTOS (SNQ22 Overadhere Score) cannot equal 88 (Some scores missing) if Q3. FTDNOSE, Q5. FTDCRY, Q7. FTDYTRIP, Q9. FTDTELLA, Q10. FTDOPIN, Q13. FTDKEEPM, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, and Q22. FTDLOST all have valid scores (0-1)",If FTDSNTOS = 88 and (FTDNOSE and FTDCRY and FTDYTRIP and FTDTELLA and FTDOPIN and FTDKEEPM and FTDEATR and FTDHAIRL and FTDSHIRW and FTDLOST) in 0-1,,"FTDSNTOS, FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, FTDLOST",,,
c2f-ftldivp-p-1010,1010,Error,c2f,IF,FTDSNTOS,Plausibility,"FTDSNTOS compared to FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, FTDLOST","FTDSNTOS should equal 88 if any of FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, or FTDLOST are blank","Q25. FTDSNTOS (SNQ22 Overadhere Score) should equal 88 (Some scores missing) if any of Q3. FTDNOSE, Q5. FTDCRY, Q7. FTDYTRIP, Q9. FTDTELLA, Q10. FTDOPIN, Q13. FTDKEEPM, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, or Q22. FTDLOST are missing (blank)",If FTDSNTOS ne 88 and (FTDNOSE or FTDCRY or FTDYTRIP or FTDTELLA or FTDOPIN or FTDKEEPM or FTDEATR or FTDHAIRL or FTDSHIRW or FTDLOST) = blank,,"FTDSNTOS, FTDNOSE, FTDCRY, FTDYTRIP, FTDTELLA, FTDOPIN, FTDKEEPM, FTDEATR, FTDHAIRL, FTDSHIRW, FTDLOST",,,
