error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c3f-ftldivp-m-001,1,Error,c3f,IF,FRMDATEC3F,Missingness,FRMDATEC3F must be present,FRMDATEC3F cannot be blank,Q0a. FRMDATEC3F (C3F form date) cannot be blank ,If FRMDATEC3F = blank,,,,,
c3f-ftldivp-c-002,2,Error,c3f,IF,FRMDATEC3F,Conformity,FRMDATEC3F conforms,FRMDATEC3F must be a date,Q0a. FRMDATEC3F (C3F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC3F is not mm/dd/yyyy or yyyy/mm/dd,,,,,
c3f-ftldivp-m-003,3,Error,c3f,IF,LANGC3F,Missingness,LANGC3F must be present,LANGC3F cannot be blank,Q0c. LANGC3F (Language of C3F administration) cannot be blank,If LANGC3F = blank,,,,,
c3f-ftldivp-c-004,4,Error,c3f,IF,LANGC3F,Conformity,LANGC3F conforms,LANGC3F must be an integer between 1-2,Q0c. LANGC3F (Language of C3F administration) must be an integer between 1-2,If LANGC3F < 1 or LANGC3F > 2,,,,,
c3f-ftldivp-m-005,5,Error,c3f,IF,FTDSELF,MIssingness,FTDSELF must be present,FTDSELF cannot be blank,Q1. FTDSELF (embarrassed of self) cannot be blank,FTDSELF=blank,,,,,
c3f-ftldivp-c-006,6,Error,c3f,IF,FTDSELF,Conformity,FTDSELF conforms,FTDSELF must be between 0 and 3,Q1. FTDSELF (embarrassed of self) must be between 0 and 3,"FTDSELF ne 0,1,2,3",,,,,
c3f-ftldivp-m-007,7,Error,c3f,IF,FTDBADLY,MIssingness,FTDBADLY must be present,FTDBADLY cannot be blank,Q1a. FTDBADLY (performing badly) cannot be blank,FTDBADLY=blank,,,,,
c3f-ftldivp-c-008,8,Error,c3f,IF,FTDBADLY,Conformity,FTDBADLY conforms,FTDBADLY must be between 0 and 3,Q1a. FTDBADLY (performing badly) must be between 0 and 3,"FTDBADLY ne 0,1,2,3",,,,,
c3f-ftldivp-m-009,9,Error,c3f,IF,FTDDEPR,Missingness,FTDDEPR must be present,FTDDEPR cannot be blank,Q1b. FTDDEPR (self depreciatory) cannot be blank,FTDDEPR=blank,,,,,
c3f-ftldivp-c-010,10,Error,c3f,IF,FTDDEPR,Conformity,FTDDEPR conforms,FTDDEPR must be between 0 and 3,Q1b. FTDDEPR (self depreciatory) must be between 0 and 3,"FTDDEPR ne 0,1,2,3",,,,,
c3f-ftldivp-m-011,11,Error,c3f,IF,FTDEMOTD,MIssingness,FTDEMOTD must be present,FTDEMOTD cannot be blank,Q1c. FTDEMOTD (emotional distress) cannot be blank,FTDEMOTD=blank,,,,,
