error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-001,1,Error,e2f,IF,FTDSMRI,Missingness,FTDSMRI must be present,FTDSMRI cannot be blank,Q1. FTDSMRI ( Is a structural MRI scan available for data sharing?) cannot be blank,IF FTDSMRI =blank,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-002,2,Error,e2f,IF,FTDSMRI,Conformity,FTDSMRI conforms,FTDSMRI must be a an integer between 0-1,Q1. FTDSMRI ( Is a structural MRI scan available for data sharing?) must be an integer between 0-1,IF FTDSMRI < 0 or FTDSMRI > 1,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-003,3,Error,e2f,IF,FTDSMMO,Missingness,FTDSMMO conditionally present,"If FTDSMRI = 1, FTDSMMO cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1a. FTDSMMO (Month of structural MRI scan) cannot be blank", IF FTDSMRI = 1 and FTDSMMO = blank,,"FTDSMRI, FTDSMMO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-004,4,Error,e2f,IF,FTDSMMO,Missingness,FTDSMMO conditionally blank,"If FTDSMMO = 0, FTDSMMO should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Qa1. FTDSMMO (Month of structural MRI scan) should be blank",If FTDSMRI = 0 and FTDSMMO not = blank,,"FTDSMRI, FTDSMMO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-005,5,Error,e2f,IF,FTDSMMO,Conformity,FTDSMMO conforms,FTDSMMO must be an integer between 1-12,Q1a. FTDSMMO (Month of structural MRI scan) must be an integer between 1-12,If FTDSMMO  < 1 and FTDSMMO >12,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-006,6,Error,e2f,IF,FTDSMDY,Missingness,FTDSMDY conditionally present,"If FTDSMRI = 1, FTDSMDY cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1a. FTDSMDY (Day of structural MRI scan) cannot be blank", IF FTDSMRI = 1 and FTDSMDY = blank,,"FTDSMRI, FTDSMDY",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-007,7,Error,e2f,IF,FTDSMDY,Missingness,FTDSMDY conditionally blank,"If FTDSMRI = 0, FTDSMDY should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Qa1. FTDSMDY (Day of structural MRI scan) should be blank",If FTDSMRI = 0 and FTDSMDY not = blank,,"FTDSMRI, FTDSMDY",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-008,8,Error,e2f,IF,FTDSMDY,Conformity,FTDSMDY conforms,FTDSMDY must be an integer between 1-31 or 99,Q1a. FTDSMDY (Dayof structural MRI scan) must be an integer between 1-31 or 99,If FTDSMDY  < 1 and (FTDSMDY >31 and FTDSMDY ≠ 99),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-009,9,Error,e2f,IF,FTDSMYR,Missingness,FTDSMYR conditionally present,"If FTDSMRI = 0, FTDSMYR should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1a. FTDSMYR (Year of structural MRI scan) cannot be blank", IF FTDSMRI = 1 and FTDSMYR = blank,,"FTDSMRI, FTDSMDYR",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-010,10,Error,e2f,IF,FTDSYMYR,Missingness,FTDSMYR conditionally blank,"If FTDSMMO = 0, FTDSMYR should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Qa1. FTDSMYR (Year of structural MRI scan) should be blank",If FTDSMRI = 0 and FTDSMYR not = blank,,"FTDSMRI, FTDSMDYR",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-011,11,Error,e2f,IF,FTDSMYR,Conformity,FTDSMYR conforms,FTDSMYR must be an integer between 2000-present year,Q1a. FTDSMYR (Year of structural MRI scan) must be an integer between 2000-present year,If FTDSMYR  < 2000 and FTDSMYR > present year,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-012,12,Error,e2f,IF,FTDSMDIC,Missingness,FTDSMDIC conditionally present,"If FTDSMRI = 1, FTDSMDIC cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1b. FTDSMDIC (Structural MRI scan: Is it in DICOM format or other electronic format?) cannot be blank", IF FTDSMRI = 1 and FTDSMDIC = blank,,"FTDSMRI, FTDSMDIC",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-013,13,Error,e2f,IF,FTDSMDIC,Missingness,FTDSMDIC conditionally blank,"If FTDSMRI = 0, FTDSMDIC should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Qab. FTDSMDIC (Structural MRI scan: Is it in DICOM format or other electronic format?) should be blank",If FTDSMRI = 1 and FTDSMDIC not = blank,,"FTDSMRI, FTDSMDIC",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-014,14,Error,e2f,IF,FTDSMDIC,Conformity,FTDSMDIC conforms,FTDSMDIC must be an integer between 0-1 or 9,Q1b. FTDSMDIC (Structural MRI scan: Is it in DICOM format or other electronic format?) must be an integer between 0-1 or 9,If FTDSMDIC  < 0 and (FTDSMDIC >1 and FTDSMDIC ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-015,15,Error,e2f,IF,FTDSMDIS,Missingness,FTDSMDIS conditionally present,"If FTDSMDIC = 1, FTDSMDIS cannot be blank","If Q1b. FTDSMDIC (Structural MRI scan: Is it in DICOM format or other electronic format?)= 1, Q1b1. FTDSMDIS (Structural MRI scan: Specify DICOM format or other format) cannot be blank", IF FTDSMDIC = 1 and FTDSMDIS = blank,,"FTDSMRI, FTDSMDIS",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-016,16,Error,e2f,IF,FTDSMADN,Missingness,FTDSMADN conditionally present,"If FTDSMRI = 1, FTDSMADN cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1c. FTDSMADN (Structural MRI scan: Was ADNI protocol used?) cannot be blank", IF FTDSMRI = 1 and FTDSMADN = blank,,"FTDSMRI, FTDSMADN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-017,17,Error,e2f,IF,FTDSMADN,Missingness,FTDSMADN conditionally blank,"If FTDSMRI = 0, FTDSMADN should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Qac. FTDSMADN (Structural MRI scan: Was ADNI protocol used?) should be blank",If FTDSMRI = 0 and FTDSMADN not = blank,,"FTDSMRI, FTDSMADN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-018,18,Error,e2f,IF,FTDSMADN,Conformity,FTDSMADN conforms,FTDSMADN must be an integer between 0-1 or 9,"Q1c. FTDSMADN ( Structural MRI scan: If ADNI protocol was used, then ADNI version?) must be an integer between 0-1 or 9",If FTDSMADN  < 0 and (FTDSMADN >1 and FTDSMADN ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-019,19,Error,e2f,IF,FTDSMADV,Missingness,FTDSMADV conditionally present,"If FTDSMADN = 1, FTDSMADV cannot be blank","If Q1c. FTDSMADN ( Structural MRI scan: If ADNI protocol was used, then ADNI version?) = 1, Q1c1. FTDSMADV (Structural MRI scan: If ADNI protocol was used, then ADNI version?) cannot be blank", IF FTDSMADN = 1 and FTDSMADV = blank,,"FTDSMADN, FTDSMADV",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-020,20,Error,e2f,IF,FTDSMMAN,Missingness,FTDSMMAN conditionally present,"If FTDSMRI = 1, FTDSMMAN cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1d. FTDSMMAN (Structural MRI scan: Scan manufacturer?) cannot be blank", IF FTDSMRI = 1 and FTDSMMAN = blank,,"FTDSMRI, FTDSMMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
