error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
e3f-ivp-m-001,1,Error,e3f,I,FRMDATEE3F,Missingness,FRMDATEE3F must be present,FRMDATEE3F cannot be blank,Q0a. FRMDATEE3F (E3F form date) cannot be blank ,If FRMDATEE3F = blank,,,,,
e3f-ivp-c-002,2,Error,e3f,I,FRMDATEE3F,Conformity,FRMDATEE3F conforms,FRMDATEE3F must be a date,Q0a. FRMDATEE3F (E3F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEE3F is not mm/dd/yyyy or yyyy/mm/dd,,,,,
e3f-ivp-m-003,3,Error,e3f,I,LANGE3F,Missingness,LANGE3F must be present,LANGE3F cannot be blank,Q0c. LANGE3F (Language of E3F administration) cannot be blank,If LANGE3F = blank,,,,,
e3f-ivp-c-004,4,Error,e3f,I,LANGE3F,Conformity,LANGE3F conforms,LANGE3F must be an integer between 1-2,Q0c. LANGE3F (Language of E3F administration) must be an integer between 1-2,If LANGE3F < 1 or LANGE3F > 2,,,,,
e3f-ivp-m-005,5,Error,e3f,I,FTDIDIAG,Missingness,FTDIDIAG must be present,FTDIDIAG cannot be blank,Q1. FTDIDIAG (Imaging obtained as part of this visit for use in diagnosis) cannot be blank,IF FTDIDIAG =blank,,,,,
e3f-ivp-c-006,6,Error,e3f,I,FTDIDIAG,Conformity,FTDIDIAG conforms,FTDIDIAG must be a an integer between 0-1,Q1. FTDIDIAG (Imaging obtained as part of this visit for use in diagnosis)  must be an integer between 0-1,IF FTDIDIAG < 0 or FTDIDIAG > 1,,,,,
e3f-ivp-m-007,7,Error,e3f,I,FTDSMRIO,Missingness,FTDSMRIO conditionally present,"If FTDIDIAG = 1, FTDSMRIO cannot be blank","If Q1. FTDIDIAG = 1, Q2. FTDSMRIO (Was structural MRI imaging done?) cannot be blank",IF FTDIDIAG = 1 and FTDSMRIO =blank,,"FTDIDIAG, FTDSMRIO",,,
e3f-ivp-m-008,8,Error,e3f,I,FTDSMRIO,Missingness,FTDSMRIO conditionally blank,"If FTDIDIAG = 0, FTDSMRIO should be blank","If Q1. FTDIDIAG = 0, Q2. FTDSMRIO (Was structural MRI imaging done?) should be blank",IF FTDIDIAG = 0 and FTDSMRIO not =blank,,"FTDIDIAG, FTDSMRIO",,,
e3f-ivp-c-009,9,Error,e3f,I,FTDSMRIO,Conformity,FTDSMRIO conforms,FTDSMRIO must be an integer between 0-1 ,Q2. FTDSMRIO (Was structural MRI imaging done?) must be an integer between 0-1,If FTDSMRIO < 0 and FTDSMRIO >1 ,,,,,
e3f-ivp-m-010,10,Error,e3f,I,FTDMRIFA,Missingness,FTDMRIFA conditionally present,"If FTDSMRIO = 1, FTDMRIFA cannot be blank","If Q2. FTDSMRIO = 1, Q2a. FTDMRIFA (Structural MRI: Was focal atrophy (beyond what would be expected for age) appreciated by visual inspection?) cannot be blank",IF FTDIDIAG = 1 and FTDMRIFA =blank,,"FTDIDIAG, FTDSMRIFA",,,
e3f-ivp-m-011,11,Error,e3f,I,FTDMRIFA,Missingness,FTDMRIFA conditionally blank,"If FTDIDIAG = 0 or FTDSMRIO = 0, FTDMRIFA should be blank","If Q1. FTDIDIAG = 0 or Q2. FTDSMRIO = 0, Q2a. FTDMRIFA (Structural MRI: Was focal atrophy (beyond what would be expected for age) appreciated by visual inspection?) should be blank",IF FTDIDIAG = 0 or FTDSMRIO = 0 and FTDMRIFA not = blank,,"FTDIDIAG, FTDSMRIO, FTDSMRIFA",,,
e3f-ivp-c-012,12,Error,e3f,I,FTDMRIFA,Conformity,FTDMRIFA conforms,FTDMRIFA must be an integer between 0-1 or 9,Q2a. FTDMRIFA (Structural MRI: Was focal atrophy (beyond what would be expected for age) appreciated by visual inspection?) must be an integer between 0-1 or 9,If FTDMRIFA  < 0 and (FTDMRIFA >1 and FTDMRIFA not = 9),,,,,
e3f-ivp-m-013,13,Error,e3f,I,FTDMRIRF,Missingness,FTDMRIRF conditionally present,"If FTDMRIFA = 1, FTDMRIRF cannot be blank","If Q2a. FTDMRIFA = 1, Q2a1. FTDMRIRF (Structural MRI: Right frontal lobe) cannot be blank",IF FTDMRIFA = 1 and FTDMRIRF = blank,,"FTDMRIFA, FTDMRIRF",,,
e3f-ivp-m-014,14,Error,e3f,I,FTDMRIRF,Missingness,FTDMRIRF conditionally blank,"If FTDIDIAG = 0 or FTDSMRIO = 0 or FTDMRIFA in (0, 9), FTDMRIRF should be blank","If Q1. FTDIDIAG = 0 or Q2. FTDSMRIO = 0 or Q2a. FTDMRIFA in (0, 9), Q2a1. FTDMRIRF (Structural MRI: Right frontal lobe) should be blank","IF (FTDIDIAG = 0 or FTDSMRIO = 0 or FTDMRIFA in (0,9)) and FTDMRIRF not = blank",,"FTDIDIAG, FTDSMRIO, FTDMRIFA, FTDMRIRF",,,
e3f-ivp-c-015,15,Error,e3f,I,FTDMRIRF,Conformity,FTDMRIRF conforms,FTDMRIRF must be an integer between 0-1 or 9,Q2a1. FTDMRIRF (Structural MRI: Right frontal lobe) must be an integer between 0-1 or 9,If FTDMRIRF  < 0 and (FTDMRIRF >1 and FTDMRIRF not = 9),,,,,
