error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions
lbd_header-lbdivp-m-001,001,Error,lbd_header,IL,PTID,Missingness,PTID must be present,PTID cannot be blank,Header variable PTID cannot be blank,IF PTID=blank,,,Yes,Yes
lbd_header-lbdivp-m-002,002,Error,lbd_header,IL,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Header variable ADCID cannot be blank,IF ADCID=blank ,,,Yes,Yes
lbd_header-lbdivp-c-003,003,Error,lbd_header,IL,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Header variable ADCID must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,Yes,Yes
lbd_header-lbdivp-m-004,004,Error,lbd_header,IL,VISITNUM,Missingness,VISITNUM must be present,VISITNUM cannot be blank,Header variable VISITNUM cannot be blank,IF VISITNUM=blank,,,Yes,Yes
lbd_header-lbdivp-m-005,005,Error,lbd_header,IL,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Header variable PACKET cannot be blank,IF PACKET=blank ,,,Yes,Yes
lbd_header-lbdivp-c-006,006,Error,lbd_header,IL,PACKET,Conformity,PACKET conforms,"PACKET must be in (""IL"")","Header variable PACKET must be in (""IL"")","IF PACKET is not in (""IL"")",,,Yes,Yes
lbd_header-lbdivp-m-007,007,Error,lbd_header,IL,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Header variable FORMVER cannot be blank,IF FORMVER=blank,,,Yes,Yes
lbd_header-lbdivp-c-008,008,Error,lbd_header,IL,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 3 or 3.1,Header variable FORMVER must equal 3 or 3.1,"IF FORMVER ne (3, 3.1)",,,Yes,Yes
lbd_header-lbdivp-m-009,009,Error,lbd_header,IL,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Header variable VISITDATE cannot be blank,IF VISITDATE=blank,,,No,No
lbd_header-lbdivp-c-010,010,Error,lbd_header,IL,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be in mm/dd/yyyy or yyyy/mm/dd format,Header variable VISITDATE must be in mm/dd/yyyy or yyyy/mm/dd format,IF VISITDATE not in (mm/dd/yyyy or yyyy/mm/dd),,,Yes,Yes
,,,,,,,,,,,,,,
