error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b2l-lbdivp-m-001,1,Error,b2l,IL,FRMDATEB2L,Missingness,FRMDATEB2L must be present,FRMDATEB2L cannot be blank,Q0a. FRMDATEB2L (B2L form date) cannot be blank ,If FRMDATEB2L = blank,,,,,
b2l-lbdivp-c-002,2,Error,b2l,IL,FRMDATEB2L,Conformity,FRMDATEB2L conforms,FRMDATEB2L must be a date,Q0a. FRMDATEB2L (B2L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB2L is not mm/dd/yyyy or yyyy/mm/dd,,,,,
b2l-lbdivp-m-003,3,Error,b2l,IL,LBUDSPCH,Missingness,LBUDSPCH must be present,LBUDSPCH cannot be blank,Q1. LBUDSPCH (Speech) cannot be blank,IF LBUDSPCH =blank,,,,,
b2l-lbdivp-c-004,4,Error,b2l,IL,LBUDSPCH,Conformity,LBUDSPCH conforms,"LBUDSPCH must be an integer between 0-4, 8, or 9","Q1. LBUDSPCH (Speech) must be an integer between 0-4, 8, or 9","IF LBUDSPCH < 0 or (LBUDSPCH > 4 and LBUDSPCH not in (8, 9))",,,,,
b2l-lbdivp-m-005,5,Error,b2l,IL,LBUDSALV,Missingness,LBUDSALV must be present,LBUDSALV cannot be blank,Q2. LBUDSALV (Salivation) cannot be blank,IF LBUDSALV =blank,,,,,
b2l-lbdivp-c-006,6,Error,b2l,IL,LBUDSALV,Conformity,LBUDSALV conforms,"LBUDSALV must be an integer between 0-4, 8, or 9","Q2. LBUDSALV (Salivation) must be an integer between 0-4, 8, or 9","IF LBUDSALV < 0 or (LBUDSALV > 4 and LBUDSALV not in (8, 9))",,,,,
b2l-lbdivp-m-007,7,Error,b2l,IL,LBUDSWAL,Missingness,LBUDSWAL must be present,LBUDSWAL cannot be blank,Q3. LBUDSWAL (Swallowing) cannot be blank,IF LBUDSWAL =blank,,,,,
b2l-lbdivp-c-008,8,Error,b2l,IL,LBUDSWAL,Conformity,LBUDSWAL conforms,"LBUDSWAL must be an integer between 0-4, 8, or 9","Q3. LBUDSWAL (Swallowing) must be an integer between 0-4, 8, or 9","IF LBUDSWAL < 0 or (LBUDSWAL > 4 and LBUDSWAL not in (8, 9))",,,,,
b2l-lbdivp-m-009,9,Error,b2l,IL,LBUWRITE,Missingness,LBUWRITE must be present,LBUWRITE cannot be blank,Q4. LBUWRITE (Handwriting) cannot be blank,IF LBUWRITE =blank,,,,,
b2l-lbdivp-c-010,10,Error,b2l,IL,LBUWRITE,Conformity,LBUWRITE conforms,"LBUWRITE must be an integer between 0-4, 8, or 9","Q4. LBUWRITE (Handwriting) must be an integer between 0-4, 8, or 9","IF LBUWRITE < 0 or (LBUWRITE > 4 and LBUWRITE  not in (8, 9))",,,,,
