error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b4l-lbdfvp-m-001,001,Error,b4l,FL,FRMDATEB4L,Missingness,FRMDATEB4L must be present,FRMDATEB4L cannot be blank,Q0a. FRMDATEB4L (B4L form date) cannot be blank ,If FRMDATEB4L = blank,,,Yes,No,
b4l-lbdfvp-c-002,002,Error,b4l,FL,FRMDATEB4L,Conformity,FRMDATEB4L conforms,FRMDATEB4L must be a date,Q0a. FRMDATEB4L (B4L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB4L is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b4l-lbdfvp-m-003,003,Error,b4l,FL,LBDELUS,Missingness,LBDELUS must be present,LBDELUS cannot be blank,Q1. LBDELUS (participant have beliefs that you know are not true) cannot be blank,IF LBDELUS = blank,,,,,
b4l-lbdfvp-c-004,004,Error,b4l,FL,LBDELUS,Conformity,LBDELUS conforms,LBDELUS must be an integer between 0-1 or 8,Q1. LBDELUS (participant have beliefs that you know are not true) must be an integer between 0-1 or 8,IF LBDELUS < 0 or (LBDELUS > 1 and not = 8),,,,,
b4l-lbdfvp-m-005,005,Error,b4l,FL,LBDHURT,Missingness,LBDHURT conditionally present,"If LBDELUS = 1, then LBDHURT cannot be blank","If Q1. LBDELUS = 1, then Q1a. LBDHURT (participant believe that he/she is in danger) cannot be blank",IF LBDELUS = 1 and LBDHURT = blank,,"LBDELUS, LBDHURT",,,
b4l-lbdfvp-m-006,006,Error,b4l,FL,LBDHURT,Missingness,LBDHURT conditionally blank,"If LBDELUS not = 1, then LBDHURT must be blank","If Q1. LBDELUS not = 1, then Q1a. LBDHURT (participant believe that he/she is in danger) must be blank",IF LBDELUS not = 1 and LBDHURT is not blank,,"LBDELUS, LBDHURT",,,
b4l-lbdfvp-c-007,007,Error,b4l,FL,LBDHURT,Conformity,LBDHURT conforms,LBDHURT must be an integer between 0-1,Q1a. LBDHURT (participant believe that he/she is in danger) must be an integer between 0-1,IF LBDHURT < 0 or LBDHURT > 1,,,,,
b4l-lbdfvp-m-008,008,Error,b4l,FL,LBDSTEAL,Missingness,LBDSTEAL conditionally present,"If LBDELUS = 1, then LBDSTEAL cannot be blank","If Q1. LBDELUS = 1, then Q1b. LBDSTEAL (participant believe that others are stealing from him/her) cannot be blank",IF LBDELUS = 1 and LBDSTEAL = blank,,"LBDELUS, LBDSTEAL",,,
b4l-lbdfvp-m-009,009,Error,b4l,FL,LBDSTEAL,Missingness,LBDSTEAL conditionally blank,"If LBDELUS not = 1, then LBDSTEAL must be blank","If Q1. LBDELUS not = 1, then Q1b. LBDSTEAL (participant believe that others are stealing from him/her) must be blank",IF LBDELUS not = 1 and LBDSTEAL is not blank,,"LBDELUS, LBDSTEAL",,,
b4l-lbdfvp-c-010,010,Error,b4l,FL,LBDSTEAL,Conformity,LBDSTEAL conforms,LBDSTEAL must be an integer between 0-1,Q1b. LBDSTEAL (participant believe that others are stealing from him/her) must be an integer between 0-1,IF LBDSTEAL < 0 or LBDSTEAL > 1,,,,,
b4l-lbdfvp-m-011,011,Error,b4l,FL,LBDAFFR,Missingness,LBDAFFR conditionally present,"If LBDELUS = 1, then LBDAFFR cannot be blank","If Q1. LBDELUS = 1, then Q1c. LBDAFFR (participant believe that his/her spouse/ partner is having an affair) cannot be blank",IF LBDELUS = 1 and LBDAFFR = blank,,"LBDELUS, LBDAFFR",,,
b4l-lbdfvp-m-012,012,Error,b4l,FL,LBDAFFR,Missingness,LBDAFFR conditionally blank,"If LBDELUS not = 1, then LBDAFFR must be blank","If Q1. LBDELUS not = 1, then Q1c. LBDAFFR (participant believe that his/her spouse/ partner is having an affair) must be blank",IF LBDELUS not = 1 and LBDAFFR is not blank,,"LBDELUS, LBDAFFR",,,
