error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1001,1001,Error,b4l,IL,FRMDATEB4L,Plausibility,FRMDATEB4L earliest date allowed,FRMDATEB4L must not be from date before form was released,Q0a. FRMDATEB4L (B4L form date) must not be from date before form was released (2017),IF FRMDATEB4L before (01/01/2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1002,1002,Alert,b4l,IL,LBDELDST,Plausibility,LBDELDST compared to LBDELFRQ and LBDELSEV,"If (LBDELFRQ = 4 or LBDELSEV = 3), then LBDELDST should not equal 0","If Q1j. LBDELFRQ (Frequency of delusions) = 4 (Very frequent - once or more per day) or Q1k. LBDELSEV (Severity of delusions) = 3 (Majorly disruptive), then Q1l. LBDELDST (How emotionally distressing do you find this behavior?) should not equal 0 (Not at all)",IF (LBDELFRQ = 4 or LBDELSEV = 3) and LBDELDST = 0,,"LBDELDST, LBDELFRQ, LBDELSEV",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1003,1003,Alert,b4l,IL,LBHALDST,Plausibility,LBHALDST compared to LBHALFRQ and LBHALSEV,"If (LBHALFRQ = 4 or LBHALSEV = 3), LBHALDST should not equal 0","If Q2h. LBHALFRQ (Frequency of hallucinations) = 4 (Very frequent - once or more per day) or Q2i. LBHALSEV (Severity of hallucinations) = 3 (Majorly disruptive), then Q2j. LBHALDST (How emotionally distressing do you find this behavior?) should not equal 0 (Not at all)",IF (LBHALFRQ = 4 or LBHALSEV = 3) and LBHALDST = 0,,"LBHALDST, LBHALFRQ, LBHALSEV",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1004,1004,Alert,b4l,IL,LBANXDST,Plausibility,LBANXDST compared to LBANXFRQ and LBANXSEV,"If (LBANXFRQ = 4 or LBANXSEV = 3), LBANXDST should not equal 0","If Q3h. LBANXFRQ (Frequency of anxiety) = 4 (Very frequent - once or more per day) or Q3i. LBANXSEV (Severity of anxiety) = 3 (Majorly distressing, then Q3j. LBANXDST (How emotionally distressing do you find this behavior?) should not equal 0 (Not at all)",IF (LBANXFRQ = 4 or LBANXSEV = 3) and LBANXDST = 0,,"LBANXDST, LBANXFRQ, LBANXSEV",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1005,1005,Alert,b4l,IL,LBAPADST,Plausibility,LBAPADST compared to LBAPAFRQ and LBAPASEV,"If (LBAPAFRQ = 4 or LBAPASEV = 3), LBAPADST should not equal 0","If Q4i. LBAPAFRQ (Frequency of apathy) = 4 (Very frequent - once or more per day) or Q4j. LBAPASEV (Severity of apathy) = 3 (Majorly evident), then Q4k. LBAPADST (How emotionally distressing do you find this behavior?) should not equal 0 (Not at all)",IF (LBAPAFRQ = 4 or LBAPASEV = 3) and LBAPADST = 0,,"LBAPADST, LBAPAFRQ, LBAPASEV",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1006,1006,Alert,b4l,IL,LBDELAGE,Plausibility,LBDELAGE compared to LBDELUS,"If (LBDELUS is in (0,8) and (LBHALL=1 or LBANXIET=1 or LBAPATHY=1)), then LBDELAGE must equal 888","If (Q1.LBDELUS (Delusions) is in (0,8) (No or Not applicable), and (Q2. LBHALL (Hallucinations)=1 or Q3. LBANXIET (Anxiety)=1 or Q4. LBAPATHY (Apathy)=1)), then Q6a. LBDELAGE (Age of onset of delusions) must equal 888 (Not applicable)","If (LBDELUS is in (0,8) and (LBHALL=1 or LBANXIET=1 or LBAPATHY=1)) and LBDELAGE ne 888",,"LBDELUS, LBHALL, LBANXIET, LBAPATHY, LBDELAGE",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1007,1007,Alert,b4l,IL,LBHALAGE,Plausibility,LBHALAGE compared to LBHALL,"If (LBHALL is in (0,8) and (LBDELUS=1 or LBANXIET=1 or LBAPATHY=1)), then LBHALAGE must equal 888","If (Q1. LBHALL (Hallucinations) is in (0,8) (No or Not applicable), and (Q1. LBDELUS (Delusions)=1 or Q3. LBANXIET (Anxiety)=1 or Q4. LBAPATHY (Apathy)=1)), then Q7a. LBHALAGE (Age of onset of hallucinations) must equal 888 (Not applicable)","If (LBHALL is in (0,8) and (LBDELUS=1 or LBANXIET=1 or LBAPATHY=1)) and LBHALAGE ne 888",,"LBDELUS, LBHALL, LBANXIET, LBAPATHY, LBHALAGE",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1008,1008,Alert,b4l,IL,LBANXAGE,Plausibility,LBANXAGE compared to LBANXIET,"If (LBANXIET is in (0,8) and (LBDELUS=1 or LBHALL=1 or LBAPATHY=1)), then LBANXAGE must equal 888","If (Q3. LBANXIET (Anxiety) is in (0,8) (No or Not applicable), and (Q1. LBDELUS (Delusions)=1 or Q2. LBHALL (Hallucinations)=1 or Q4. LBAPATHY (Apathy)=1)), then Q8a. LBHALAGE (Age of onset of anxiety) must equal 888 (Not applicable)","If (LBANXIET is in (0,8) and (LBDELUS=1 or LBHALL=1 or LBAPATHY=1)) and LBANXAGE ne 888",,"LBDELUS, LBHALL, LBANXIET, LBAPATHY, LBANXAGE",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1009,1009,Alert,b4l,IL,LBAPAAGE,Plausibility,LBAPAAGE compared to LBAPATHY,"If (LBAPATHY is in (0,8) and (LBDELUS=1 or LBHALL=1 or LBANXIET=1)), then LBAPAAGE must equal 888","If (Q4. LBAPATHY (Apathy) is in (0,8) (No or Not applicable), and (Q1. LBDELUS (Delusions)=1 or Q2. LBHALL (Hallucinations)=1 or Q3. LBANXIET (Anxiety)=1)), then Q9a. LBAPAAGE (Age of onset of Apathy) must equal 888 (Not applicable)","If (LBAPATHY is in (0,8) and (LBDELUS=1 or LBHALL=1 or LBANXIET=1)) and LBAPAAGE ne 888",,"LBDELUS, LBHALL, LBANXIET, LBAPATHY, LBAPAAGE",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
b4l-lbdivp-p-1010,1010,Alert,b4l,IL,LBDELUS,Plausibility,LBDELUS compared to UDS Form B5 DEL,"If MODEB5 != 0 and DEL=0, then LBDELUS should equal 0","If UDS Form B5, Q0d. MODEB5 != 0 (Form completed) and UDS Form B5, Q2. DEL (Delusions)=0 (No), then Q1. LBDELUS (participant have beliefs that you know are not true) should equal 0 (No)",If (MODEB5 != 0 and DEL=0) and LBDELUS ne 0,"b4l, b5","MODEB5, DEL, LBDELUS",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
