error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b7l-lbdfvp-p-1001,1001,Error,b7l,FL,FRMDATEB7L,Plausibility,FRMDATEB7L earliest date allowed,FRMDATEB7L must not be from date before form was released,Q0a. FRMDATEB7L (B7L form date) must not be from date before form was released (2017),IF FRMDATEB7L before (01/01/2017),,,,,
b7l-lbdfvp-p-1002,1002,Alert,b7l,FL,LBSCDRM,Plausibility,"LBSCDRM aligns with LBCAREM on Form D1L, RBD on Form A5D2, and BEREM on Form B9","If LBSCDRM = 1 then LBCAREM, RBD, and BEREM should not equal 0","If Q3. LBSCDRM (have you ever seen the participant appear to ""act out his/her dreams"" while sleeping) = 1 (Yes) then Form D1L Q.4b LBCAREM (REM sleep behavior disorder), Form A5D2 Q 5j. RBD (REM sleep behavior disorder) and Form B9 Q12t. BEREM (Participant currently manifests meaningful change in behavior - REM sleep behavior disorder) should not equal 0 (Absent)",If LBSCDRM = 1 and (LBCAREM = 0 or RBD = 0 or BEREM = 0),"b7l, d1l, a5d2, b9 ","LBSCDRM, LBCAREM, RBD, BEREM ",,,
b7l-lbdfvp-p-1003,1003,Alert,b7l,FL,LBSCLEGS,Plausibility,LBSCLEGS aligns with LBCALGSL on Form D1L,If LBSCLEGS = 1 then LBCALGSL should not equal 0,If Q4. LBSCLEGS (Do the participant's legs repeatedly jerk or twitch during sleep) = 1 (Yes) then Form D1L Q4c. LBCALGSL (Periodic leg movements of sleep) should not equal 0 (Absent),If LBSCLEGS = 1 and LBCALGSL = 0,"b7l, d1l","LBSCLEGS, LBCALGSL",,,
b7l-lbdfvp-p-1004,1004,Alert,b7l,FL,LBSCBRTH,Plausibility,LBSCBRTH aligns with LBCAAPN on Form D1L and APNEA on Form A5D2,If LBSCBRTH = 1 then LBCAAPN and APNEA should not equal 0,If Q8. LBSCBRTH (Does the participant ever stop breathing during sleep?) = 1 (Yes) then Form D1L Q4b. LBCAAPN (Obstructive sleep apnea) and  Form A5D2 Q5I. APNEA (Sleep apnea) should not equal 0 (Absent),If LBSCBRTH = 1 and (LBCAAPN = 0 or APNEA = 0),"b7l, a5d2, d1l","LBSCBRTH, APNEA, LBCAAPN",,,
b7l-lbdfvp-p-1005,1005,Alert,b7l,FL,LBSCYRS,Plausibility,LBSCYRS compared to previous visit,"If LBSCYRS in (0-99) and LBSCYRS[prev_vis] in (0-99), then LBSCYRS should be > LBSCYRS [prev_vis] ",Q3a1. LBSCYRS (How many years has this been going on?) should not decrease from the last visit,If LBSCYRS[prev_vis] and LBSCYRS in (0-99) and LBSCYRS[prev_vis] > LBSCYRS,,,,,
b7l-lbdfvp-p-1006,1006,Alert,b7l,FL,LBSCINJS,Plausibility,LBSCINJS compared to previous visit,"If LBSCINJS[prev_vis] = 1, then LBSCINJS should equal 1","If Q3b. LBSCINJS (Has the participant ever been injured from these behaviors) = 1 (Yes) at the last visit, then LBSCINJS should equal 1 at the current visit.",If LBSCINJS[prev_vis] = 1 and LBSCINJS = 0,,,,,
b7l-lbdfvp-p-1007,1007,Alert,b7l,FL,LBSCINJP,Plausibility,LBSCINJP compared to previous visit,"If LBSCINJP[prev_vis] = 1, then LBSCINJP should equal 1","If Q3c. LBSCINJP (Has a bedpartner ever been injured from these behaviors) = 1 (Yes) at the last visit, then LBSCINJP should equal 1 at the current visit.",If LBSCINJP[prev_vis] = 1 and LBSCINJP = 0,,,,,
b7l-lbdfvp-p-1008,1008,Alert,b7l,FL,LBSCWALK,Plausibility,LBSCWALK compared to previous visit,"If LBSCWALK[prev_vis] = 1, then LBSCWALK should equal 1","If Q6. LBSCWALK (Has the participant ever walked around the bedroom or house while asleep) = 1 (Yes) at the last visit, then LBSCWALK should equal 1 at the current visit.",If LBSCWALK[prev_vis] = 1 and LBSCWALK = 0,,,,,
b7l-lbdfvp-p-1009,1009,Alert,b7l,FL,LBSCAWAK,Plausibility,LBSCAWAK compared to previous visit,"If LBSCAWAK[prev_vis] = 1, then LBSCAWAK should equal 1","If Q7. LBSCAWAK (Has the participant ever snorted or choked him/herself awake) = 1 (Yes) at the last visit, then LBSCAWAK should equal 1 at the current visit.",If LBSCAWAK[prev_vis] = 1 and LBSCAWAK = 0,,,,,
b7l-lbdfvp-p-1010,1010,Alert,b7l,FL,LBSCBRTH,Plausibility,LBSCBRTH compared to previous visit,"If LBSCBRTH[prev_vis] = 1, then LBSCBRTH should equal 1","If Q8. LBSCBRTH (Does the participant ever seem to stop breathing during sleep) = 1 (Yes) at the last visit, then LBSCBRTH should equal 1 at the current visit.",If LBSCBRTH[prev_vis] = 1 and LBSCBRTH = 0,,,,,
