form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
b7l,IL,0a. B7L Mayo Sleep Questionnaire — Co-participant - Form date,FRMDATEB7L,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
b7l,IL,0b. B7L Mayo Sleep Questionnaire — Co-participant - Examiner's initials,INITIALSB7L,No,text,,String,
b7l,IL,1. Do you live with the participant?,LBSCLIV,Always,Integers 0-1,0=No | 1=Yes ,Integer,
b7l,IL,2. Do you sleep in the same room as the participant?,LBSCSLP,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,"2a. If no, is it because of his/ her sleep behaviors (i.e., snores too loud, acts out dreams, etc.)?",LBSCBEHV,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 2 LBSCSLP = 1 (Yes)
b7l,IL,"3. Have you ever seen the participant appear to “act out his/her dreams” while sleeping (punched or flailed arms in the air, shouted or screamed)?",LBSCDRM,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,3a1. How many months or years has this been going on? (years),LBSCYRS,No,"Integers 0-99, or blank",0 years - 99 years,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 3 LBSCDRM = 0 (No)
b7l,IL,3a2. How many months or years has this been going on? (months),LBSCMOS,No,"Integers 0-11, or blank",0 months - 11 months,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 3 LBSCDRM = 0 (No)
b7l,IL,"3b. Has the participant ever been injured from these behaviors (bruises, cuts, broken bones)?",LBSCINJS,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 3 LBSCDRM = 0 (No)
b7l,IL,"3c. Has a bedpartner ever been injured from these behaviors (bruises, blows, pulled hair)?",LBSCINJP,Conditional,"Integers 0-1, and 8",0=No | 1=Yes | 8=No bedpartner,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 3 LBSCDRM = 0 (No)
b7l,IL,"3d. Has the participant told you about dreams of being chased or attacked, or that involve defending himself/herself?",LBSCCHAS,Conditional,"Integers 0-1, and 8",0=No | 1=Yes | 8=Never told me about dreams,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 3 LBSCDRM = 0 (No)
b7l,IL,"3e. If the participant woke up and told you about a dream, did the details of the dream match the movements made while sleeping?",LBSCMOVE,Conditional,"Integers 0-1, and 8",0=No | 1=Yes | 8=Never told me about dreams,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 3 LBSCDRM = 0 (No)
b7l,IL,4. Do the participant’s legs repeatedly jerk or twitch during sleep (not just when falling asleep)?,LBSCLEGS,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,"5. Does the participant complain of a restless, nervous, tingly, or creepy-crawly feeling in his/her legs that disrupts his/her ability to fall or stay asleep?",LBSCNERV,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,5a. Does the participant tell you that these leg sensations decrease when he/ she moves them or walks around?,LBSCSENS,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 5 LBSCNERV = 0 (No)
b7l,IL,5b. When do these sensations seem to be the worst?,LBSCWORS,Conditional,Inetgers 1-2,1=Before 6:00 p.m. | 2=After 6:00 p.m.,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 5 LBSCNERV = 0 (No)
b7l,IL,6. Has the participant ever walked around the bedroom or house while asleep?,LBSCWALK,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,7. Has the participant ever snorted or choked him/ herself awake?,LBSCAWAK,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,8. Does the participant ever seem to stop breathing during sleep?,LBSCBRTH,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,"8a. Is the participant currently being treated for this (e.g., CPAP)?",LBSCTRT,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No) or Question 8 LBSCBRTH = 0 (No)
b7l,IL,"9. Does the participant have leg cramps at night (e.g., also called a “charlie horse” with intense pain in certain muscles in the leg)?",LBSCCRMP,Conditional,Integers 0-1,0=No | 1=Yes ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
b7l,IL,10. Rate the participant’s general level of alertness for the past 3 weeks on a scale from 0 to 10:,LBSCALRT,Conditional,Inetgers 1-10,0=Sleep all day - 10=Fully and normally awake ,Integer,Blank if Question 1 LBSCLIV = 0 (No)
