error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1l-lbdivp-m-001,001,Error,d1l,IL,FRMDATED1L,Missingness,FRMDATED1L must be present,FRMDATED1L cannot be blank,Q0a. FRMDATED1L (D1L form date) cannot be blank ,If FRMDATED1L = blank,,,Yes,No,
d1l-lbdivp-c-002,002,Error,d1l,IL,FRMDATED1L,Conformity,FRMDATED1L conforms,FRMDATED1L must be a date,Q0a. FRMDATED1L (D1L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATED1L is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
d1l-lbdivp-m-003,003,Error,d1l,IL,LBCDSCOG,Missingness,LBCDSCOG must be present,LBCDSCOG cannot be blank,Q1. LBCDSCOG (Is an acquired disorder of cognition a prominent element of the clinical presentation of the participant?) cannot be blank,IF LBCDSCOG = blank,,,,,
d1l-lbdivp-c-004,004,Error,d1l,IL,LBCDSCOG,Conformity,LBCDSCOG conforms,LBCDSCOG must be an integer between 0-1,Q1. LBCDSCOG (Is an acquired disorder of cognition a prominent element of the clinical presentation of the participant?) must be an integer between 0-1,IF LBCDSCOG < 0 or LBCDSCOG > 1,,,,,
d1l-lbdivp-m-005,005,Error,d1l,IL,LBCCMEM,Missingness,LBCCMEM conditionally present,"If LBCDSCOG = 1, then LBCCMEM cannot be blank","If Q1. LBCDSCOG = 1, then Q1a. LBCCMEM (Episodic memory deficits) cannot be blank",IF LBCDSCOG = 1 and LBCCMEM = blank,,"LBCDSCOG, LBCCMEM",,,
d1l-lbdivp-m-006,006,Error,d1l,IL,LBCCMEM,Missingness,LBCCMEM conditionally blank,"If LBCDSCOG = 0, then LBCCMEM must be blank","If Q1. LBCDSCOG = 0, then Q1a. LBCCMEM (Episodic memory deficits) must be blank",IF LBCDSCOG = 0 and LBCCMEM not blank,,"LBCDSCOG, LBCCMEM",,,
d1l-lbdivp-c-007,007,Error,d1l,IL,LBCCMEM,Conformity,LBCCMEM conforms,LBCCMEM must be an integer between 0-2 or 8,If Q1a. LBCCMEM (Episodic memory deficits) must be an integer between 0-2 or 8,IF LBCCMEM < 0 or (LBCCMEM > 2 and not = 8),,,,,
d1l-lbdivp-m-008,008,Error,d1l,IL,LBCCLANG,Missingness,LBCCLANG conditionally present,"If LBCDSCOG = 1, then LBCCLANG cannot be blank","If Q1. LBCDSCOG = 1, then Q1b. LBCCLANG (Language deficits) cannot be blank",IF LBCDSCOG = 1 and LBCCLANG = blank,,"LBCDSCOG, LBCCLANG",,,
d1l-lbdivp-m-009,009,Error,d1l,IL,LBCCLANG,Missingness,LBCCLANG conditionally blank,"If LBCDSCOG = 0, then LBCCLANG must be blank","If Q1. LBCDSCOG = 0, then Q1b. LBCCLANG (Language deficits) must be blank",IF LBCDSCOG = 0 and LBCCLANG not blank,,"LBCDSCOG, LBCCLANG",,,
d1l-lbdivp-c-010,010,Error,d1l,IL,LBCCLANG,Conformity,LBCCLANG conforms,LBCCLANG must be an integer between 0-2 or 8,If Q1b. LBCCLANG (Language deficits) must be an integer between 0-2 or 8,IF LBCCLANG < 0 or (LBCCLANG > 2 and not = 8),,,,,
d1l-lbdivp-m-011,011,Error,d1l,IL,LBCCATT,Missingness,LBCCATT conditionally present,"If LBCDSCOG = 1, then LBCCATT cannot be blank","If Q1. LBCDSCOG = 1, then Q1c. LBCCATT (Attention deficits) cannot be blank",IF LBCDSCOG = 1 and LBCCATT = blank,,"LBCDSCOG, LBCCATT",,,
d1l-lbdivp-m-012,012,Error,d1l,IL,LBCCATT,Missingness,LBCCATT conditionally blank,"If LBCDSCOG = 0, then LBCCATT must be blank","If Q1. LBCDSCOG = 0, then Q1c. LBCCATT (Attention deficits) must be blank",IF LBCDSCOG = 0 and LBCCATT not blank,,"LBCDSCOG, LBCCATT",,,
d1l-lbdivp-c-013,013,Error,d1l,IL,LBCCATT,Conformity,LBCCATT conforms,LBCCATT must be an integer between 0-2 or 8,If Q1c. LBCCATT (Attention deficits) must be an integer between 0-2 or 8,IF LBCCATT < 0 or (LBCCATT > 2 and not = 8),,,,,
d1l-lbdivp-m-014,014,Error,d1l,IL,LBCCEXDE,Missingness,LBCCEXDE conditionally present,"If LBCDSCOG = 1, then LBCCEXDE cannot be blank","If Q1. LBCDSCOG = 1, then Q1d. LBCCEXDE (Executive deficits) cannot be blank",IF LBCDSCOG = 1 and LBCCEXDE = blank,,"LBCDSCOG, LBCCEXDE",,,
d1l-lbdivp-m-015,015,Error,d1l,IL,LBCCEXDE,Missingness,LBCCEXDE conditionally blank,"If LBCDSCOG = 0, then LBCCEXDE must be blank","If Q1. LBCDSCOG = 0, then Q1d. LBCCEXDE (Executive deficits) must be blank",IF LBCDSCOG = 0 and LBCCEXDE not blank,,"LBCDSCOG, LBCCEXDE",,,
d1l-lbdivp-c-016,016,Error,d1l,IL,LBCCEXDE,Conformity,LBCCEXDE conforms,LBCCEXDE must be an integer between 0-2 or 8,If Q1d. LBCCEXDE (Executive deficits) must be an integer between 0-2 or 8,IF LBCCEXDE < 0 or (LBCCEXDE > 2 and not = 8),,,,,
d1l-lbdivp-m-017,017,Error,d1l,IL,LBCCVIS,Missingness,LBCCVIS conditionally present,"If LBCDSCOG = 1, then LBCCVIS cannot be blank","If Q1. LBCDSCOG = 1, then Q1e. LBCCVIS (Visuoperceptual deficits) cannot be blank",IF LBCDSCOG = 1 and LBCCVIS = blank,,"LBCDSCOG, LBCCVIS",,,
d1l-lbdivp-m-018,018,Error,d1l,IL,LBCCVIS,Missingness,LBCCVIS conditionally blank,"If LBCDSCOG = 0, then LBCCVIS must be blank","If Q1. LBCDSCOG = 0, then Q1e. LBCCVIS (Visuoperceptual deficits) must be blank",IF LBCDSCOG = 0 and LBCCVIS not blank,,"LBCDSCOG, LBCCVIS",,,
d1l-lbdivp-c-019,019,Error,d1l,IL,LBCCVIS,Conformity,LBCCVIS conforms,LBCCVIS must be an integer between 0-2 or 8,If Q1e. LBCCVIS (Visuoperceptual deficits) must be an integer between 0-2 or 8,IF LBCCVIS < 0 or (LBCCVIS > 2 and not = 8),,,,,
d1l-lbdivp-m-020,020,Error,d1l,IL,LBCDSMOV,Missingness,LBCDSMOV must be present,LBCDSMOV cannot be blank,Q2. LBCDSMOV (Is an acquired disorder of movement a prominent element of the clinical presentation of the participant?) cannot be blank,IF LBCDSMOV = blank,,,,,
d1l-lbdivp-c-021,021,Error,d1l,IL,LBCDSMOV,Conformity,LBCDSMOV conforms,LBCDSMOV must be an integer between 0-1,Q2. LBCDSMOV (Is an acquired disorder of movement a prominent element of the clinical presentation of the participant?) must be an integer between 0-1,IF LBCDSMOV < 0 or LBCDSMOV > 1,,,,,
d1l-lbdivp-m-022,022,Error,d1l,IL,LBCMBRAD,Missingness,LBCMBRAD conditionally present,"If LBCDSMOV = 1, then LBCMBRAD cannot be blank","If Q2. LBCDSMOV = 1, then Q2a. LBCMBRAD (Bradykinesia) cannot be blank",IF LBCDSMOV = 1 and LBCMBRAD = blank,,"LBCDSMOV, LBCMBRAD",,,
d1l-lbdivp-m-023,023,Error,d1l,IL,LBCMBRAD,Missingness,LBCMBRAD conditionally blank,"If LBCDSMOV = 0, then LBCMBRAD must be blank","If Q2. LBCDSMOV = 0, then Q2a. LBCMBRAD (Bradykinesia) must be blank",IF LBCDSMOV = 0 and LBCMBRAD not blank,,"LBCDSMOV, LBCMBRAD",,,
d1l-lbdivp-c-024,024,Error,d1l,IL,LBCMBRAD,Conformity,LBCMBRAD conforms,LBCMBRAD must be an integer between 0-2 or 8,If Q2a. LBCMBRAD (Bradykinesia) must be an integer between 0-2 or 8,IF LBCMBRAD < 0 or (LBCMBRAD > 2 and not = 8),,,,,
d1l-lbdivp-m-025,025,Error,d1l,IL,LBCMRIGD,Missingness,LBCMRIGD conditionally present,"If LBCDSMOV = 1, then LBCMRIGD cannot be blank","If Q2. LBCDSMOV = 1, then Q2b. LBCMRIGD (Rigidity) cannot be blank",IF LBCDSMOV = 1 and LBCMRIGD = blank,,"LBCDSMOV, LBCMRIGD",,,
d1l-lbdivp-m-026,026,Error,d1l,IL,LBCMRIGD,Missingness,LBCMRIGD conditionally blank,"If LBCDSMOV = 0, then LBCMRIGD must be blank","If Q2. LBCDSMOV = 0, then Q2b. LBCMRIGD (Rigidity) must be blank",IF LBCDSMOV = 0 and LBCMRIGD not blank,,"LBCDSMOV, LBCMRIGD",,,
d1l-lbdivp-c-027,027,Error,d1l,IL,LBCMRIGD,Conformity,LBCMRIGD conforms,LBCMRIGD must be an integer between 0-2 or 8,If Q2b. LBCMRIGD (Rigidity) must be an integer between 0-2 or 8,IF LBCMRIGD < 0 or (LBCMRIGD > 2 and not = 8),,,,,
d1l-lbdivp-m-028,028,Error,d1l,IL,LBCMRTRM,Missingness,LBCMRTRM conditionally present,"If LBCDSMOV = 1, then LBCMRTRM cannot be blank","If Q2. LBCDSMOV = 1, then Q2c. LBCMRTRM (Rest tremor) cannot be blank",IF LBCDSMOV = 1 and LBCMRTRM = blank,,"LBCDSMOV, LBCMRTRM",,,
d1l-lbdivp-m-029,029,Error,d1l,IL,LBCMRTRM,Missingness,LBCMRTRM conditionally blank,"If LBCDSMOV = 0, then LBCMRTRM must be blank","If Q2. LBCDSMOV = 0, then Q2c. LBCMRTRM (Rest tremor) must be blank",IF LBCDSMOV = 0 and LBCMRTRM not blank,,"LBCDSMOV, LBCMRTRM",,,
