error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1l-lbdivp-p-1001,1001,Error,d1l,IL,FRMDATED1L,Plausibility,FRMDATED1L earliest date allowed,FRMDATED1L must not be from date before form was released,Q0a. FRMDATED1L (D1L form date) must not be from date before form was released (2017),IF FRMDATED1L before (01/01/2017),,,,,
d1l-lbdivp-p-1002,1002,Alert,d1l,IL,LBCMRTRM,Plausibility,"LBCMRTRM compared to Form B3L LBUMTRFA, LBUMTRRH, LBUMTRLH, LBUMTRRF, LBUMTRLF","If LBUMTRFA, LBUMTRRH, LBUMTRLH, LBUMTRRF, and LBUMTRLF are all equal to 0 then LBCMRTRM should not equal 2","If Form B3L Q3a. LBUMTRFA, Q3b. LBUMTRRH, Q3c. LBUMTRLH, Q3d. LBUMTRRF, Q3e. LBUMTRLF are all equal to 0 then Q2c. LBCMRTRM (Rest tremor) should not equal 2 (Definitely present)",If (LBUMTRFA=0 and LBUMTRRH=0 and LBUMTRLH=0 and LBUMTRRF=0 and LBUMTRLF=0) and LBCMRTRM=2,"d1l, b3l","LBUMTRFA, LBUMTRRH, LBUMTRLH, LBUMTRRF, LBUMTRLF, LBCMRTRM",,,
d1l-lbdivp-p-1003,1003,Alert,d1l,IL,LBCMRIGD,Plausibility,"LBCMRIGD compared to Form B3L LBUMRGNK, LBUMRGRU, LBUMRGLU, LBUMRGRL,LBUMRGLL","If LBUMRGNK, LBUMRGRU, LBUMRGLU, LBUMRGRL, and LBUMRGLL are all equal to 0 then LBCMRIGD should not equal 2","If Form B3L Q5a. LBUMRGNK, Q5b. LBUMRGRU, Q5c. LBUMRGLU, Q5d. LBUMRGRL, and Q5e. LBUMRGLL are all equal to 0 then Q2b. LBCMRIGD (Rigidity) should not equal 2 (Definitely present)",If (LBUMRGNK=0 and LBUMRGRU=0 and LBUMRGLU=0 and LBUMRGRL=0 and LBUMRGLL=0) and LBCMRIGD=2,"d1l, b3l","LBUMRGNK, LBUMRGRU, LBUMRGLU, LBUMRGRL, LBUMRGLL, LBDMRIGD",,,
d1l-lbdivp-p-1004,1004,Alert,d1l,IL,LBCMRIGD,Plausibility,"LBCMRIGD compared to Form B3 RIGDNECK, RIGDUPRT, RIGDUPLF, RIGDLORT, RIGDLOLF",If MODEB3 != 0 and RIGDNECK = 0 and RIGDUPRT = 0 and RIGDUPLF = 0 and RIGDLORT = 0 and RIGDLOLF = 0 then LBCMRIGD should not equal 2,"If UDS Form B3, Q0d. MODEB3 != 0 (Form completed) and (Form B3 Q5a. RIGDNECK = 0 and Form B3 Q5b. RIGDUPRT (rigidity - right upper extremity) =0 and Form B3 Q5c. RIGDUPLF (rigidity - left upper extremity) =0 and Form B3 Q5d. RIGDLORT (rigidity - right lower extremity) =0 and Form B3 Q5e. RIGDLOLF (rigidity - left lower extremity)=0 (all normal)), then LBCMRIGD (rigidity) should not equal 2 (definitely present)",If MODEB3 != 0 and RIGDNECK = 0 and RIGDUPRT = 0 and RIGDUPLF = 0 and RIGDLORT = 0 and RIGDLOLF = 0 and LBCMRIGD = 2,"d1l, b3","MODEB3, RIGDNECK, RIGDUPRT, RIGDUPLF, RIGDLORT, RIGDLOLF, LBCMRIGD",,,
d1l-lbdivp-p-1005,1005,Alert,d1l,IL,LBCMRIGD,Plausibility,"LBCMRIGD compared to Form B8 RIGIDARM, RIGIDLEG ",If RIGIDARM = 0 and RIGIDLEG = 0 then LBCMRIGD should not equal 2,"If Form B8 Q3e. RIGIDARM (limb rigidity - arm)=0 and Form B8 Q3f. RIGIDLEG (limb rigidity - leg) =0, then LBCMRIGD (rigidity) should not equal 2 (definitely present)",If RIGIDARM = 0 and RIGIDLEG = 0 and LBCMRIGD = 2,"d1l, b8","RIGIDARM, RIGIDLEG, LBCMRIGD",,,
d1l-lbdivp-p-1006,1006,Alert,d1l,IL,LBCMRIGD,Plausibility,"LBCMRIGD compared to Form B3 RIGDNECK, RIGDUPRT, RIGDUPLF, RIGDLORT, RIGDLOLF",If MODEB3 != 0 and (RIGDNECK in (1-4) or RIGDUPRT in (1-4) or RIGDUPLF  in (1-4) and RIGDLORT in (1-4) or RIGDLOLF  in (1-4)) then LBCMRIGD should not be 0,"If UDS Form B3, Q0d. MODEB3 != 0 (Form completed) and (Form B3 Q5a. RIGDNECK in (1-4) or Form B3 Q5b. RIGDUPRT (rigidity - right upper extremity) in (1-4) or Form B3 Q5c. RIGDUPLF (rigidity - left upper extremity) in (1-4) or Form B3 Q5d. RIGDLORT (rigidity - right lower extremity) in (1-4) or Form B3 Q5e. RIGDLOLF (rigidity - left lower extremity) in (1-4) (at least one is present), then LBCMRIGD (rigidity) should not equal 0 (absent)",If (MODEB3 != 0 and (RIGDNECK in (1-4) or RIGDUPRT in (1-4) or RIGDUPLF in (1-4) or RIGDLORT in (1-4) or RIGDLOLF in (1-4)) and LBCMRIGD = 0,"d1l, b3","MODEB3, RIGDNECK, RIGDUPRT, RIGDUPLF, RIGDLORT, RIGDLOLF,  LBCMRIGD",,,
d1l-lbdivp-p-1007,1007,Alert,d1l,IL,LBCMRIGD,Plausibility,"LBCMRIGD compared to Form B8 RIGIDARM, RIGIDLEG ",If RIGIDARM in (1-3) or RIGIDLEG in (1-3) then LBCMRIGD should not be 0,"If Form B8 Q3e. RIGIDARM (limb rigidity - arm) in (1-3) or Form B8 Q3f RIGIDLEG (limb rigidity - leg)) in (1-3), then LBCMRIGD (rigidity) should not equal 0 (absent)",If RIGIDARM in (1-3) or RIGIDLEG in (1-3) and LBCMRIGD = 0,"d1l, b8","RIGIDARM, RIGIDLEG, LBCMRIGD",,,
d1l-lbdivp-p-1008,1008,Alert,d1l,IL,LBCMRTRM,Plausibility,"LBCMRTRM compared to Form B3 TRESTRHD, TRESTLHD, TRESTRFT, TRESTLFT",If MODEB3 != 0 and TRESTRHD = 0 and TRESTLHD = 0 and TRESTRFT = 0 and TRESTLFT = 0 then LBCMRTRM should not equal 2 ,"If UDS Form B3, Q0d. MODEB3 != 0 (Form completed) and Form B3 Q3b. TRESTRHD (tremor at rest - right hand) = 0 and Form B3 Q3c. TRESTLHD (tremor at rest - left hand) = 0 and Form B3 Q3d. TRESTRFT (tremor at rest - right foot)= 0 and Form B3 Q3e. TRESTLFT (tremor at rest - left foot) = 0 (all normal), then Q2c. LBCMRTRM (rest tremor) should not equal 2 (Definitely present)",IF MODEB3 != 0 and TRESTRHD = 0 and TRESTLHD = 0 and TRESTRFT = 0 and TRESTLFT = 0 and LBCMRTRM = 2,"d1l, b3","MODEB3, TRESTRHD, TRESTLHD, TRESTRFT, TRESTLFT, LBCMRTRM",,,
d1l-lbdivp-p-1009,1009,Alert,d1l,IL,LBCMRTRM,Plausibility,LBCMRTRM compared to Form B8 TREMREST,If TREMREST = 0 then LBCMRTRM should not equal 2 ,"If Form B8 Q3b. TREMREST (limb tremor at rest) = 0 ), then Q2c. LBCMRTRM (rest tremor) should not equal 2 (Definitely present)",IF TREMREST = 0 and LBCMRTRM = 2,"d1l, b8","TREMREST, LBCMRTRM",,,
d1l-lbdivp-p-1010,1010,Alert,d1l,IL,LBCMRTRM,Plausibility,"LBCMRTRM compared to Form B3 TRESTRHD, TRESTLHD, TRESTRFT, TRESTLFT",If MODEB3 != 0 and (TRESTRHD in (1-4) or TRESTLHD in (1-4) or TRESTRFT in (1-4) or TRESTLFT in (1-4)) then LBCMRTRM should not equal 0,"If UDS Form B3, Q0d. MODEB3 != 0 (Form completed) and (Form B3 Q3b. TRESTRHD (tremor at rest - right hand) in (1-4) or Form B3 Q3c. TRESTLHD (tremor at rest - left hand) in (1-4) or Form B3 Q3d. TRESTRFT (tremor at rest - right foot) in (1-4) or Form B3 Q3e. TRESTLFT (tremor at rest - left foot) in (1-4) (at least one is present)), then Q2c. LBCMRTRM (rest tremor) should not equal 0 (absent)",IF MODEB3 != 0 and (TRESTRHD in (1-4) or TRESTLHD in (1-4) or TRESTRFT in (1-4) or TRESTLFT in (1-4)) and LBCMRTRM = 0,"d1l, b3","MODEB3, TRESTRHD, TRESTLHD, TRESTRFT, TRESTLFT, LBCMRTRM",,,
