error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
e1l-lbdfvp-m-001,001,Error,e1l,FL,FRMDATEE1L,Missingness,FRMDATEE1L must be present,FRMDATEE1L cannot be blank,Q0a. FRMDATEE1L (E1L form date) cannot be blank ,If FRMDATEE1L = blank,,,,,
e1l-lbdfvp-c-002,002,Error,e1l,FL,FRMDATEE1L,Conformity,FRMDATEE1L conforms,FRMDATEE1L must be a date,Q0a. FRMDATEE1L (E1L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEE1L is not mm/dd/yyyy or yyyy/mm/dd,,,,,
e1l-lbdfvp-m-003,003,Error,e1l,FL,LBGNEWGN,Missingness,LBGNEWGN must be present,LBGNEWGN cannot be blank,"Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) cannot be blank",If LBGNEWGN = blank,,,,,
e1l-lbdfvp-c-004,004,Error,e1l,FL,LBGNEWGN,Conformity,LBGNEWGN conforms,LBGNEWGN must be an integer between 0-1,"Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) must be an integer between 0-1",If LBGNEWGN <0 or LBGNEWGN >1,,,,,
e1l-lbdfvp-m-005,005,Error,e1l,FL,LBGLRRK2,Missingness,LBGLRRK2 conditionally present,"If LBGNEWGN=1, LBGLRRK2 cannot be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 1, then Q2. LBGLRRK2 (LRRK2) cannot be blank",If LBGNEWGN=1 and LBGLRRK2 = blank,,"LBGNEWGN, LBGLRRK2",,,
e1l-lbdfvp-m-006,006,Error,e1l,FL,LBGLRRK2,Missingness,LBGLRRK2 conditionally blank,"If LBGNEWGN=0, LBGLRRK2 must be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 0, then Q2. LBGLRRK2 (LRRK2) must be blank",If LBGNEWGN=0 and LBGLRRK2 not blank,,"LBGNEWGN, LBGLRRK2",,,
e1l-lbdfvp-c-007,007,Error,e1l,FL,LBGLRRK2,Conformity,LBGLRRK2 conforms,LBGLRRK2 must be an integer between 0-1 or 9,Q2. LBGLRRK2 (LRRK2) must be an integer between 0-1 or 9,If LBGLRRK2 < 0 or (LBGLRRK2 > 1 and LBGLRRK2 ne 9),,,,,
e1l-lbdfvp-m-008,008,Error,e1l,FL,LBGLRKIS,Missingness,LBGLRKIS conditionally present,"If LBGNEWGN=1 and LBGLRRK2 = 1, then LBGLRKIS cannot be blank","If Q1. LBGNEWGN= 1 and Q2. LBGLRRK2 (LRRK2) = 1, then Q2a. LBGLRKIS (LRRK2 information source) cannot be blank",If LBGNEWGN=1 and LBGLRRK2 = 1 and LBGLRKIS = blank,,"LBGNEWGN, LBGLRRK2, LBGLRKIS",,,
e1l-lbdfvp-m-009,009,Error,e1l,FL,LBGLRKIS,Missingness,LBGLRKIS conditionally blank,"If LBGLRRK2 ne 1, then LBGLRKIS must be blank","If Q2. LBGLRRK2 (LRRK2) ne 1, then Q2a. LBGLRKIS (LRRK2 information source) must be blank",If LBGLRRK2 ne 1 and LBGLRKIS is not blank,,"LBGLRRK2, LBGLRKIS",,,
e1l-lbdfvp-c-010,010,Error,e1l,FL,LBGLRKIS,Conformity,LBGLRKIS conforms,LBGLRKIS must be an integer between 1-3 or 9,If Q2a. LBGLRKIS (LRRK2 information source) must be an integer between 1-3 or 9,If LBGLRKIS < 1 or (LBGLRKIS > 3 and LBGLRKIS ne 9),,,,,
e1l-lbdfvp-m-011,011,Error,e1l,FL,LBGPARK2,Missingness,LBGPARK2 conditionally present,"If LBGNEWGN=1, LBGPARK2 cannot be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 1, then Q3. LBGPARK2 (PARK2) cannot be blank",If LBGNEWGN=1 and LBGPARK2 = blank,,"LBGNEWGN, LBGPARK2",,,
e1l-lbdfvp-m-012,012,Error,e1l,FL,LBGPARK2,Missingness,LBGPARK2 conditionally blank,"If LBGNEWGN=0, LBGPARK2 must be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 0, then Q3. LBGPARK2 (PARK2) must be blank",If LBGNEWGN=0 and LBGPARK2 not blank,,"LBGNEWGN, LBGPARK2",,,
e1l-lbdfvp-c-013,013,Error,e1l,FL,LBGPARK2,Conformity,LBGPARK2 conforms,LBGPARK2 must be an integer between 0-1 or 9,Q3. LBGPARK2 (PARK2) must be an integer between 0-1 or 9,If LBGPARK2 < 0 or (LBGPARK2 > 1 and LBGPARK2 ne 9),,,,,
e1l-lbdfvp-m-014,014,Error,e1l,FL,LBGPK2IS,Missingness,LBGPK2IS conditionally present,"If LBGNEWGN=1 and LBGPARK2 = 1, then LBGPK2IS cannot be blank","If Q1. LBGNEWGN= 1 and Q3 LBGPARK2 = 1, then Q3a. LBGPK2IS (PARK2 information source) cannot be blank",If LBGNEWGN=1 and LBGPARK2 = 1 and LBGPK2IS = blank,,"LBGNEWGN, LBGPARK2, LBGPK2IS",,,
e1l-lbdfvp-m-015,015,Error,e1l,FL,LBGPK2IS,Missingness,LBGPK2IS conditionally blank,"If LBGPARK2 ne 1, then LBGPK2IS must be blank","If Q3. LBGPARK2 (PARK2) ne 1, then Q3a. LBGPK2IS (PARK2 information source) must be blank",If LBGPARK2 ne 1 and LBGPK2IS is not blank,,"LBGPARK2, LBGPK2IS",,,
e1l-lbdfvp-c-016,016,Error,e1l,FL,LBGPK2IS,Conformity,LBGPK2IS conforms,LBGPK2IS must be an integer between 1-3 or 9,If Q3a. LBGPK2IS (PARK2 information source) must be an integer between 1-3 or 9,If LBGPK2IS < 1 or (LBGPK2IS > 3 and LBGPK2IS ne 9),,,,,
e1l-lbdfvp-m-017,017,Error,e1l,FL,LBGPARK7,Missingness,LBGPARK7 conditionally present,"If LBGNEWGN=1, LBGPARK7 cannot be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 1, then Q4. LBGPARK7 (PARK7) cannot be blank",If LBGNEWGN=1 and LBGPARK7 = blank,,"LBGNEWGN, LBGPARK7",,,
e1l-lbdfvp-m-018,018,Error,e1l,FL,LBGPARK7,Missingness,LBGPARK7 conditionally blank,"If LBGNEWGN=0, LBGPARK7 must be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 0, then Q4. LBGPARK7 (PARK7) must be blank",If LBGNEWGN=0 and LBGPARK7 not blank,,"LBGNEWGN, LBGPARK7",,,
e1l-lbdfvp-c-019,019,Error,e1l,FL,LBGPARK7,Conformity,LBGPARK7 conforms,LBGPARK7 must be an integer between 0-1 or 9,Q4. LBGPARK7 (PARK7) must be an integer between 0-1 or 9,If LBGPARK7 < 0 or (LBGPARK7 > 1 and LBGPARK7 ne 9),,,,,
e1l-lbdfvp-m-020,020,Error,e1l,FL,LBGPK7IS,Missingness,LBGPK7IS conditionally present,"If LBGNEWGN=1 and LBGPARK7 = 1, then LBGPK7IS cannot be blank","If Q1. LBGNEWGN= 1 and Q4. LBGPARK7 (PARK7) = 1, then Q4a. LBGPK7IS (PARK7 information source) cannot be blank",If LBGNEWGN=1 and LBGPARK7 = 1 and LBGPK7IS = blank,,"LBGNEWGN, LBGPARK7, LBGPK7IS",,,
e1l-lbdfvp-m-021,021,Error,e1l,FL,LBGPK7IS,Missingness,LBGPK7IS conditionally blank,"If LBGPARK7 ne 1, then LBGPK7IS must be blank","If Q4. LBGPARK7 (PARK7) ne 1, then Q4a. LBGPK7IS (PARK7 information source) must be blank",If LBGPARK7 ne 1 and LBGPK7IS is not blank,,"LBGPARK7, LBGPK7IS",,,
e1l-lbdfvp-c-022,022,Error,e1l,FL,LBGPK7IS,Conformity,LBGPK7IS conforms,LBGPK7IS must be an integer between 1-3 or 9,If Q4a. LBGPK7IS (PARK7 information source) must be an integer between 1-3 or 9,If LBGPK7IS < 1 or (LBGPK7IS > 3 and LBGPK7IS ne 9),,,,,
e1l-lbdfvp-m-023,023,Error,e1l,FL,LBGPINK1,Missingness,LBGPINK1 conditionally present,"If LBGNEWGN=1, LBGPINK1 cannot be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 1, then Q5. LBGPINK1 (PINK1) cannot be blank",If LBGNEWGN=1 and LBGPINK1 = blank,,"LBGNEWGN, LBGPINK1",,,
e1l-lbdfvp-m-024,024,Error,e1l,FL,LBGPINK1,Missingness,LBGPINK1 conditionally blank,"If LBGNEWGN=0, LBGPINK1 must be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 0, then Q5. LBGPINK1 (PINK1) must be blank",If LBGNEWGN=0 and LBGPINK1 not blank,,"LBGNEWGN, LBGPINK1",,,
e1l-lbdfvp-c-025,025,Error,e1l,FL,LBGPINK1,Conformity,LBGPINK1 conforms,LBGPINK1 must be an integer between 0-1 or 9,Q5. LBGPINK1 (PINK1) must be an integer between 0-1 or 9,If LBGPINK1 < 0 or (LBGPINK1 > 1 and LBGPINK1 ne 9),,,,,
e1l-lbdfvp-m-026,026,Error,e1l,FL,LBGPNKIS,Missingness,LBGPNKIS conditionally present,"If LBGNEWGN=1 and LBGPINK1 = 1, then LBGPNKIS cannot be blank","If Q1. LBGNEWGN= 1 and Q5. LBGPINK1 (PINK1) = 1, then Q5a. LBGPNKIS (PINK1 information source) cannot be blank",If LBGNEWGN=1 and LBGPINK1 = 1 and LBGPNKIS = blank,,"LBGNEWGN, LBGPINK1, LBGPNKIS",,,
e1l-lbdfvp-m-027,027,Error,e1l,FL,LBGPNKIS,Missingness,LBGPNKIS conditionally blank,"If LBGPINK1 ne 1, then LBGPNKIS must be blank","If Q5. LBGPINK1 (PINK1) ne 1, then Q5a. LBGPNKIS (PINK1 information source) must be blank",If LBGPINK1 ne 1 and LBGPNKIS is not blank,,"LBGPINK1, LBGPNKIS",,,
e1l-lbdfvp-c-028,028,Error,e1l,FL,LBGPNKIS,Conformity,LBGPNKIS conforms,LBGPNKIS must be an integer between 1-3 or 9,If Q5a. LBGPNKIS (PINK1 information source) must be an integer between 1-3 or 9,If LBGPNKIS < 1 or (LBGPNKIS > 3 and LBGPNKIS ne 9),,,,,
e1l-lbdfvp-m-029,029,Error,e1l,FL,LBGSNCA,Missingness,LBGSNCA conditionally present,"If LBGNEWGN=1, LBGSNCA cannot be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 1, then Q6. LBGSNCA (SNCA) cannot be blank",If LBGNEWGN=1 and LBGSNCA = blank,,"LBGNEWGN, LBGSNCA",,,
e1l-lbdfvp-m-030,030,Error,e1l,FL,LBGSNCA,Missingness,LBGSNCA conditionally blank,"If LBGNEWGN=0, LBGSNCA must be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 0, then Q6. LBGSNCA (SNCA) must be blank",If LBGNEWGN=0 and LBGSNCA not blank,,"LBGNEWGN, LBGSNCA",,,
e1l-lbdfvp-c-031,031,Error,e1l,FL,LBGSNCA,Conformity,LBGSNCA conforms,LBGSNCA must be an integer between 0-1 or 9,Q6. LBGSNCA (SNCA) must be an integer between 0-1 or 9,If LBGSNCA < 0 or (LBGSNCA > 1 and LBGSNCA ne 9),,,,,
e1l-lbdfvp-m-032,032,Error,e1l,FL,LBGSNCIS,Missingness,LBGSNCIS conditionally present,"If LBGNEWGN=1 and LBGSNCA = 1, then LBGSNCIS cannot be blank","If Q1. LBGNEWGN= 1 and Q6. LBGSNCA (SNCA) = 1, then Q6a. LBGSNCIS (SNCA information source) cannot be blank",If LBGNEWGN=1 and LBGSNCA = 1 and LBGSNCIS = blank,,"LBGNEWGN, LBGSNCA, LBGSNCIS",,,
e1l-lbdfvp-m-033,033,Error,e1l,FL,LBGSNCIS,Missingness,LBGSNCIS conditionally blank,"If LBGSNCA ne 1, then LBGSNCIS must be blank","If Q6. LBGSNCA (SNCA) ne 1, then Q6a. LBGSNCIS (SNCA information source) must be blank",If LBGSNCA ne 1 and LBGSNCIS is not blank,,"LBGSNCA, LBGSNCIS",,,
e1l-lbdfvp-c-034,034,Error,e1l,FL,LBGSNCIS,Conformity,LBGSNCIS conforms,LBGSNCIS must be an integer between 1-3 or 9,If Q6a. LBGSNCIS (SNCA information source) must be an integer between 1-3 or 9,If LBGSNCIS < 1 or (LBGSNCIS > 3 and LBGSNCIS ne 9),,,,,
e1l-lbdfvp-m-035,035,Error,e1l,FL,LBGGBA,Missingness,LBGGBA conditionally present,"If LBGNEWGN=1, LBGGBA cannot be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 1, then Q7. LBGGBA (GBA) cannot be blank",If LBGNEWGN=1 and LBGGBA = blank,,"LBGNEWGN, LBGGBA",,,
e1l-lbdfvp-m-036,036,Error,e1l,FL,LBGGBA,Missingness,LBGGBA conditionally blank,"If LBGNEWGN=0, LBGGBA must be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 0, then Q7. LBGGBA (GBA) must be blank",If LBGNEWGN=0 and LBGGBA not blank,,"LBGNEWGN, LBGGBA",,,
e1l-lbdfvp-c-037,037,Error,e1l,FL,LBGGBA,Conformity,LBGGBA conforms,LBGGBA must be an integer between 0-1 or 9,Q7. LBGGBA (GBA) must be an integer between 0-1 or 9,If LBGGBA < 0 or (LBGGBA > 1 and ne 9),,,,,
e1l-lbdfvp-m-038,038,Error,e1l,FL,LBGGBAIS,Missingness,LBGGBAIS conditionally present,"If LBGNEWGN=1 and LBGGBA = 1, then LBGGBAIS cannot be blank","If Q1. LBGNEWGN= 1 and Q7. LBGGBA (GBA) = 1, then Q7a. LBGGBAIS (GBA information source) cannot be blank",If LBGNEWGN=1 and LBGGBA = 1 and LBGGBAIS = blank,,"LBGNEWGN, LBGGBA, LBGGBAIS",,,
e1l-lbdfvp-m-039,039,Error,e1l,FL,LBGGBAIS,Missingness,LBGGBAIS conditionally blank,"If LBGGBA ne 1, then LBGGBAIS must be blank","If Q7. LBGGBA (GBA) ne 1, then Q7a. LBGGBAIS (GBA information source) must be blank",If LBGGBA ne 1 and LBGGBAIS is not blank,,"LBGGBA, LBGGBAIS",,,
e1l-lbdfvp-c-040,040,Error,e1l,FL,LBGGBAIS,Conformity,LBGGBAIS conforms,LBGGBAIS must be an integer between 1-3 or 9,If Q7a. LBGGBAIS (GBA information source) must be an integer between 1-3 or 9,If LBGGBAIS < 1 or (LBGGBAIS > 3 and LBGGBAIS ne 9),,,,,
e1l-lbdfvp-m-041,041,Error,e1l,FL,LBGOTHR,Missingness,LBGOTHR conditionally present,"If LBGNEWGN=1, LBGOTHR cannot be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 1, then Q8. LBGOTHR (Other mutation) cannot be blank",If LBGNEWGN=1 and LBGOTHR = blank,,"LBGNEWGN, LBGOTHR",,,
e1l-lbdfvp-m-042,042,Error,e1l,FL,LBGOTHR,Missingness,LBGOTHR conditionally blank,"If LBGNEWGN=0, LBGOTHR must be blank","If Q1. LBGNEWGN (Since the last visit, is new information available concerning the genetic mutations listed below?) = 0, then Q8. LBGOTHR (Other mutation) must be blank",If LBGNEWGN=0 and LBGOTHR not blank,,"LBGNEWGN, LBGOTHR",,,
e1l-lbdfvp-c-043,043,Error,e1l,FL,LBGOTHR,Conformity,LBGOTHR conforms,LBGOTHR must be an integer between 0-1 or 9,Q8. LBGOTHR (Other mutation) must be an integer between 0-1 or 9,If LBGOTHR < 0 or (LBGOTHR > 1 and LBGOTHR ne 9),,,,,
e1l-lbdfvp-m-044,044,Error,e1l,FL,LBGOTHIS,Missingness,LBGOTHIS conditionally present,"If LBGNEWGN=1 and LBGOTHR = 1, then LBGOTHIS cannot be blank","If Q1. LBGNEWGN= 1 and Q8. LBGOTHR (Other mutation) = 1, then Q8a. LBGOTHIS (If Yes (Other), information source) cannot be blank",If LBGNEWGN=1 and LBGOTHR = 1 and LBGOTHIS = blank,,"LBGNEWGN, LBGOTHR, LBGOTHIS",,,
e1l-lbdfvp-m-045,045,Error,e1l,FL,LBGOTHIS,Missingness,LBGOTHIS conditionally blank,"If LBGOTHR ne 1, then LBGOTHIS must be blank","If Q8. LBGOTHR (Other mutation) ne 1, then Q8a. LBGOTHIS (If Yes (Other), information source) must be blank",If LBGOTHR ne 1 and LBGOTHIS is not blank,,"LBGOTHR, LBGOTHIS",,,
