form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
e2l,FL,0a. E2L Neuroimaging Available and Findings - Form date,FRMDATEE2L,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
e2l,FL,0b. E2L Neuroimaging Available and Findings - Examiner's initials,INITIALSE2L,No,text,,String,
e2l,FL,"1. Has the participant had at least one structrual MRI scan that has not yet been recorded, obtained as part of the current evaluation or a previous evaluation",LBISMRI,Always,Integers 0-1,"0 = no or unknown, 1 = yes",Integer,
e2l,FL,1a1. Date of most recent scan (month),LBISMMO,Conditional (e.g. skip pattern),Integers 1-12 or blank,1-12 (month),Integer,Blank if Question 1 LBISMRI = 0 (No or unknown)
e2l,FL,1a2. Date of most recent scan (day),LBISMDY,Conditional (e.g. skip pattern),"Integers 1-31, 99 or blank","1-31 (day) , 99 = unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown)
e2l,FL,1a3. Date of most recent scan (year),LBISMYR,Conditional (e.g. skip pattern),Integers 2000 - current year or blank,2000-current year,Integer,Blank if Question 1 LBISMRI = 0 (No or unknown)
e2l,FL,1b. Are results of quantitative image analysis available?,LBISMQAV,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown)
e2l,FL,"1c. Was there an MRI finding of hippocampal atrophy, according to your Center's standards for positivity? (REPORT MOST RECENT)",LBISMHIP,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown); Blank if Question 1b LBISMQAV not = 1 (Yes)
e2l,FL,1d. Is an MRI available for data sharing?,LBISMAVL,Conditional (e.g. skip pattern),Integers 0-1 or blank,"0 = no or unknown, 1 = yes",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown)
e2l,FL,1e. Is it in DICOM format or other electronic format?,LBISMDCM,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown); Blank if Question 1d LBISMAVL = 0 (No or unknown)
e2l,FL,1e1. Specify format,LBISMFMT,Conditional (e.g. skip pattern),text,,String,Blank if Question 1 LBISMRI = 0 (No or unknown); Blank if Question 1d LBISMAVL = 0 (No or unknown); Blank if Question 1e LBISMDCM not = 1 (Yes)
e2l,FL,1f. Was ADNI protocol used?,LBISMADN,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown); Blank if Question 1d LBISMAVL = 0 (No or unknown)
e2l,FL,1f1. ADNI version,LBISMVER,Conditional (e.g. skip pattern),text,,String,Blank if Question 1 LBISMRI = 0 (No or unknown); Blank if Question 1d LBISMAVL = 0 (No or unknown); Blank if Question 1e LBISMDCM not = 1 (Yes)
e2l,FL,1g. Scan manufacturer,LBISMMAN,Conditional (e.g. skip pattern),"Integers 1-4, 9 or blank","1 = GE, 2 = Siemens, 3 = Philips, 4 = Other, 9 = Unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown); Blank if Question 1d LBISMAVL = 0 (No or unknown)
e2l,FL,1g1. Other manufacturer,LBISMOM,Conditional (e.g. skip pattern),text,,String,Blank if Question 1 LBISMRI = 0 (No or unknown)                      Blank if Question 1d LBISMAVL = 0 (No or unknown)                Blank if Question 1g LBISMMAN not = 4 (Other)
e2l,FL,1h. Field strength,LBISMSTR,Conditional (e.g. skip pattern),"Integers 1-4, 9 or blank","1 = 1.5T, 2 = 3T, 3 = 7T, 4 = other, 9 = unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown); Blank if Question 1d LBISMAVL = 0 (No or unknown)
e2l,FL,1h1. Other strength,LBISMOS,Conditional (e.g. skip pattern),text,,String,Blank if Question 1 LBISMRI = 0 (No or unknown)                      Blank if Question 1d LBISMAVL = 0 (No or unknown)                Blank if Question 1g LBISMMAN not = 4 (Other)
e2l,FL,"2. Has the participant had at least one FDG-PET scan that has not yet been recorded, obtained as part of the current evaluation or a previous evaluation?",LBIFPET,Always,Integers 0-1,"0 = no or unknown, 1 = yes",Integer,
e2l,FL,2a1. Date of most recent scan (month),LBIFPMO,Conditional (e.g. skip pattern),Integers 1-12 or blank,1-12 (month),Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,FL,2a2. Date of most recent scan (day),LBIFPDY,Conditional (e.g. skip pattern),"Integers 1-31, 99 or blank","1-31 (day) , 99 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,FL,2a3. Date of most recent scan (year),LBIFPYR,Conditional (e.g. skip pattern),Integers 2000 - current year or blank,2000-current year,Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,FL,2b. Are results of quantitative image analysis available?,LBIFPQAV,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,FL,"2c. Was there an FDG-PET finding of occipital hypometabolism consistent with LBD, according to your Center's standards for positivity? ",LBIFPOCC,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)                      Blank if Question 2b LBIFPQAV not = 1 (Yes)
e2l,FL,"2d. Was there an FDG-PET finding of temporoparietal hypometabolism suggestive of AD, according to your Center's standards for positivity?",LBIFPTPP,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)                      Blank if Question 2b LBIFPQAV not = 1 (Yes)
e2l,FL,"2e. Was there an FDG-PET finding of cingulate island sign consistent with LBD, according to your Center's standards for positivity?",LBIFPISL,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)                      Blank if Question 2b LBIFPQAV not = 1 (Yes)
e2l,FL,2f. Is an FDG-PET available for data sharing?,LBIFPAVL,Conditional (e.g. skip pattern),Integers 0-1 or blank,"0 = no or unknown, 1 = yes",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,FL,2g. Is it in DICOM format or other electronic format?,LBIFPDCM,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)                      Blank if Question 2f LBIFPAVL = 0 (No or unknown)
e2l,FL,2g1. Specify format,LBIFPFMT,Conditional (e.g. skip pattern),text,,String,Blank if Question 2 LBIFPET = 0 (No or unknown)                       Blank if Question 2f LBIFPAVL = 0 (No or unknown)                 Blank if Question 2g LBIFPDCM not = 1 (Yes)
e2l,FL,2h. Was ADNI protocol used?,LBIFPADN,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)                      Blank if Question 2f LBIFPAVL = 0 (No or unknown)
e2l,FL,2h1. ADNI version,LBIFPVER,Conditional (e.g. skip pattern),text,,String,Blank if Question 2 LBIFPET = 0 (No or unknown)                     Blank if Question 2f LBIFPAVL = 0 (No or unknown)                 Blank if Question 2h LBIFPADN not = 1 (Yes)
e2l,FL,2i. Scan manufacturer,LBIFPMAN,Conditional (e.g. skip pattern),"Integers 1-4, 9 or blank","1 = GE, 2 = Siemens, 3 = Philips, 4 = Other, 9 = Unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)                      Blank if Question 2f LBIFPAVL = 0 (No or unknown)
e2l,FL,2i1. Other manufacturer,LBIFPOM,Conditional (e.g. skip pattern),text,,String,Blank if Question 2 LBIFPET = 0 (No or unknown)                     Blank if Question 2f LBIFPAVL = 0 (No or unknown)                  Blank if Question 2i LBIFPMAN not = 4 (Other)
