form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
e3l,IL,0a. E3L Other Labs and Findings - Form date,FRMDATEE3L,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
e3l,IL,0b. E3L Other Labs and Findings - Examiner's initials,INITIALSE3L,No,text,,String,
e3l,IL,"1. Has the participant had at least one polysomnography, obtained as part of the current evaluation or a previous evaluation?",LBOPOLYS,Always,Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,
e3l,IL,1a1. Date of most recent polysomnography (month),LBOPOSMO,Conditional (e.g. skip pattern),Integers 1-12,1-12 (month),Integer,Blank if Question 1 LBOPOLYS = 0 (No or unknown)
e3l,IL,1a2. Date of most recent polysomnography (day),LBOPOSDY,Conditional (e.g. skip pattern),"Integers 1-31, 99","1-31 (Day), 99 = Unknown",Integer,Blank if Question 1 LBOPOLYS = 0 (No or unknown)
e3l,IL,1a3. Date of most recent polysomnography (year),LBOPOSYR,Conditional (e.g. skip pattern),Integers 2000 - current year,2000 - current year,Integer,Blank if Question 1 LBOPOLYS = 0 (No or unknown)
e3l,IL,"1b. Was there polysomnographic confirmation of REM sleep without atonia, +/- dream enactment behavior, consistent with LBD, according to your Center’s standards for positivity? (REPORT MOST RECENT)",LBOPOPOS,Conditional (e.g. skip pattern),"Integers 0-1, 8-9","0 = No, 1 = Yes, 8 = Results not available, 9 = Unknown",Integer,Blank if Question 1 LBOPOLYS = 0 (No or unknown)
e3l,IL,1c. Is a polysomnography available for data sharing?,LBOPOAVL,Conditional (e.g. skip pattern),Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,Blank if Question 1 LBOPOLYS = 0 (No or unknown)
e3l,IL,"2. Has the participant had at least one cardiac-MIBG scintigraphy, obtained as part of the current evaluation or a previous evaluation?",LBOCMIBG,Always,Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,
e3l,IL,2a1. Date of most recent cardiac-MIBG scintigraphy (month),LBOCMMO,Conditional (e.g. skip pattern),Integers 1-12,1-12 (month),Integer,Blank if Question 2 LBOCMIBG = 0 (No or unknown)
e3l,IL,2a2. Date of most recent cardiac-MIBG scintigraphy (day),LBOCMDY,Conditional (e.g. skip pattern),"Integers 1-31, 99","1-31 (Day), 99 = Unknown",Integer,Blank if Question 2 LBOCMIBG = 0 (No or unknown)
e3l,IL,2a3. Date of most recent cardiac-MIBG scintigraphy (year),LBOCMYR,Conditional (e.g. skip pattern),Integers 2000 - current year,2000 - current year,Integer,Blank if Question 2 LBOCMIBG = 0 (No or unknown)
e3l,IL,"2b. Were there abnormal (low uptake) MIBG myocardial scintigraphy results consistent with LBD, according to your Center’s standards for positivity? (REPORT MOST RECENT)",LBOCMPOS,Conditional (e.g. skip pattern),"Integers 0-1, 8-9","0 = No, 1 = Yes, 8 = Results not available, 9 = Unknown",Integer,Blank if Question 2 LBOCMIBG = 0 (No or unknown)
e3l,IL,2c. Is a cardiac-MIBG available for data sharing?,LBOCMAVL,Conditional (e.g. skip pattern),Integers 0-3,"0 = No or unknown, 1 = Yes, raw data available, 2 = Yes, processed data available, 3 = Yes, both raw and processed data available",Integer,Blank if Question 2 LBOCMIBG = 0 (No or unknown)
e3l,IL,"3. Has the participant had at least one anosmia test, obtained as part of the current evaluation or a previous evaluation?",LBOANOS,Always,Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,
e3l,IL,3a1. Date of most recent anosmia test (month),LBOANMO,Conditional (e.g. skip pattern),Integers 1-12,1-12 (month),Integer,Blank if Question 3 LBOANOS = 0 (No or unknown)
e3l,IL,3a2. Date of most recent anosmia test (day),LBOANDY,Conditional (e.g. skip pattern),"Integers 1-31, 99","1-31 (Day), 99 = Unknown",Integer,Blank if Question 3 LBOANOS = 0 (No or unknown)
e3l,IL,3a3. Date of most recent anosmia test (year),LBOANYR,Conditional (e.g. skip pattern),Integers 2000 - current year,2000 - current year,Integer,Blank if Question 3 LBOANOS = 0 (No or unknown)
e3l,IL,"3b. Were the anosmia test results consistent with LBD, according to your Center’s standards for positivity? (REPORT MOST RECENT)",LBOANPOS,Conditional (e.g. skip pattern),"Integers 0-1, 8-9","0 = No, 1 = Yes, 8 = Results not available, 9 = Unknown",Integer,Blank if Question 3 LBOANOS = 0 (No or unknown)
e3l,IL,3c. Are anosmia test data available for sharing?,LBOANAVL,Conditional (e.g. skip pattern),Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,Blank if Question 3 LBOANOS = 0 (No or unknown)
e3l,IL,3d. Which test was done (that is available for sharing)?,LBOANVER,Conditional (e.g. skip pattern),Integers 1-4,"1 = University of Pennsylvania Smell Identification Test (UPSIT), 2 = Brief-smell identification test (B-SIT), 3 = Sniffin Sticks, 4 = Other",Integer,Blank if Question 3 LBOANOS = 0 (No or unknown)                       Blank if Question 3c LBOANAVL = 0 (No or unknown)
e3l,IL,3d1. Other test,LBOANOTH,Conditional (e.g. skip pattern),,,String,Blank if Question 3 LBOANOS = 0 (No or unknown)                    Blank if 3c LBOANAVL = 0 (No or unknown)                                 Blank if Question 3d LBOANVER not = 4 (Other)
e3l,IL,"4. Has the participant had at least one electroencephalogram, obtained as part of the current evaluation or a previous evaluation?",LBOEEG,Always,Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,
e3l,IL,4a1. Date of most recent electroencephalogram (month),LBOEGMO,Conditional (e.g. skip pattern),Integers 1-12,1-12 (month),Integer,Blank if Question 4 LBOEEG = 0 (No or unknown)
e3l,IL,4a2. Date of most recent electroencephalogram (day),LBOEGDY,Conditional (e.g. skip pattern),"Integers 1-31, 99","1-31 (Day), 99 = Unknown",Integer,Blank if Question 4 LBOEEG = 0 (No or unknown)
e3l,IL,4a3. Date of most recent electroencephalogram (year),LBOEGYR,Conditional (e.g. skip pattern),Integers 2000 - current year,2000 - current year,Integer,Blank if Question 4 LBOEEG = 0 (No or unknown)
e3l,IL,"4b. Was there prominent posterior slow wave activity on EEG with periodic fluctuations in the prealpha/theta range, consistent with LBD, according to your Center’s standards for positivity? (REPORT MOST RECENT)",LBOEGPOS,Conditional (e.g. skip pattern),"Integers 0-1, 8-9","0 = No, 1 = Yes, 8 = Results not available, 9 = Unknown",Integer,Blank if Question 4 LBOEEG = 0 (No or unknown)
e3l,IL,4c. Is an electroencephalogram available for data sharing?,LBOEGAVL,Conditional (e.g. skip pattern),Integers 0-3,"0 = No or unknown, 1 = Yes, raw data available, 2 = Yes, processed data available, 3 = Yes, both raw and processed data available",Integer,Blank if Question 4 LBOEEG = 0 (No or unknown)
e3l,IL,"5. Has the participant had at least one MSLT, obtained as part of the current evaluation or a previous evaluation?",LBOMSLT,Always,Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,
e3l,IL,5a1. Date of most recent MSLT (month),LBOMSMO,Conditional (e.g. skip pattern),Integers 1-12,1-12 (month),Integer,Blank if Question 5 LBOMSLT = 0 (No or unknown)
e3l,IL,5a2. Date of most recent MSLT (day),LBOMSDY,Conditional (e.g. skip pattern),"Integers 1-31, 99","1-31 (Day), 99 = Unknown",Integer,Blank if Question 5 LBOMSLT = 0 (No or unknown)
e3l,IL,5a3. Date of most recent MSLT (year),LBOMSYR,Conditional (e.g. skip pattern),Integers 2000 - current year,2000 - current year,Integer,Blank if Question 5 LBOMSLT = 0 (No or unknown)
e3l,IL,"5b. Were the MSLT results consistent with LBD, according to your Center’s standards for positivity? (REPORT MOST RECENT)",LBOMSPOS,Conditional (e.g. skip pattern),"Integers 0-1, 8-9","0 = No, 1 = Yes, 8 = Results not available, 9 = Unknown",Integer,Blank if Question 5 LBOMSLT = 0 (No or unknown)
e3l,IL,5c. Are MSLT data available for sharing?,LBOMSAVL,Conditional (e.g. skip pattern),Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,Blank if Question 5 LBOMSLT = 0 (No or unknown)
e3l,IL,"6. Has the participant had at least one tilt table test, obtained as part of the current evaluation or a previous evaluation?",LBOTILT,Always,Integers 0-1,"0 = No or unknown, 1 = Yes",Integer,
e3l,IL,6a1. Date of most recent tilt table test (month),LBOTLMO,Conditional (e.g. skip pattern),Integers 1-12,1-12 (month),Integer,Blank if Question 6 LBOTILT = 0 (No or unknown)
e3l,IL,6a2. Date of most recent tilt table test (day),LBOTLDY,Conditional (e.g. skip pattern),"Integers 1-31, 99","1-31 (Day), 99 = Unknown",Integer,Blank if Question 6 LBOTILT = 0 (No or unknown)
