error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b1l-lbd3.1fvp-m-001,001,Error,b1l,FL,FRMDATEB1L,Missingness,FRMDATEB1L must be present,FRMDATEB1L cannot be blank,Q0a. FRMDATEB1L (B1L form date) cannot be blank ,If FRMDATEB1L = blank,,,Yes,No,
b1l-lbd3.1fvp-c-002,002,Error,b1l,FL,FRMDATEB1L,Conformity,FRMDATEB1L conforms,FRMDATEB1L must be a date,Q0a. FRMDATEB1L (B1L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB1L is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b1l-lbd3.1fvp-m-003,003,Error,b1l,FL,LBSSALIV,Missingness,LBSSALIV must be present,LBSSALIV cannot be blank,Q1. LBSSALIV (Does the participant dribble saliva during the day?) cannot be blank,IF LBSSALIV =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-004,004,Error,b1l,FL,LBSSALIV,Conformity,LBSSALIV conforms,LBSSALIV must be an integer between 0-1 or 9,Q1. LBSSALIV (Does the participant dribble saliva during the day?) must be an integer between 0-1 or 9,IF LBSSALIV < 0 or (LBSSALIV  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-005,005,Error,b1l,FL,LBSSWALL,Missingness,LBSSWALL must be present,LBSSWALL cannot be blank,Q2. LBSSWALL (Does the participant have difficulty swallowing?) cannot be blank,IF LBSSWALL =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-006,006,Error,b1l,FL,LBSSWALL,Conformity,LBSSWALL conforms,LBSSWALL must be an integer between 0-1 or 9,Q2. LBSSWALL (Does the participant have difficulty swallowing?) must be an integer between 0-1 or 9,IF LBSSWALL < 0 or (LBSSWALL  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-007,007,Error,b1l,FL,LBSSMELL,Missingness,LBSSMELL must be present,LBSSMELL cannot be blank,Q6. LBSSMELL (Does the participant report a change in the ability to taste or smell?) cannot be blank,IF LBSSMELL =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-008,008,Error,b1l,FL,LBSSMELL,Conformity,LBSSMELL conforms,LBSSMELL must be an integer between 0-1 or 9,Q6. LBSSMELL (Does the participant report a change in the ability to taste or smell?) must be an integer between 0-1 or 9,IF LBSSMELL < 0 or (LBSSMELL  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-009,009,Error,b1l,FL,LBSSWEAT,Missingness,LBSSWEAT must be present,LBSSWEAT cannot be blank,Q7. LBSSWEAT (Does the participant experience excessive sweating (not related to hot weather)?) cannot be blank,IF LBSSWEAT =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-010,010,Error,b1l,FL,LBSSWEAT,Conformity,LBSSWEAT conforms,LBSSWEAT must be an integer between 0-1 or 9,Q7. LBSSWEAT (Does the participant experience excessive sweating (not related to hot weather)?) must be an integer between 0-1 or 9,IF LBSSWEAT < 0 or (LBSSWEAT  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-011,011,Error,b1l,FL,LBSCONST,Missingness,LBSCONST must be present,LBSCONST cannot be blank,Q11. LBSCONST (Does the participant have problems with constipation?) cannot be blank,IF LBSCONST =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-012,012,Error,b1l,FL,LBSCONST,Conformity,LBSCONST conforms,LBSCONST must be an integer between 0-1 or 9,Q11. LBSCONST (Does the participant have problems with constipation?) must be an integer between 0-1 or 9,IF LBSCONST < 0 or (LBSCONST  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-013,013,Error,b1l,FL,LBSUBLAD,Missingness,LBSUBLAD must be present,LBSUBLAD cannot be blank,"Q14. LBSUBLAD (Has the participant had the feeling that after passing urine, their bladder was not completely empty?) cannot be blank",IF LBSUBLAD =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-014,014,Error,b1l,FL,LBSUBLAD,Conformity,LBSUBLAD conforms,LBSUBLAD must be an integer between 0-1 or 9,"Q14. LBSUBLAD (Has the participant had the feeling that after passing urine, their bladder was not completely empty?) must be an integer between 0-1 or 9",IF LBSUBLAD < 0 or (LBSUBLAD  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-015,015,Error,b1l,FL,LBSDZSTU,Missingness,LBSDZSTU must be present,LBSDZSTU cannot be blank,Q17. LBSDZSTU (Has the participant com-plained of feeling light-headed or dizzy when standing up?) cannot be blank,IF LBSDZSTU =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-016,016,Error,b1l,FL,LBSDZSTU,Conformity,LBSDZSTU conforms,LBSDZSTU must be an integer between 0-1 or 9,Q17. LBSDZSTU (Has the participant com-plained of feeling light-headed or dizzy when standing up?) must be an integer between 0-1 or 9,IF LBSDZSTU < 0 or (LBSDZSTU  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-017,017,Error,b1l,FL,LBSDZSTN,Missingness,LBSDZSTN must be present,LBSDZSTN cannot be blank,Q18. LBSDZSTN (Has the participant become light-headed after standing for some time?) cannot be blank,IF LBSDZSTN =blank,,,Yes,Yes,
b1l-lbd3.1fvp-c-018,018,Error,b1l,FL,LBSDZSTN,Conformity,LBSDZSTN conforms,LBSDZSTN must be an integer between 0-1 or 9,Q18. LBSDZSTN (Has the participant become light-headed after standing for some time?) must be an integer between 0-1 or 9,IF LBSDZSTN < 0 or (LBSDZSTN  > 1 and  ne 9),,,Yes,Yes,
b1l-lbd3.1fvp-m-019,019,Error,b1l,FL,LBSFAINT,Missingness,LBSFAINT must be present,LBSFAINT cannot be blank,Q19. LBSFAINT (Has the participant fainted?) cannot be blank,IF LBSFAINT =blank,,,Yes,Yes,
