error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b2l-lbd3.1ivp-m-001,1,Error,b2l,IL,FRMDATEB2L,Missingness,FRMDATEB2L must be present,FRMDATEB2L cannot be blank,Q0a. FRMDATEB2L (B2L form date) cannot be blank ,If FRMDATEB2L = blank,,,Yes,No,
b2l-lbd3.1ivp-c-002,2,Error,b2l,IL,FRMDATEB2L,Conformity,FRMDATEB2L conforms,FRMDATEB2L must be a date,Q0a. FRMDATEB2L (B2L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB2L is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b2l-lbd3.1ivp-m-003,3,Error,b2l,IL,MODEB2L,Missingness,MODEB2L must be present,MODEB2L cannot be blank,Q0d. MODEB2L (B2L in-person or not completed?) cannot be blank,If MODEB2L = blank,,,Yes,No,
b2l-lbd3.1ivp-c-004,4,Error,b2l,IL,MODEB2L,Conformity,MODEB2L conforms,MODEB2L must be an integer between 0-1,Q0d. MODEB2L (B2L in-person or not completed?) must be an integer between 0-1,If MODEB2L < 0 or MODEB2L > 1,,,Yes,No,
b2l-lbd3.1ivp-m-005,5,Error,b2l,IL,B2LNOT,Missingness,B2LNOT conditionally blank,"If MODEB2L = 1, B2LNOT must be blank","If Q0d. MODEB2L (B2L in-person or not completed?) = 1 (In-person) then Q0d1. B2LNOT (If form was not completed, specify reason) must be blank",If MODEB2L=1 and B2LNOT is not blank,,"MODEB2L, B2LNOT",Yes,No,
b2l-lbd3.1ivp-m-006,6,Error,b2l,IL,B2LNOT,Missingness,B2LNOT conditionally present,"If MODEB2L = 0, B2LNOT cannot be blank","If Q0d. MODEB2L (B2L in-person or not completed?) = 0 (Not completed) then Q0d1. B2LNOT (If form was not completed, specify reason) cannot be blank",If MODEB2L = 0 and B2LNOT = blank,,"MODEB2L, B2LNOT",Yes,No,
b2l-lbd3.1ivp-c-007,7,Error,b2l,IL,B2LNOT,Conformity,B2LNOT conforms,B2LNOT must be an integer between 95-98,"Q0d1. B2LNOT (If form was not completed, specify reason) must be an integer between 95-98",If B2LNOT < 95 or B2LNOT >98,,,Yes,No,
b2l-lbd3.1ivp-m-008,8,Error,b2l,IL,MODEB2L,Missingness,B2L form must be blank,"If MODEB2L = 0, form should not have data filled","If Q0d. MODEB2L (B2L in-person or not completed?) = 0 (Not completed), form B2L should not have data filled",IF MODEB2L=0 and rest of form is not blank,,,No,No,
b2l-lbd3.1ivp-m-009,9,Error,b2l,IL,LBUDSPCH,Missingness,LBUDSPCH must be present,LBUDSPCH cannot be blank,Q1. LBUDSPCH (Speech) cannot be blank,IF LBUDSPCH =blank,,,Yes,Yes,
b2l-lbd3.1ivp-c-010,10,Error,b2l,IL,LBUDSPCH,Conformity,LBUDSPCH conforms,"LBUDSPCH must be an integer between 0-4, 8, or 9","Q1. LBUDSPCH (Speech) must be an integer between 0-4, 8, or 9",IF LBUDSPCH < 0 or (LBUDSPCH  > 4 and ne 8 or 9),,,Yes,Yes,
b2l-lbd3.1ivp-m-011,11,Error,b2l,IL,LBUDSALV,Missingness,LBUDSALV must be present,LBUDSALV cannot be blank,Q2. LBUDSALV (Salivation) cannot be blank,IF LBUDSALV =blank,,,Yes,Yes,
b2l-lbd3.1ivp-c-012,12,Error,b2l,IL,LBUDSALV,Conformity,LBUDSALV conforms,"LBUDSALV must be an integer between 0-4, 8, or 9","Q2. LBUDSALV (Salivation) must be an integer between 0-4, 8, or 9",IF LBUDSALV < 0 or (LBUDSALV  > 4 and ne 8 or 9),,,Yes,Yes,
b2l-lbd3.1ivp-m-013,13,Error,b2l,IL,LBUDSWAL,Missingness,LBUDSWAL must be present,LBUDSWAL cannot be blank,Q3. LBUDSWAL (Swallowing) cannot be blank,IF LBUDSWAL =blank,,,Yes,Yes,
b2l-lbd3.1ivp-c-014,14,Error,b2l,IL,LBUDSWAL,Conformity,LBUDSWAL conforms,"LBUDSWAL must be an integer between 0-4, 8, or 9","Q3. LBUDSWAL (Swallowing) must be an integer between 0-4, 8, or 9",IF LBUDSWAL < 0 or (LBUDSWAL  > 4 and ne 8 or 9),,,Yes,Yes,
b2l-lbd3.1ivp-m-015,15,Error,b2l,IL,LBUWRITE,Missingness,LBUWRITE must be present,LBUWRITE cannot be blank,Q4. LBUWRITE (Handwriting) cannot be blank,IF LBUWRITE =blank,,,Yes,Yes,
b2l-lbd3.1ivp-c-016,16,Error,b2l,IL,LBUWRITE,Conformity,LBUWRITE conforms,"LBUWRITE must be an integer between 0-4, 8, or 9","Q4. LBUWRITE (Handwriting) must be an integer between 0-4, 8, or 9",IF LBUWRITE < 0 or (LBUWRITE  > 4 and ne 8 or 9),,,Yes,Yes,
b2l-lbd3.1ivp-m-017,17,Error,b2l,IL,LBUDFOOD,Missingness,LBUDFOOD must be present,LBUDFOOD cannot be blank,Q5. LBUDFOOD (Cutting food and handling utensils) cannot be blank,IF LBUDFOOD =blank,,,Yes,Yes,
b2l-lbd3.1ivp-c-018,18,Error,b2l,IL,LBUDFOOD,Conformity,LBUDFOOD conforms,"LBUDFOOD must be an integer between 0-4, 8, or 9","Q5. LBUDFOOD (Cutting food and handling utensils) must be an integer between 0-4, 8, or 9",IF LBUDFOOD < 0 or (LBUDFOOD  > 4 and ne 8 or 9),,,Yes,Yes,
b2l-lbd3.1ivp-m-019,19,Error,b2l,IL,LBUDRESS,Missingness,LBUDRESS must be present,LBUDRESS cannot be blank,Q6. LBUDRESS (Dressing) cannot be blank,IF LBUDRESS =blank,,,Yes,Yes,
b2l-lbd3.1ivp-c-020,20,Error,b2l,IL,LBUDRESS,Conformity,LBUDRESS conforms,"LBUDRESS must be an integer between 0-4, 8, or 9","Q6. LBUDRESS (Dressing) must be an integer between 0-4, 8, or 9",IF LBUDRESS < 0 or (LBUDRESS  > 4 and ne 8 or 9),,,Yes,Yes,
b2l-lbd3.1ivp-m-021,21,Error,b2l,IL,LBUDHYGN,Missingness,LBUDHYGN must be present,LBUDHYGN cannot be blank,Q7. LBUDHYGN (Hygiene) cannot be blank,IF LBUDHYGN =blank,,,Yes,Yes,
