error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
e2l-lbd3.1ivp-m-001,001,Error,e2l,IL,FRMDATEE2L,Missingness,FRMDATEE2L must be present,FRMDATEE2L cannot be blank,Q0a. FRMDATEE2L (E2L form date) cannot be blank ,If FRMDATEE2L = blank,,,Yes,No,
e2l-lbd3.1ivp-c-002,002,Error,e2l,IL,FRMDATEE2L,Conformity,FRMDATEE2L conforms,FRMDATEE2L must be a date,Q0a. FRMDATEE2L (E2L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEE2L is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
e2l-lbd3.1ivp-m-003,003,Error,e2l,IL,LBISMRI,Missingness,LBISMRI must be present,LBISMRI cannot be blank,Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) cannot be blank,If LBISMRI = blank,,,,,
e2l-lbd3.1ivp-c-004,004,Error,e2l,IL,LBISMRI,Conformity,LBISMRI conforms,LBISMRI must be an integer between 0-1,Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) must be an integer between 0-1,LBISMRI < 0 or LBISMRI > 1,,,,,
e2l-lbd3.1ivp-m-005,005,Error,e2l,IL,LBISMHIP,Missingness,LBISMHIP conditionally present,"If LBISMRI = 1, LBISMHIP cannot be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 1 (Yes), Q1c. LBISMHIP (MRI finding of hippocampal atrophy?) cannot be blank",If LBISMRI = 1 and LBISMHIP = blank,,"LBISMRI,  LBISMHIP ",,,
e2l-lbd3.1ivp-m-006,006,Error,e2l,IL,LBISMHIP,Missingness,LBISMHIP conditionally blank,"If LBISMRI = 0, LBISMHIP must be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 0 (No), Q1c. LBISMHIP (MRI finding of hippocampal atrophy?) must be blank",If LBISMRI = 0 and LBISMHIP not = blank,,"LBISMRI,  LBISMHIP ",,,
e2l-lbd3.1ivp-c-007,007,Error,e2l,IL,LBISMHIP,Conformity,LBISMHIP conforms,LBISMHIP must be an integer between 0-1 or 8-9,Q1c. LBISMHIP (MRI finding of hippocampal atrophy?) must be an integer between 0-1 or 8-9,LBISMHIP < 0 or LBISMHIP > 1 (and not = 8 or 9),,,,,
e2l-lbd3.1ivp-m-008,008,Error,e2l,IL,LBISMAVL,Missingness,LBISMAVL conditionally present,"If LBISMRI = 1, LBISMAVL cannot be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 1 (Yes), Q1d. LBISMAVL (MRI available for data sharing?) cannot be blank",If LBISMRI = 1 and LBISMAVL = blank,,"LBISMRI,  LBISMAVL ",,,
e2l-lbd3.1ivp-m-009,009,Error,e2l,IL,LBISMAVL,Missingness,LBISMAVL conditionally blank,"If LBISMRI = 0, LBISMAVL must be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 0 (No), Q1d. LBISMAVL (MRI available for data sharing?) must be blank",If LBISMRI = 0 and LBISMAVL not = blank,,"LBISMRI,  LBISMAVL ",,,
e2l-lbd3.1ivp-c-010,010,Error,e2l,IL,LBISMAVL,Conformity,LBISMAVL conforms,LBISMAVL must be an integer between 0-1 ,Q1d. LBISMAVL (MRI available for data sharing?) must be an integer between 0-1 ,LBISMAVL < 0 or LBISMAVL > 1 ,,,,,
e2l-lbd3.1ivp-m-011,011,Error,e2l,IL,LBIFPET,Missingness,LBIFPET must be present,LBIFPET cannot be blank,Q2. LBIFPET (At least one FDG-PET obtained during current or previous evaluation?) cannot be blank,If LBIFPET = blank,,,,,
e2l-lbd3.1ivp-c-012,012,Error,e2l,IL,LBIFPET,Conformity,LBIFPET conforms,LBIFPET must be an integer between 0-1,Q2. LBIFPET (At least one FDG-PET obtained during current or previous evaluation?) must be an integer between 0-1,LBIFPET < 0 or LBIFPET > 1,,,,,
e2l-lbd3.1ivp-m-013,013,Error,e2l,IL,LBIFPOCC,Missingness,LBIFPOCC conditionally present,"If LBIFPET = 1, LBIFPOCC cannot be blank","If Q2. LBIFPET (At least one FDG-PET obtained during current or previous evaluation?) = 1 (Yes), Q2c. LBIFPOCC (FDG-PET finding of occipital hypometabolism consistent with LBD?) cannot be blank",If LBIFPET = 1 and LBIFPOCC = blank,,"LBIFPET, LBIFPOCC",,,
