form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
e2l,IL,0a. E2L Neuroimaging Available and Findings - Form date,FRMDATEE2L,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
e2l,IL,0b. E2L Neuroimaging Available and Findings - Examiner's initials,INITIALSE2L,No,text,,String,
e2l,IL,"1. Has the participant had at least one structural MRI scan that has not yet been recorded, obtained as part of the current evaluation or a previous evaluation?",LBISMRI,Always,Integers 0-1,"0 = no or unknown, 1 = yes",Integer,
e2l,IL,"1c. Was there an MRI finding of hippocampal atrophy, according to your Center’s standards for positivity? (REPORT MOST RECENT)",LBISMHIP,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown)
e2l,IL,1d. Is an MRI available for data sharing?,LBISMAVL,Conditional (e.g. skip pattern),Integers 0-1 or blank,"0 = no or unknown, 1 = yes",Integer,Blank if Question 1 LBISMRI = 0 (No or unknown)
e2l,IL,"2. Has the participant had at least one FDG-PET scan that has not yet been recorded, obtained as part of the current evaluation or a previous evaluation?",LBIFPET,Always,Integers 0-1,"0 = no or unknown, 1 = yes",Integer,
e2l,IL,"2c. Was there an FDG-PET finding of occipital hypometabolism consistent with LBD, according to your Center’s standards for positivity? ",LBIFPOCC,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,IL,"2d. Was there an FDG-PET finding of temporoparietal hypometabolism suggestive of AD, according to your Center’s standards for positivity?",LBIFPTPP,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,IL,"2e. Was there an FDG-PET finding of cingulate island sign consistent with LBD, according to your Center’s standards for positivity?",LBIFPISL,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,IL,2f. Is an FDG-PET available for data sharing?,LBIFPAVL,Conditional (e.g. skip pattern),Integers 0-1 or blank,"0 = no or unknown, 1 = yes",Integer,Blank if Question 2 LBIFPET = 0 (No or unknown)
e2l,IL,"3. Has the participant had at least one amyloid PET scan that has not yet been recorded, obtained as part of the current evaluation or a previous evaluation?",LBIAPET,Always,Integers 0-1,"0 = no or unknown, 1 = yes",Integer,
e2l,IL,3c. Is an amyloid PET available for data sharing?,LBIAPAVL,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 3 LBIAPET = 0 (No or unknown).
e2l,IL,"4. Has the participant had at least one Tau PET scan that has not yet been recorded, obtained as part of the current evaluation or a previous evaluation?",LBITPET,Always,Integers 0-1,"0 = no or unknown, 1 = yes",Integer,
e2l,IL,4c. Is a Tau PET available for data sharing?,LBITPAVL,Conditional (e.g. skip pattern),"Integers 0-1, 9 or blank","0 = no, 1 = yes, 9 = unknown",Integer,Blank if Question 4 LBITPET = 0 (No or unknown).
e2l,IL,"5. Has the participant had at least one DaTScan scan that has not yet been recorded, obtained as part of the current evaluation or a previous evaluation?",LBIDATS,Always,Integers 0-1,"0 = no or unknown, 1 = yes",Integer,
e2l,IL,"5c. Were there abnormal DaTScan findings consistent with LBD, according to your Center’s standards for positivity? (REPORT MOST RECENT)",LBIDSABN,Conditional (e.g. skip pattern),"Integers 0-1, 8-9 or blank","0 = no, 1 = yes, 8 = results not available, 9 = unknown",Integer,Blank if Question 5 LBIDATS = 0 (No or unknown)
