error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
milestones-m-001,001,Error,milestones,M,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Q0a. PACKET (Packet code) cannot be blank,If PACKET = blank,,,,,
milestones-c-002,002,Error,milestones,M,PACKET,Conformity,PACKET conforms,PACKET must be a character M,Q0a. PACKET (Packet code) must be a character M (Milestones),"If PACKET ne ""M""",,,,,
milestones-m-003,003,Error,milestones,M,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q0b. FORMVER (Form version number) cannot be blank,If FORMVER = blank,,,,,
milestones-c-004,004,Error,milestones,M,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 3,Q0b. FORMVER (Form version number) must equal 3,If FORMVER ne 3,,,,,
milestones-m-005,005,Error,milestones,M,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0c. ADCID (ADCID) cannot be blank,If ADCID = blank,,,,,
milestones-c-006,006,Error,milestones,M,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Q0c. ADCID (ADCID) must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,,,
milestones-m-007,007,Error,milestones,M,PTID,Missingness,PTID must be present,PTID cannot be blank,Q0e. PTID (ADRC Participant ID) cannot be blank,If PTID = blank,,,,,
milestones-m-009,009,Error,milestones,M,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Q0f. VISITDATE (Form date) cannot be blank,If VISITDATE = blank,,,,,
milestones-c-010,010,Error,milestones,M,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be a date in format mm/dd/yyyy or yyyy/mm/dd,Q0f. VISITDATE (Form date) must be a date in the format mm/dd/yyyy or yyyy/mm/dd,If VISITDATE not in mm/dd/yyyy or yyyy/mm/dd format,,,,,
milestones-m-011,011,Error,milestones,M,CHANGEMO,Missingness,CHANGEMO conditionally present,"If DECEASED ne 1 and DISCONT ne 1, then CHANGEMO cannot be blank","If Q4a. DECEASED (Participant has died) does not equal 1 (Box not checked) and Q4b. DISCONT (Participant has been dropped from ADRC) does not equal 1 (Box not checked), then Q1a. CHANGEMO (Month of status change) cannot be blank",If (DECEASED ne 1 and DISCONT ne 1) and CHANGEMO = blank,,"DECEASED, DISCONT, CHANGEMO",,,
milestones-m-012,012,Error,milestones,M,CHANGEMO,Missingness,CHANGEMO conditionally blank,"If DECEASED = 1 or DISCONT = 1, then CHANGEMO must be blank","If Q4a. DECEASED (Participant has died) = 1 (Yes) or Q4b. DISCONT (Participant has been dropped from ADRC) = 1 (Yes), then Q1a. CHANGEMO (Month of status change) must be blank",If (DECEASED = 1 or DISCONT = 1) and CHANGEMO is not blank,,"DECEASED, DISCONT, CHANGEMO",,,
milestones-c-013,013,Error,milestones,M,CHANGEMO,Conformity,CHANGEMO conforms,CHANGEMO must be an integer between 1 and 12 or 99,Q1a. CHANGEMO (Month of status change) must be an integer between 1 and 12 or 99,If CHANGEMO <1 or (CHANGEMO >12 and CHANGEMO ne 99),,,,,
milestones-m-014,014,Error,milestones,M,CHANGEDY,Missingness,CHANGEDY conditionally present,"If DECEASED ne 1 and DISCONT ne 1, then CHANGEDY cannot be blank","If Q4a. DECEASED (Participant has died) does not equal 1 (Box not checked) and Q4b. DISCONT (Participant has been dropped from ADRC) does not equal 1 (Box not checked), then Q1b. CHANGEDY (Day of status change) cannot be blank",If (DECEASED ne 1 and DISCONT ne 1) and CHANGEDY = blank,,"DECEASED, DISCONT, CHANGEDY",,,
milestones-m-015,015,Error,milestones,M,CHANGEDY,Missingness,CHANGEDY conditionally blank,"If DECEASED=1 or DISCONT=1, then CHANGEDY must be blank","If Q4a. DECEASED (Participant has died) = 1 (Yes) or Q4b. DISCONT (Participant has been dropped from ADRC) = 1 (Yes), then Q1b. CHANGEDY (Day of status change) must be blank",If (DECEASED = 1 or DISCONT = 1) and CHANGEDY is not blank,,"DECEASED, DISCONT, CHANGEDY",,,
milestones-c-016,016,Error,milestones,M,CHANGEDY,Conformity,CHANGEDY conforms,CHANGEDY must be an integer between 1 and 31 or 99,Q1b. CHANGEDY (Day of status change) must be an integer between 1 and 31 or 99,If CHANGEDY <1 or (CHANGEDY >31 and CHANGEDY ne 99),,,,,
milestones-m-017,017,Error,milestones,M,CHANGEYR,Missingness,CHANGEYR conditionally present,"If DECEASED ne 1 and DISCONT ne 1, then CHANGEYR cannot be blank","If Q4a. DECEASED (Participant has died) does not equal 1 (Box not checked) and Q4b. DISCONT (Participant has been dropped from ADRC) does not equal 1 (Box not checked), then Q1c. CHANGEYR (Year of status change) cannot be blank",If (DECEASED ne 1 and DISCONT ne 1) and CHANGEYR = blank,,"DECEASED, DISCONT, CHANGEYR",,,
milestones-m-018,018,Error,milestones,M,CHANGEYR,Missingness,CHANGEYR conditionally blank,"If DECEASED = 1 or DISCONT = 1, then CHANGEYR must be blank","If Q4a. DECEASED (Participant has died) = 1 (Yes) or Q4b. DISCONT (Participant has been dropped from ADRC) = 1 (Yes), then Q1c. CHANGEYR (Year of status change) must be blank",If (DECEASED = 1 or DISCONT = 1) and CHANGEYR is not blank,,"DECEASED, DISCONT, CHANGEYR",,,
milestones-c-019,019,Error,milestones,M,CHANGEYR,Conformity,CHANGEYR conforms,CHANGEYR must be an integer between 2015 and current year,Q1c. CHANGEYR (Year of status change) must be an integer between 2015 and current year,If CHANGEYR <2015 or CHANGEYR > current year,,,,,
milestones-m-020,020,Error,milestones,M,PROTOCOL,Missingness,PROTOCOL conditionally present,"If DECEASED ne 1 and DISCONT ne 1 and FTLDDISC ne 1, then PROTOCOL cannot be blank","If Q4a. DECEASED (Participant has died) does not equal 1 (Box not checked) and Q4b. DISCONT (Participant has been dropped from ADRC) does not equal 1 (Box not checked) and Q3. FTKDDISC (Participant will no longer receive FTLD Module but annual UDS continues) does not equal 1 (Box not checked), then Q2a. PROTOCOL (UDS data collection status changed - current status) cannot be blank",If DISCONT ne 1 and DISCONT ne 1 and FTLDDISC ne 1 and PROTOCOL = blank,,"DECEASED, DISCONT, FTLDDISC, PROTOCOL",,,
milestones-m-021,021,Error,milestones,M,PROTOCOL,Missingness,PROTOCOL conditionally blank,"If DECEASED=1 or DISCONT=1 or FTLDDISC=1, then PROTOCOL must be blank","If Q4a. DISCONT (Participant has died)=1 (Box checked) or Q4b. DISCONT (Participant has been dropped from ADRC)=1 (Box checked) or Q3. FTLDDISC (Participant will no longer receive FTLD module follow-up)=1 (Box checked), then Q2a. PROTOCOL (UDS data collection status changed - current status) must be blank",If (DECEASED=1 or DISCONT=1 or or FTLDDISC=1) and PROTOCOL is not blank,,"DECEASED, DISCONT, FTLDDISC, PROTOCOL",,,
milestones-c-022,022,Error,milestones,M,PROTOCOL,Conformity,PROTOCOL conforms,PROTOCOL must be an integer between 1-3,Q2a. PROTOCOL (UDS data collection status changed - current status) must be an integer between 1 and 3,If PROTOCOL < 1 or PROTOCOL > 3,,,,,
milestones-m-023,023,Error,milestones,M,ACONSENT,Missingness,ACONSENT conditionally present,"If PROTOCOL in (1,2) then ACONSENT cannot be blank",If Q2a. PROTOCOL (UDS data collection status changed - current status) in 1 or 2 (Annual UDS follow-up by telephone or Minimal contact) then Q2a1. ACONSENT (Autopsy consent on file?) cannot be blank,"If PROTOCOL in (1,2) and ACONSENT = blank",,"PROTOCOL, ACONSENT",,,
milestones-m-024,024,Error,milestones,M,ACONSENT,Missingness,ACONSENT conditionally blank,"If PROTOCOL not in (1,2) then ACONSENT must be blank","If Q2a. PROTOCOL (UDS data collection status changed - current status) not in in 1 or 2 (Annual UDS follow-up by telephone or Minimal contact), then Q2a1. ACONSENT (Autopsy consent on file?) must be blank","If PROTOCOL not in (1,2) and ACONSENT is not blank",,"PROTOCOL, ACONSENT",,,
milestones-c-025,025,Error,milestones,M,ACONSENT,Conformity,ACONSENT conforms,ACONSENT must be an integer between 0-1,Q2a1. ACONSENT (Autopsy consent on file?) must be an integer between 0 and 1,If ACONSENT < 0 or ACONSENT > 1,,,,,
milestones-m-026,026,Error,milestones,M,RECOGIM,Missingness,RECOGIM conditionally blank,"If PROTOCOL not in (1,2) then RECOGIM must be blank","If Q2a. PROTOCOL (UDS data collection status changed - current status) not in in 1 or 2 (Annual UDS follow-up by telephone or Minimal contact), then Q2b1. RECOGIM (Participant is too cognitively impaired) must be blank","If PROTOCOL not in (1,2) and RECOGIM is not blank",,"PROTOCOL, RECOGIM",,,
milestones-c-027,027,Error,milestones,M,RECOGIM,Conformity,RECOGIM conforms,"RECOGIM must be blank, 0, or 1","Q2b1. RECOGIM (Participant is too cognitively impaired) must be blank, 0, or 1","If RECOGIM is not blank or RECOGIM notin (0,1)",,,,,
milestones-m-028,028,Error,milestones,M,REPHYILL,Missingness,REPHYILL conditionally blank,"If PROTOCOL not in (1,2) then REPHYILL must be blank","If Q2a. PROTOCOL (UDS data collection status changed - current status) not in in 1 or 2 (Annual UDS follow-up by telephone or Minimal contact), then Q2b2. REPHYILL (Participant is too ill or physically impaired) must be blank","If PROTOCOL not in (1,2) and REPHYILL is not blank",,"PROTOCOL, REPHYILL",,,
milestones-c-029,029,Error,milestones,M,REPHYILL,Conformity,REPHYILL conforms,"REPHYILL must be blank, 0, or 1","Q2b2. REPHYILL (Participant is too ill or physically impaired) must be blank, 0, or 1","If REPHYILL is not blank or REPHYILL notin (0,1)",,,,,
milestones-m-030,030,Error,milestones,M,REREFUSE,Missingness,REREFUSE conditionally blank,"If PROTOCOL not in (1,2) then REREFUSE must be blank","If Q2a. PROTOCOL (UDS data collection status changed - current status) not in in 1 or 2 (Annual UDS follow-up by telephone or Minimal contact), then Q2b3. REREFUSE (Participant refuses neuropsychological testing or clinical exam) must be blank","If PROTOCOL not in (1,2) and REREFUSE is not blank",,"PROTOCOL, REREFUSE",,,
milestones-c-031,031,Error,milestones,M,REREFUSE,Conformity,REREFUSE conforms,"REREFUSE must be blank, 0, or 1","Q2b3. REREFUSE (Participant refuses neuropsychological testing or clinical exam) must be blank, 0, or 1","If REREFUSE is not blank or REREFUSE notin (0,1)",,,,,
milestones-m-032,032,Error,milestones,M,RENAVAIL,Missingness,RENAVAIL conditionally blank,"If PROTOCOL not in (1,2) then RENAVAIL must be blank","If Q2a. PROTOCOL (UDS data collection status changed - current status) not in in 1 or 2 (Annual UDS follow-up by telephone or Minimal contact), then Q2b4. RENAVAIL (Participant or coparticipant unreachable, not available, or moved away) must be blank","If PROTOCOL not in (1,2) and RENAVAIL is not blank",,"PROTOCOL, RENAVAIL",,,
milestones-c-033,033,Error,milestones,M,RENAVAIL,Conformity,RENAVAIL conforms,"RENAVAIL must be blank, 0, or 1","Q2b4. RENAVAIL (Participant or coparticipant unreachable, not available, or moved away) must be blank, 0, or 1","If RENAVAIL is not blank or RENAVAIL notin (0,1)",,,,,
milestones-m-034,034,Error,milestones,M,RENURSE,Missingness,RENURSE conditionally blank,"If PROTOCOL not in (1,2) then RENURSE must be blank","If Q2a. PROTOCOL (UDS data collection status changed - current status) not in in 1 or 2 (Annual UDS follow-up by telephone or Minimal contact), then Q2b5. RENURSE (Participant has permanently entered nursing home) must be blank","If PROTOCOL not in (1,2) and RENURSE is not blank",,"PROTOCOL, RENURSE",,,
milestones-c-035,035,Error,milestones,M,RENURSE,Conformity,RENURSE conforms,"RENURSE must be blank, 0, or 1","Q2b5. RENURSE (Participant has permanently entered nursing home) must be blank, 0, or 1","If RENURSE is not blank or RENURSE notin (0,1)",,,,,
milestones-m-036,036,Error,milestones,M,NURSEMO,Missingness,NURSEMO conditionally present,If RENURSE = 1 then NURSEMO cannot be blank,"If Q2b5. RENURSE (Participant has permanently entered nursing home) = 1 (Box checked), then Q2b5a. NURSEMO (Date permanently moved to nursing home, month) cannot be blank",If RENURSE =1 and NURSEMO = blank,,"RENURSE, NURSEMO",,,
milestones-m-037,037,Error,milestones,M,NURSEMO,Missingness,NURSEMO conditionally blank,If RENURSE ne 1 then NURSEMO must be blank,"If Q2b5. RENURSE (Participant has permanently entered nursing home) does not equal 1 (Box not checked), then Q2b5a. NURSEMO (Date permanently moved to nursing home, month) must be blank",If RENURSE ne 1 and NURSEMO is not blank,,"RENURSE, NURSEMO",,,
milestones-c-038,038,Error,milestones,M,NURSEMO,Conformity,NURSEMO conforms,NURSEMO must be an integer between 1 and 12 or 99,"Q2b5a. NURSEMO (Date permanently moved to nursing home, month) must be an integer between 1 and 12 or 99",If NURSEMO <1 or (NURSEMO >12 and NURSEMO ne 99),,,,,
milestones-m-039,039,Error,milestones,M,NURSEDY,Missingness,NURSEDY conditionally present,If RENURSE = 1 then NURSEDY cannot be blank,"If Q2b5. RENURSE (Participant has permanently entered nursing home) = 1 (Box checked), then Q2b5b. NURSEDY (Date permanently moved to nursing home, day) cannot be blank",If RENURSE =1 and NURSEDY = blank,,"RENURSE, NURSEDY",,,
milestones-m-040,040,Error,milestones,M,NURSEDY,Missingness,NURSEDY conditionally blank,If RENURSE ne 1 then NURSEDY must be blank,"If Q2b5. RENURSE (Participant has permanently entered nursing home) does not equal 1 (Box not checked), then Q2b5b. NURSEDY (Date permanently moved to nursing home, day) must be blank",If RENURSE ne 1 and NURSEDY is not blank,,"RENURSE, NURSEDY",,,
