error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
milestonesv3-m-001,001,Error,milestonesv3,M,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Q0a. PACKET (Packet code) cannot be blank,If PACKET = blank,,,,,
milestonesv3-c-002,002,Error,milestonesv3,M,PACKET,Conformity,PACKET conforms,PACKET must be a character M,Q0a. PACKET (Packet code) must be a character M (Milestones),"If PACKET ne ""M""",,,,,
milestonesv3-m-003,003,Error,milestonesv3,M,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q0b. FORMVER (Form version number) cannot be blank,If FORMVER = blank,,,,,
milestonesv3-c-004,004,Error,milestonesv3,M,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 3,Q0b. FORMVER (Form version number) must equal 3,If FORMVER ne 3,,,,,
milestonesv3-m-005,005,Error,milestonesv3,M,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0c. ADCID (ADCID) cannot be blank,If ADCID = blank,,,,,
milestonesv3-c-006,006,Error,milestonesv3,M,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Q0c. ADCID (ADCID) must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,,,
milestonesv3-m-007,007,Error,milestonesv3,M,PTID,Missingness,PTID must be present,PTID cannot be blank,Q0e. PTID (ADRC Participant ID) cannot be blank,If PTID = blank,,,,,
milestonesv3-c-008,008,Error,milestonesv3,M,PTID,Conformity,PTID conforms,PTID must be an alpha numeric code that is no more than 10 digits,Q0e. PTID (PTID) must be an alpha numeric code that is no more than 10 digits,IF PTID is more than 10 digits,,,,,
milestonesv3-m-009,009,Error,milestonesv3,M,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Q0f. VISITDATE (Form date) cannot be blank,If VISITDATE = blank,,,,,
milestonesv3-c-010,010,Error,milestonesv3,M,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be a date in format mm/dd/yyyy or yyyy/mm/dd,Q0f. VISITDATE (Form date) must be a date in the format mm/dd/yyyy or yyyy/mm/dd,If VISITDATE not in mm/dd/yyyy or yyyy/mm/dd format,,,,,
milestonesv3-m-011,011,Error,milestonesv3,M,CHANGEMO,Missingness,CHANGEMO conditionally present,"If DECEASED ne 1 or DISCONT ne 1, then CHANGEMO cannot be blank","If Q4a. DECEASED (Participant has died) does not equal 1 (Box not checked) or Q4b. DISCONT (Participant has been dropped from ADRC) does not equal 1 (Box not checked), then Q1a. CHANGEMO (Month of status change) cannot be blank",If (DECEASED ne 1 or DISCONT ne 1) and CHANGEMO = blank,,"DECEASED, DISCONT, CHANGEMO",,,
milestonesv3-m-012,012,Error,milestonesv3,M,CHANGEMO,Missingness,CHANGEMO conditionally blank,"If DECEASED = 1 or DISCONT = 1, then CHANGEMO must be blank","If Q4a. DECEASED (Participant has died) = 1 (Yes) or Q4b. DISCONT (Participant has been dropped from ADRC) = 1 (Yes), then Q1a. CHANGEMO (Month of status change) must be blank",If (DECEASED = 1 or DISCONT = 1) and CHANGEMO is not blank,,"DECEASED, DISCONT, CHANGEMO",,,
milestonesv3-c-013,013,Error,milestonesv3,M,CHANGEMO,Conformity,CHANGEMO conforms,CHANGEMO must be an integer between 1 and 12 or 99,Q1a. CHANGEMO (Month of status change) must be an integer between 1 and 12 or 99,If CHANGEMO <1 or (CHANGEMO >12 and CHANGEMO ne 99),,,,,
milestonesv3-m-014,014,Error,milestonesv3,M,CHANGEDY,Missingness,CHANGEDY conditionally present,"If DECEASED ne 1 or DISCONT ne 1, then CHANGEDY cannot be blank","If Q4a. DECEASED (Participant has died) does not equal 1 (Box not checked) or Q4b. DISCONT (Participant has been dropped from ADRC) does not equal 1 (Box not checked), then Q1b. CHANGEDY (Day of status change) cannot be blank",If (DECEASED ne 1 or DISCONT ne 1) and CHANGEDY = blank,,"DECEASED, DISCONT, CHANGEDY",,,
milestonesv3-m-015,015,Error,milestonesv3,M,CHANGEDY,Missingness,CHANGEDY conditionally blank,"If DECEASED=1 or DISCONT=1, then CHANGEDY must be blank","If Q4a. DECEASED (Participant has died) = 1 (Yes) or Q4b. DISCONT (Participant has been dropped from ADRC) = 1 (Yes), then Q1b. CHANGEDY (Day of status change) must be blank",If (DECEASED = 1 or DISCONT = 1) and CHANGEDY is not blank,,"DECEASED, DISCONT, CHANGEDY",,,
milestonesv3-c-016,016,Error,milestonesv3,M,CHANGEDY,Conformity,CHANGEDY conforms,CHANGEDY must be an integer between 1 and 31 or 99,Q1b. CHANGEDY (Day of status change) must be an integer between 1 and 31 or 99,If CHANGEDY <1 or (CHANGEDY >31 and CHANGEDY ne 99),,,,,
milestonesv3-m-017,017,Error,milestonesv3,M,CHANGEYR,Missingness,CHANGEYR conditionally present,"If DECEASED ne 1 or DISCONT ne 1, then CHANGEYR cannot be blank","If Q4a. DECEASED (Participant has died) does not equal 1 (Box not checked) or Q4b. DISCONT (Participant has been dropped from ADRC) does not equal 1 (Box not checked), then Q1c. CHANGEYR (Year of status change) cannot be blank",If (DECEASED ne 1 or DISCONT ne 1) and CHANGEYR = blank,,"DECEASED, DISCONT, CHANGEYR",,,
