form_name,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
milestonesv3,0a. Packet code,PACKET,Always,Text,"M, Milestones",String,
milestonesv3,0b. Form version number,FORMVER,Always,3,3,Numeric,
milestonesv3,0c. ADRC ID,ADCID,Always,List of current ADCIDs,List of current ADCIDs,Integer,
milestonesv3,0e. PTID,PTID,Always,Any text,,String,
milestonesv3,0f. Form Date,VISITDATE,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
milestonesv3,0g. Examiner's initials,INITIALS,No,Any text,,String,
milestonesv3,"1a. Date of status change, month",CHANGEMO,Conditional,Integers 1-12 or 99,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 99=Unknown",Integer,Blank if Question 4a DECEASED = 1 (Yes) or Question 4b DISCONT = 1 (Yes)
milestonesv3,"1b. Date of status change, day",CHANGEDY,Conditional,Integers 1-31 or 99,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 |25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31|99=Unknown",Integer,Blank if Question 4a DECEASED = 1 (Yes) or Question 4b DISCONT = 1 (Yes)
milestonesv3,"1c. Date of status change, year",CHANGEYR,Conditional,Integers 2015 to current year,2015 - current year,Integer,Blank if Question 4a DECEASED = 1 (Yes) or Question 4b DISCONT = 1 (Yes)
milestonesv3,2a. UDS data collection status changed; participant’s new status is: ,PROTOCOL,Conditional,Integers 1-3,"1, Annual UDS follow-up by telephone | 2, Minimal contact | 3, Annual in-person UDS follow-up",Integer,Blank if Question 4a DECEASED = 1 (Yes) or Question 4b DISCONT = 1 (Yes)
milestonesv3,2a1. Autopsy consent on file?,ACONSENT,Conditional,Integers 0-1,"0, No | 1, Yes",Integer,"Blank if Question 2a PROTOCOL = 3 (Annual in-person follow-up), Question 4a DECEASED = 1 (Yes),  or Question 4b DISCONT = 1 (Yes)"
