error_code,error_no,error_type,form_name,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
np-m-001,001,Error,np,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Q0a. PACKET (Packet code) cannot be blank,If PACKET = blank,,,,,
np-c-002,002,Error,np,PACKET,Conformity,PACKET conforms,PACKET must be a string 'NP',Q0a. PACKET (Packet code) must be a string 'NP' (Neuropathology),"If PACKET ne ""NP""",,,,,
np-m-003,003,Error,np,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q21. FORMVER (Form version number) cannot be blank,If FORMVER = blank,,,,,
np-c-004,004,Error,np,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 11,Q21. FORMVER (Form version number) must equal 11,If FORMVER ne 11,,,,,
np-m-005,005,Error,np,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0b. ADCID (ADRC ID) cannot be blank ,If ADCID = blank,,,,,
np-c-006,006,Error,np,ADCID,Conformity,ADCID conforms,ADCID must must be a valid code in list_of_adcids,Q0b. ADCID (Center ID) must be a valid code in list_of_adcids ,IF ADCID is not in list_of_adcids,,,,,
np-m-007,007,Error,np,PTID,Missingness,PTID must be present,PTID cannot be blank,Q1. PTID (UDS/MDS patient ID) cannot be blank,IF PTID = blank,,,,,
np-m-009,009,Error,np,NPFORMDATE,Missingness,NPFORMDATE must be present,NPFORMDATE cannot be blank,Q2. NPFORMDATE (Date form completed) cannot be blank,IF NPFORMDATE = blank,,,,,
np-c-010,010,Error,np,NPFORMDATE,Conformity,NPFORMDATE conforms,NPFORMDATE must be a date,Q2. NPFORMDATE (Date form completed) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If NPFORMDATE is not mm/dd/yyyy or yyyy/mm/dd,,,,,
np-c-012,012,Error,np,NPID,Conformity,NPID conforms,NPID  must be no more than 10 characters,Q3. NPID (Neuropath ID)  must be no more than 10 characters,IF NPID is more than 10 characters,,,,,
np-m-013,013,Error,np,NPSEX,Missingness,NPSEX must be present,NPSEX cannot be blank,Q4. NPSEX (Subject's sex) cannot be blank,IF NPSEX = blank,,,,,
np-c-014,014,Error,np,NPSEX,Conformity,NPSEX conforms,NPSEX must be an integer between 1-2,Q4. NPSEX (Subject's sex) must be an integer between 1-2,IF NPSEX < 1 or NPSEX > 2,,,,,
np-m-015,015,Error,np,NPDAGE,Missingness,NPDAGE must be present,NPDAGE cannot be blank,Q5. NPDAGE (Age at death) cannot be blank,IF NPDAGE = blank,,,,,
np-c-016,016,Error,np,NPDAGE,Conformity,NPDAGE conforms,NPDAGE must be an integer between 0-130,Q5. NPDAGE (Age at death) must be an integer between 0-130,IF NPDAGE < 0 or NPDAGE > 130,,,,,
np-m-017,017,Error,np,NPDODMO,Missingness,NPDODMO must be present,NPDODMO cannot be blank,Q6a. NPDODMO (Date of death: month) cannot be blank,IF NPDODMO = blank,,,,,
np-c-018,018,Error,np,NPDODMO,Conformity,NPDODMO conforms,NPDODMO must be an integer between 0-12,Q6a. NPDODMO (Date of death: month) must be an integer between 0-12,IF NPDODMO < 0 or NPDODMO > 12,,,,,
np-m-019,019,Error,np,NPDODDY,Missingness,NPDODDY must be present,NPDODDY cannot be blank,Q6b. NPDODDY (Date of death: day) cannot be blank,IF NPDODDY = blank,,,,,
np-c-020,020,Error,np,NPDODDY,Conformity,NPDODDY conforms,NPDODDY must be an integer between 0-31,Q6b. NPDODDY (Date of death: day) must be an integer between 0-31,IF NPDODDY < 0 or NPDODDY > 31,,,,,
np-m-021,021,Error,np,NPDODYR,Missingness,NPDODYR must be present,NPDODYR cannot be blank,Q6c. NPDODYR (Date of death: year) cannot be blank,IF NPDODYR = blank,,,,,
np-c-022,022,Error,np,NPDODYR,Conformity,NPDODYR conforms,NPDODYR must be an integer between 1984-current year,Q6c. NPDODYR (Date of death: year) must be an integer between 1984 - current year,IF NPDODYR < 1984 or NPDODYR > current year,,,,,
