form_name,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
np,0a. Packet code,PACKET,Always,Text,"NP, Neuropathology",String,
np,0b. ADRC ID,ADCID,Always,List of current ADCIDs,List of current ADCIDs,Integer,
np,1. UDS/MDS patient ID,PTID,Always,String with max length of 10 characters,,String,
np,2. Date form completed,NPFORMDATE,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
np,3. Neuropath ID,NPID,No,String with max length of 10 characters,,String,
np,4. Subject's sex,NPSEX,Always,Integers 1-2,"1, Male | 2, Female",Integer,
np,5. Age at death,NPDAGE,Always,Integers 0-130,0 –130,Integer,
np,6a. Date of death: month,NPDODMO,Always,Integers 1-12,1 – 12,Integer,
np,6b. Date of death: day,NPDODDY,Always,Integers 1-31,1 – 31,Integer,
np,6c. Date of death: year,NPDODYR,Always,Integers 1984 - current year,1984 – current year,Integer,
np,7. Postmortem interval,NPPMIH,Always,"00.0 - 98.9, 99.9","00.0 – 98.9 | 99.9, Unknown",Numeric,
np,8. Fixative,NPFIX,Always,"Integers 1-2, 7","1, Formalin | 2, Paraformaldehyde | 7, Other (specify)",Integer,
np,8a. Other fixative- specify,NPFIXX,Conditional,Any text,,String,"Blank if #8, NPFIX, ne 7 (Other)"
np,9a. Whole brain weight,NPWBRWT,Always,"Integers 100 – 2500, 9999","100 – 2500 | 9999, Unknown",Integer,
np,9b. Fresh or fixed weight,NPWBRF,Always,"Integers 1-2, 8","1, Fresh | 2, Fixed | 8, N/A",Integer,
np,9c1. Severity of gross findings - cerebral cortex atrophy,NPGRCCA,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,9c2. Severity of gross findings - lobar atrophy,NPGRLA,Always,"Integers 0-1, 8, 9","0,  None | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,9c3. Severity of gross findings - hippocampus atrophy,NPGRHA,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,9c4. Severity of gross findings - substantia nigra hypopigmentation,NPGRSNH,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,9c5. Severity of gross findings - l. ceruleus hypopigmentation,NPGRLCH,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,9c6. Severity of gross findings - atherosclerosis (of the circle of Willis),NPAVAS,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,10a. Tau antibody,NPTAN,Always,"Integers 1-4, 7, 8","1,  Non-phospho specific | 2, PHF1 | 3, CP13 | 4, AT8 | 7, Other (specify) | 8, Not assessed",Integer,
np,10a1. Other tau antibody - specify,NPTANX,Conditional,Any text,,String,"Blank if #10a, NPTAN, ne 7 (Other)"
np,10b. Amyloid beta antibody,NPABAN,Always,"Integers 1-2, 7, 8","1, 4G8 | 2, 10D5 | 7, Other (specify) | 8,  Not assessed",Integer,
np,10b1. Other amyloid beta antibody - specify,NPABANX,Conditional,Any text,,String,"Blank if #10b, NPABAN, ne 7 (Other)"
np,10c. Alpha synuclein antibody,NPASAN,Always,"Integers 1-2, 7, 8","1,  Non-phospho specific (e.g., LB509) | 2, Phospho-specific (e.g., pSYN#64) | 7, Other (specify) | 8, Not assessed",Integer,
np,10c1. Other alpha synuclein antibody - specify,NPASANX,Conditional,Any text,,String,"Blank if #10c, NPASAN, ne 7 (Other)"
np,10d. TDP-43 antibody,NPTDPAN,Always,"Integers 1-2, 7, 8","1, Non-phospho specific | 2, Phospho-specific | 7, Other (specify) | 8, Not assessed",Integer,
