"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ptid,form_header,,text,"Subject ID",,,,,,,,,,,,,
adcid,form_header,,dropdown,"ADC name","2, 2 - Boston University | 4, 4 - Columbia | 6, 6 - Emory | 7, 7 - Massachusetts ADRC | 8, 8 - Indiana University | 9, 9 - Johns Hopkins | 10, 10 - Mayo | 11, 11 - Mount Sinai | 12, 12 - New York University | 13, 13 - Northwestern | 14, 14 - Oregon Health & Science University | 15, 15 - Rush University | 16, 16 - University of California, Davis | 18, 18 - University of California, San Diego | 19, 19 - University of Kentucky | 21, 21 - University of Pennsylvania | 22, 22 - University of Pittsburgh | 26, 26 - University of Washington | 27, 27 - Washington University, Saint Louis | 30, 30 - University of Southern California | 31, 31 - University of California, Irvine | 33, 33 - Arizona Alzheimer's Center | 35, 35 - University of California, San Francisco | 37, 37 - University of Wisconsin | 38, 38 - University of Kansas | 39, 39 - Stanford2 | 40, 40 - Yale | 41, 41 - 1Florida | 42, 42 - Wake Forest | 43, 43 - University of Michigan ADC | 65, 65 - Cleveland ADRC",,,,,,,,,,,," @DEFAULT = '43'"
packet,form_header,,radio,"Packet Code","I, Initial Visit Packet|F, Follow-up Visit Packet|T, Telephone Visit Packet",,,,,,,y,,,,,
formver,form_header,,radio,"Form version number","3, 3",,,,,,,,,,,," @DEFAULT='3'"
visit_date,form_header,,text,"Form Date",,,date_mdy,,,,,,,,,," @TODAY"
initials,form_header,,text,"Examiner's initials:",,,,,,,,,,,,,
ivp_a1_instruct,a1_participant_demographics,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">INSTRUCTIONS: This form is to be completed by intake interviewer based on ADC scheduling records, participant interview, medical records, and proxy co-participant report (as needed). This information can be collected by mail-in survey, electronic capture (web-based), phone or video interview, or during the in-person visit to acommodate and lesson participant visit burden.</span></em></p> <p><em><span style=""font-weight: normal;"">For additional clarification and examples, see <a href=""https://files.alz.washington.edu/documentation/uds3-ivp-a1.pdf"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Initial Visit Packet - A1</a>.</span></em></p> <p><em><span style=""font-weight: normal;"">Check only <span style=""text-decoration: underline;"">one</span> box per question unless otherwise specified.</span></em></p></div>",,,,,,,"[packet]=""I""",,,,,," @DEFAULT='1'"
fvp_a1_instruct,a1_participant_demographics,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">INSTRUCTIONS: This form is to be completed by intake interviewer based on ADC scheduling records, subject interview, medical records, and proxy co-participant report (as needed).</span></em></p> <p><em><span style=""font-weight: normal;"">For additional clarification and examples, see <a href=""https://files.alz.washington.edu/documentation/uds3-fvp-a1.pdf"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Follow-up Visit Packet - A1</a>.</span></em></p> <p><em><span style=""font-weight: normal;"">Check only <span style=""text-decoration: underline;"">one</span> box per question.</span></em></p></div>",,,,,,,"[packet]=""F""",,,,,," @DEFAULT='1'"
tvp_a1_instruct,a1_participant_demographics,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">INSTRUCTIONS: This form is to be completed by intake interviewer based on ADC scheduling records, subject interview, medical records, and proxy co-participant report (as needed).</span></em></p> <p><em><span style=""font-weight: normal;"">For additional clarification and examples, see <a href=""https://files.alz.washington.edu/documentation/uds3-tfp-a1.pdf"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Telephone Follow-up Visit Packet - A1</a>.</span></em></p> <p><em><span style=""font-weight: normal;"">Check only <span style=""text-decoration: underline;"">one</span> box per question.</span></em></p></div>",,,,,,,"[packet]=""T""",,,,,," @DEFAULT='1'"
birthmo,a1_participant_demographics,,dropdown,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Participant's month of birth:</span></p></div>","1, 1. January | 2, 2. February | 3, 3. March | 4, 4. April | 5, 5. May | 6, 6. June | 7, 7. July | 8, 8. August | 9, 9. September | 10, 10. October | 11, 11. November | 12, 12. December",,autocomplete,,,,,,,,,,
birthyr,a1_participant_demographics,,dropdown,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Participants year of birth</span></p></div>","1875, 1875 | 1876, 1876 | 1877, 1877 | 1878, 1878 | 1879, 1879 | 1880, 1880 | 1881, 1881 | 1882, 1882 | 1883, 1883 | 1884, 1884 | 1885, 1885 | 1886, 1886 | 1887, 1887 | 1888, 1888 | 1889, 1889 | 1890, 1890 | 1891, 1891 | 1892, 1892 | 1893, 1893 | 1894, 1894 | 1895, 1895 | 1896, 1896 | 1897, 1897 | 1898, 1898 | 1899, 1899 | 1900, 1900 | 1901, 1901 | 1902, 1902 | 1903, 1903 | 1904, 1904 | 1905, 1905 | 1906, 1906 | 1907, 1907 | 1908, 1908 | 1909, 1909 | 1910, 1910 | 1911, 1911 | 1912, 1912 | 1913, 1913 | 1914, 1914 | 1915, 1915 | 1916, 1916 | 1917, 1917 | 1918, 1918 | 1919, 1919 | 1920, 1920 | 1921, 1921 | 1922, 1922 | 1923, 1923 | 1924, 1924 | 1925, 1925 | 1926, 1926 | 1927, 1927 | 1928, 1928 | 1929, 1929 | 1930, 1930 | 1931, 1931 | 1932, 1932 | 1933, 1933 | 1934, 1934 | 1935, 1935 | 1936, 1936 | 1937, 1937 | 1938, 1938 | 1939, 1939 | 1940, 1940 | 1941, 1941 | 1942, 1942 | 1943, 1943 | 1944, 1944 | 1945, 1945 | 1946, 1946 | 1947, 1947 | 1948, 1948 | 1949, 1949 | 1950, 1950 | 1951, 1951 | 1952, 1952 | 1953, 1953 | 1954, 1954 | 1955, 1955 | 1956, 1956 | 1957, 1957 | 1958, 1958 | 1959, 1959 | 1960, 1960 | 1961, 1961 | 1962, 1962 | 1963, 1963 | 1964, 1964 | 1965, 1965 | 1966, 1966 | 1967, 1967 | 1968, 1968 | 1969, 1969 | 1970, 1970 | 1971, 1971 | 1972, 1972 | 1973, 1973 | 1974, 1974 | 1975, 1975 | 1976, 1976 | 1977, 1977 | 1978, 1978 | 1979, 1979 | 1980, 1980 | 1981, 1981 | 1982, 1982 | 1983, 1983 | 1984, 1984 | 1985, 1985 | 1986, 1986 | 1987, 1987 | 1988, 1988 | 1989, 1989 | 1990, 1990 | 1991, 1991 | 1992, 1992 | 1993, 1993 | 1994, 1994 | 1995, 1995 | 1996, 1996 | 1997, 1997 | 1998, 1998 | 1999, 1999 | 2000, 2000 | 2001, 2001 | 2002, 2002 | 2003, 2003 | 2004, 2004 | 2005, 2005",,autocomplete,,,,,,,,,,
sex,a1_participant_demographics,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Participant's sex at birth:</span></p></div>","1, Male | 2, Female",,,,,,,,,,,,
race,a1_participant_demographics,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">What does the participant report as his or her ethnicity and race (Check all that apply.)</span></p></div>","1, White | 2, Black or African American | 3, American Indian or Alaska Native | 4, Native Hawaiian or other Pacific Islander | 5, Asian | 6, Hispanic | 50, Other {racex} | 99, Unknown",,,,,,"[packet]=""I""",,,,,,
racex,a1_participant_demographics,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Other (SPECIFY):</span></p></div>",,,,,,,"[race] = '50'",y,,9a.,,," @PLACEHOLDER='SPECIFY'"
