error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1001,1001,Alert,a1,I4,RACEUNKN,Plausibility,"If one race is known, cannot check Unknown","If  RACEWHITE, RACEBLACK, RACEAIAN, RACENHPI, RACEASIAN, ETHISPANIC, or RACEOTH=1 then RACEUNKN cannot equal 1","If  Q2a. RACEWHITE, Q2b. RACEBLACK, Q2c. RACEAIAN, Q2d. RACENHPI, Q2e. RACEASIAN, Q2f. ETHISPANIC, or Q2g. RACEOTH=1 then Q2h. RACEUNKN cannot equal 1",IF (RACEWHITE=1 or RACEBLACK=1 or RACEAIAN=1 or RACENHPI=1 or RACEASIAN=1 or ETHISPANIC=1 or RACEOTH=1) and RACEUNKN=1,,"RACEWHITE,
RACEBLACK,
RACEAIAN,
RACENHPI,
RACEASIAN,
ETHISPANIC,
RACEOTH,
RACEUNKN",No,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1002,1002,Alert,a1,I4,GENDKN,Plausibility,"If one gender is known, cannot check Don't know","If  GENMAN, GENWOMAN, GENTRMAN, GENTRWOMAN, GENNONBI, GENTWOSPIR, GENOTH, or GENNOANS=1 then GENDKN cannot equal 1","If  Q3a. GENMAN, Q3b. GENWOMAN, Q3c. GENTRMAN, Q3d. GENTRWOMAN, Q3e. GENNONBI, Q3f. GENTWOSPIR, Q3g. GENOTH, or Q3i. GENNOANS=1 then Q3hg. GENDKN cannot equal 1",IF (GENMAN=1 or GENWOMAN=1 or GENTRMAN=1 or GENTRWOMAN=1 or GENNONBI=1 or GENTWOSPIR=1 or GENOTH=1 or GENNOANS=1) and GENDKN=1,,"GENMAN,
GENWOMAN,
GENTRMAN,
GENTRWOMAN, GENNONBI,
GENTWOSPIR,
GENOTH,
GENDKN,
GENNOANS",No,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1003,1003,Alert,a1,I4,GENNOANS,Plausibility,"If one gender is known, cannot check No answer","If  GENMAN, GENWOMAN, GENTRMAN, GENTRWOMAN, GENNONBI, GENTWOSPIR, GENOTH, or GENDKN=1 then GENNOANS cannot equal 1","If  Q3a. GENMAN, Q3b. GENWOMAN, Q3c. GENTRMAN, Q3d. GENTRWOMAN, Q3e. GENNONBI, Q3f. GENTWOSPIR, Q3g. GENOTH, or Q3h. GENDKN=1 then Q3i. GENNOANS cannot equal 1",IF (GENMAN=1 or GENWOMAN=1 or GENTRMAN=1 or GENTRWOMAN=1 or GENNONBI=1 or GENTWOSPIR=1 or GENOTH=1 or GENDKN=1) and GENNOANS=1,,"GENMAN,
GENWOMAN,
GENTRMAN,
GENTRWOMAN, GENNONBI,
GENTWOSPIR,
GENOTH,
GENDKN,
GENNOANS",No,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1004,1004,Alert,a1,I4,SEXORNDNK,Plausibility,"If one sexual orientation is known, cannot check Don't know","If  SEXORNGAY, SEXORNHET, SEXORNBI, SEXORNTWOS, SEXORNOTH, or SEXORNNOAN=1 then SEXORNDNK cannot equal 1","If Q6a. SEXORNGAY, Q6b. SEXORNHET, Q6c. SEXORNBI, Q6d. SEXORNTWOS, Q6e. SEXORNOTH, or Q6g. SEXORNNOAN=1 then Q6f. SEXORNDNK cannot equal 1",IF (SEXORNGAY=1 or SEXORNHET=1 or SEXORNBI=1 or SEXORNTWOS=1 or SEXORNOTH=1 or SEXORNNOAN=1) and SEXORNDNK=1,,"SEXORNGAY,
SEXORNHET,
SEXORNBI,
SEXORNTWOS,
SEXORNOTH,
SEXORNDNK,
SEXORNNOAN",No,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1005,1005,Alert,a1,I4,SEXORNNOAN,Plausibility,"If one sexual orientation is known, cannot check No answer","If  SEXORNGAY, SEXORNHET, SEXORNBI, SEXORNTWOS, SEXORNOTH, or SEXORNDNK=1 then SEXORNNOAN cannot equal 1","If Q6a. SEXORNGAY, Q6b. SEXORNHET, Q6c. SEXORNBI, Q6d. SEXORNTWOS, Q6e. SEXORNOTH, or Q6f. SEXORNDNK=1 then Q6g. SEXORNNOAN cannot equal 1",IF (SEXORNGAY=1 or SEXORNHET=1 or SEXORNBI=1 or SEXORNTWOS=1 or SEXORNOTH=1 or SEXORNDNK=1) and SEXORNNOAN=1,,"SEXORNGAY,
SEXORNHET,
SEXORNBI,
SEXORNTWOS,
SEXORNOTH,
SEXORNDNK,
SEXORNNOAN",No,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1006,1006,Alert,a1,I4,SERVED,Plausibility,"If unknown whether participant served in military, alert if they say they have obtained care from a VA facility",If MEDVA=1 then SERVED should not equal 9,"If Q16. MEDVA (VA medical care) = 1 (Yes) then Q15. SERVED (served in armed forces) should not equal 9 (Don't know),it should be equal to 1 (Yes)",IF MEDVA=1 and SERVED=9,,"SERVED, MEDVA",No,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1007,1007,Alert,a1,I4,BIRTHYR,Plausibility,Age of onset is not older than age of participant at visit,"BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, and BEREMAGO should be less than or equal to the age of participant at visit","BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, and BEREMAGO (age of onset) should be less than or equal to age at visit","If BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, or BEREMAGO >  (FRMDATEB9 - BIRTHMO|1|BIRTHYR)/365.25","a1, b9","BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, BEREMAGO, BIRTHMO, BIRTHYR",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1008,1008,Error,a1,I4,BIRTHMO,Plausibility,BIRTHMO aligns with birth month from UDSv3,UDSv4 BIRTHMO should equal UDSv3 BIRTHMO,UDSv4 Q1a. BIRTHMO (participant birth month) should equal UDSv3 Q6a. BIRTHMO,If UDSv4 BIRTHMO ≠ UDSv3 BIRTHMO,"UDSv3, UDSv4",BIRTHMO,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1009,1009,Error,a1,I4,BIRTHYR,Plausibility,BIRTHYR aligns with birth year from UDSv3,UDSv4 BIRTHYR should equal UDSv3 BIRTHYR,UDSv4 Q1a. BIRTHYR(participant birth year) should equal UDSv3 Q6a. BIRTHYR,If UDSv4 BIRTHYR ≠ UDSv3 BIRTHYR,"UDSv3, UDSv4",BIRTHYR,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1010,1010,Alert,a1,I4,"SEX, BIRTHSEX",Plausibility,BIRTHSEX aligns with SEX from UDSv3,"If UDSv3 SEX = 1, then UDSv4 BIRTHSEX should equal 1","If UDSv3 SEX = 1 (male), then UDSv4 BIRTHSEX (sex assigned at birth) should equal 1 (male)",If UDSv3 SEX = 1 and UDSv4 BIRTHSEX  = 2,"UDSv3, UDSv4","BIRTHSEX, SEX",Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
