form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic,carry_forward
a1a,F,0a. A1a Social Determinants of Health - Form date,FRMDATEA1A,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,,no
a1a,F,0b. A1a Social Determinants of Health - Examiner's initials,INITIALSA1A,No,text,,String,,no
a1a,F,0c. A1a Social Determinants of Health - Language,LANGA1A,Always,Integers 1-6,"1, English|2, Spanish|3, Mandarin - Traditional |4, Mandarin - Simplified|5, Cantonese- Traditional |6, Cantonese - Simplified",Integer,,no
a1a,F,"0d. A1a Social Determinants of Health - In-person, remote, or not completed?",MODEA1A,Always,Integers 0-2,"0, Not completed|1, In-person|2, Remote",Integer,,no
a1a,F,"0d1. If 'A1a Social Determinants of Health' form was completed remotely, specify reason",RMREASA1A,Conditional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modea1a]='2',no
a1a,F,0d1a. What modality was used to collect this remote 'A1a Social Determinants of Health' form?,RMMODEA1A,Conditional,Integers 1-4,"1, Telephone|2, Video|3, Mail|4, Electronic (e.g., email)",Integer,[modea1a]='2',no
a1a,F,"0d2. If 'A1a Social Determinants of Health' not submitted, specify reason",A1ANOT,Conditional,"Integers 88, 93","88, Optional | 93, Concerns about reliability",Integer,[modea1a]='0',no
a1a,F,0e. A1a Social Determinants of Health - Administration?,ADMINA1A,Always,Integers 1-2,"1, Self-administered|2, Staff administered",Integer,,no
a1a,F,1. Do you or someone in your household currently own a car?,OWNSCAR,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,,no
a1a,F,2. Do you have consistent access to transportation?,TRSPACCESS,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,,no
a1a,F,"3. In the past 30 days, how often were you not able to leave the house when you wanted to because of a problem with transportation?",TRANSPROB,Always,"Integers 1-3, 8","1, Often|2, Sometimes|3, Never|8, Prefer not to answer",Integer,,no
a1a,F,"4. In the past 30 days, how often did you worry about whether or not you would be able to get somewhere because of a problem with transportation?",TRANSWORRY,Always,"Integers 1-3, 8","1, Often|2, Sometimes|3, Never|8, Prefer not to answer",Integer,,no
a1a,F,"5. In the past 30 days, how often has a lack of transportation kept you from medical appointments or from doing things needed for daily living?",TRSPMED,Always,"Integers 1-3, 8","1, Often|2, Sometimes|3, Never|8, Prefer not to answer",Integer,,no
a1a,F,"6. Which of these income groups represents your household income for the past year? Include income from all sources such as wages, salaries, social security or retirement benefits, help from relatives, rent from property, and so forth. ",INCOMEYR,Always,"Integers 1-4, 8-9","1, $0 - $14,999|2, $15,000 - $29,999|3, $30,000 - $74,999|4, $75,000 and over|8, Prefer not to answer|9, Don't know",Integer,,no
a1a,F,7. How satisfied are you with your current personal financial condition?,FINSATIS,Always,"Integers 1-5, 8","1, Completely satisfied|2, Satisfied|3, Somewhat satisfied|4, Not very satisfied|5, Not at all satisfied|8, Prefer not to answer",Integer,,no
a1a,F,8. How difficult is it for you to meet monthly payments on your bills?,BILLPAY,Always,"Integers 1-5, 8","1, Not at all|2, Slightly|3, Moderately|4, Very|5, Extremely|8, Prefer not to answer",Integer,,no
