Conformity/missingness checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form ,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
A1a,I,OWNSCAR,OWNSCAR must be present,OWNSCAR cannot be blank,Q1. OWNSCAR (Owns a car?) cannot be blank,If OWNSCAR = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,OWNSCAR,OWNSCAR must conform,OWNSCAR must be an integer between 0 and 1,Q1. OWNSCAR (Owns a car?) must be an integer between 0 and 1,If OWNSCAR < 0 or OWNSCAR > 1,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPACCESS,TRSPACCESS must be present,TRSPACCESS cannot be blank,Q2. TRSPACCESS (Access to transportation?) cannot be blank,If TRSPACCESS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPACCESS,TRSPACCESS must conform,TRSPACCESS must be an integer between 1 and 3,Q2. TRSPACCESS (Access to transportation?) must be an integer between 1 and 3,If TRSPACCESS < 1 or TRSPACCESS > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSPROB,TRANSPROB must be present,TRANSPROB cannot be blank,Q3. TRANSPROB (Transportation problems in past month?) cannot be blank,If TRANSPROB = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSPROB,TRANSPROB must conform,TRANSPROB must be an integer between 1 and 3,Q3. TRANSPROB (Transportation problems in past month?) must be an integer between 1 and 3,If TRANSPROB < 1 or TRANSPROB > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSWORRY,TRANSWORRY must be present,TRANSWORRY cannot be blank,Q4. TRANSWORRY (Transportation worries in past month?) cannot be blank,If TRANSWORRY = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSWORRY,TRANSWORRY must conform,TRANSWORRY must be an integer between 1 and 3,Q4. TRANSWORRY (Transportation worries in past month?) must be an integer between 1 and 3,If TRANSWORRY < 1 or TRANSWORRY > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPLONGER,TRSPLONGER must be present,TRSPLONGER cannot be blank,Q5. TRSPLONGER (Transportation delays in past month?) cannot be blank,If TRSPLONGER = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPLONGER,TRSPLONGER must conform,TRSPLONGER must be an integer between 1 and 3,Q5. TRSPLONGER (Transportation delays in past month?) must be an integer between 1 and 3,If TRSPLONGER < 1 or TRSPLONGER > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FINSATIS,FINSATIS must be present,FINSATIS cannot be blank,Q6. FINSATIS (Satisfaction with personal finances?) cannot be blank,If FINSATIS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FINSATIS,FINSATIS must conform,FINSATIS must be an integer between 1 and 5,Q6. FINSATIS (Satisfaction with personal finances?) must be an integer between 1 and 5,If FINSATIS < 1 or FINSATIS > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
