error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a1a-ivp-m-001,001,Error,a1a,I,OWNSCAR,Missingness,OWNSCAR must be present,OWNSCAR cannot be blank,Q1. OWNSCAR (Owns a car?) cannot be blank,If OWNSCAR = blank,n/a,n/a,Yes,No,
a1a-ivp-c-002,002,Error,a1a,I,OWNSCAR,Conformity,OWNSCAR must conform,OWNSCAR must be an integer between 0 and 1 or 8,Q1. OWNSCAR (Owns a car?) must be an integer between 0 and 1 or 8,If OWNSCAR < 0 or (OWNSCAR > 1 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-003,003,Error,a1a,I,TRSPACCESS,Missingness,TRSPACCESS must be present,TRSPACCESS cannot be blank,Q2. TRSPACCESS (Access to transportation?) cannot be blank,If TRSPACCESS = blank,n/a,n/a,Yes,No,
a1a-ivp-c-004,004,Error,a1a,I,TRSPACCESS,Conformity,TRSPACCESS must conform,TRSPACCESS must be an integer between 1 and 3 or 8,Q2. TRSPACCESS (Access to transportation?) must be an integer between 1 and 3 or 8,If TRSPACCESS < 1 or (TRSPACCESS > 3 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-005,005,Error,a1a,I,TRANSPROB,Missingness,TRANSPROB must be present,TRANSPROB cannot be blank,Q3. TRANSPROB (Transportation problems in past month?) cannot be blank,If TRANSPROB = blank,n/a,n/a,Yes,No,
a1a-ivp-c-006,006,Error,a1a,I,TRANSPROB,Conformity,TRANSPROB must conform,TRANSPROB must be an integer between 1 and 3 or 8,Q3. TRANSPROB (Transportation problems in past month?) must be an integer between 1 and 3 or 8,If TRANSPROB < 1 or (TRANSPROB > 3 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-007,007,Error,a1a,I,TRANSWORRY,Missingness,TRANSWORRY must be present,TRANSWORRY cannot be blank,Q4. TRANSWORRY (Transportation worries in past month?) cannot be blank,If TRANSWORRY = blank,n/a,n/a,Yes,No,
a1a-ivp-c-008,008,Error,a1a,I,TRANSWORRY,Conformity,TRANSWORRY must conform,TRANSWORRY must be an integer between 1 and 3 or 8,Q4. TRANSWORRY (Transportation worries in past month?) must be an integer between 1 and 3 or 8,If TRANSWORRY < 1 or (TRANSWORRY > 3 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-009,009,Error,a1a,I,TRSPLONGER,Missingness,TRSPLONGER must be present,TRSPLONGER cannot be blank,Q5. TRSPLONGER (Transportation delays in past month?) cannot be blank,If TRSPLONGER = blank,n/a,n/a,Yes,No,
a1a-ivp-c-010,010,Error,a1a,I,TRSPLONGER,Conformity,TRSPLONGER must conform,TRSPLONGER must be an integer between 1 and 3 or 8,Q5. TRSPLONGER (Transportation delays in past month?) must be an integer between 1 and 3 or 8,If TRSPLONGER < 1 or (TRSPLONGER > 3 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-011,011,Error,a1a,I,TRSPMED,Missingness,TRSPMED must be present,TRSPMED cannot be blank,Q6. TRSPMED (Lack of transportation caused missed medical appointments?) cannot be blank,If TRSPMED = blank,n/a,n/a,Yes,No,
a1a-ivp-c-012,012,Error,a1a,I,TRSPMED,Conformity,TRSPMED must conform,TRSPMED must be an integer between 1-3 or 8,Q6. TRSPMED (Lack of transportation caused missed medical appointments?) must be an integer between 1 and 3 or 8,If TRSPMED < 1 or (TRSPMED > 3 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-013,013,Error,a1a,I,INCOMEYR,Missingness,INCOMEYR must be present,INCOMEYR cannot be blank,Q7. INCOMEYR (Household income for past year?) cannot be blank,If INCOMEYR=blank,n/a,n/a,Yes,No,
a1a-ivp-c-014,014,Error,a1a,I,INCOMEYR,Conformity,INCOMEYR must conform,INCOMEYR must be an integer between 1-4 or 8-9,Q7. INCOMEYR (Household income for past year?) must be an integer between 1-4 or 8-9,If INCOMEYR < 1 or (INCOMEYR > 4 and ? 8 or 9),n/a,n/a,Yes,No,
a1a-ivp-m-015,015,Error,a1a,I,FINSATIS,Missingness,FINSATIS must be present,FINSATIS cannot be blank,Q8. FINSATIS (Satisfaction with personal finances?) cannot be blank,If FINSATIS = blank,n/a,n/a,Yes,No,
a1a-ivp-c-016,016,Error,a1a,I,FINSATIS,Conformity,FINSATIS must conform,FINSATIS must be an integer between 1 and 5 or 8,Q8. FINSATIS (Satisfaction with personal finances?) must be an integer between 1 and 5 or 8,If FINSATIS < 1 or (FINSATIS > 5 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-017,017,Error,a1a,I,BILLPAY,Missingness,BILLPAY must be present,BILLPAY cannot be blank,Q9. BILLPAY (Difficulty with monthly payments?) cannot be blank,If BILLPAY = blank,n/a,n/a,Yes,No,
a1a-ivp-c-018,018,Error,a1a,I,BILLPAY,Conformity,BILLPAY must conform,BILLPAY must be an integer between 1 and 5 or 8,Q9. BILLPAY (Difficulty with monthly payments?) must be an integer between 1 and 5 or 8,If BILLPAY < 1 or (BILLPAY > 5 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-019,019,Error,a1a,I,FINUPSET,Missingness,FINUPSET must be present,FINUPSET cannot be blank,Q10. FINUPSET (Upset with finances in past month?) cannot be blank,If FINUPSET = blank,n/a,n/a,Yes,No,
a1a-ivp-c-020,020,Error,a1a,I,FINUPSET,Conformity,FINUPSET must conform,FINUPSET must be an integer between 1 and 4 or 8,Q10. FINUPSET (Upset with finances in past month?) must be an integer between 1 and 4 or 8,If FINUPSET < 1 or (FINUPSET > 4 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-021,021,Error,a1a,I,EATLESS,Missingness,EATLESS must be present,EATLESS cannot be blank,Q11. EATLESS (Eaten less food because of money?) cannot be blank,If EATLESS = blank,n/a,n/a,Yes,No,
a1a-ivp-c-022,022,Error,a1a,I,EATLESS,Conformity,EATLESS must conform,EATLESS must be an integer between 0 and 1 or 8,Q11. EATLESS (Eaten less food because of money?) must be an integer between 0 and 1 or 8,If EATLESS < 0 or (EATLESS > 1and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-023,023,Error,a1a,I,EATLESSYR,Missingness,EATLESSYR must be present,EATLESSYR cannot be blank,Q12. EATLESSYR (Eaten less food because of money in past year?) cannot be blank,If EATLESSYR = blank,n/a,n/a,Yes,No,
a1a-ivp-c-024,024,Error,a1a,I,EATLESSYR,Conformity,EATLESSYR must conform,EATLESSYR must be an integer between 0 and 1 or 8,Q12. EATLESSYR (Eaten less food because of money in past year?) must be an integer between 0 and 1 or 8,If EATLESSYR < 0 or (EATLESSYR > 1and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-025,025,Error,a1a,I,LESSMEDS,Missingness,LESSMEDS must be present,LESSMEDS cannot be blank,Q13. LESSMEDS (Taken less medication because of money?) cannot be blank,If LESSMEDS = blank,n/a,n/a,Yes,No,
a1a-ivp-c-026,026,Error,a1a,I,LESSMEDS,Conformity,LESSMEDS must conform,LESSMEDS must be an integer between 0 and 1 or 8,Q13. LESSMEDS (Taken less medication because of money?) must be an integer between 0 and 1 or 8,If LESSMEDS < 0 or (LESSMEDS > 1 and ? 8),n/a,n/a,Yes,No,
a1a-ivp-m-027,027,Error,a1a,I,LESSMEDSYR,Missingness,LESSMEDSYR must be present,LESSMEDSYR cannot be blank,Q14. LESSMEDSYR (Taken less medication because of money in past year?) cannot be blank,If LESSMEDSYR = blank,n/a,n/a,Yes,No,
a1a-ivp-c-028,028,Error,a1a,I,LESSMEDSYR,Conformity,LESSMEDSYR must conform,LESSMEDSYR must be an integer between 0 and 1,Q14. LESSMEDSYR (Taken less medication because of money in past year?) must be an integer between 0 and 1 or 8,If LESSMEDSYR < 0 or (LESSMEDS > 1 and ? 8),n/a,n/a,Yes,No,
