form_name,packet,question,var_name,missingness,conformity,data_type
a1a,I,0a. A1a Social Determinants of Health - Form date,FRMDATEA1A,Always,mm/dd/yyyy,Date
a1a,I,0b. A1a Social Determinants of Health - Examiner's initials,INITIALSA1A,No,text,String
a1a,I,0c. A1a Social Determinants of Health - Language,LANGA1A,Always,Integers 1-2,Integer
a1a,I,0d. A1a Social Determinants of Health - In-person or remote?,MODEA1A,Always,Integers 1-2,Integer
a1a,I,"0d1. If 'A1a Social Determinants of Health' form was completed remotely, specify reason",RMREASA1A,Condtional,Integers 1-5,Integer
a1a,I,0d1a. What modality was used to collect this remote 'A1a Social Determinants of Health' form?,RMMODEA1A,Condtional,Integers 1-2,Integer
a1a,I,1. Do you or someone in your household currently own a car?,OWNSCAR,Always,"Integers 0-1, 8",Integer
a1a,I,2. Do you have consistent access to transportation?,TRSPACCESS,Always,"Integers 0-1, 8",Integer
a1a,I,"3. In the past 30 days, how often were you not able to leave the house when you wanted to because of a problem with transportation?",TRANSPROB,Always,"Integers 1-3, 8",Integer
a1a,I,"4. In the past 30 days, how often did you worry about whether or not you would be able to get somewhere because of a problem with transportation?",TRANSWORRY,Always,"Integers 1-3, 8",Integer
a1a,I,"5. In the past 30 days, how often did it take you longer to get somewhere than it would have taken you if you had different transportation?",TRSPLONGER,Always,"Integers 1-3, 8",Integer
a1a,I,"6. In the past 30 days, how often has a lack of transportation kept you from medical appointments or from doing things needed for daily living?",TRSPMED,Always,"Integers 1-3, 8",Integer
a1a,I,"7. Which of these income groups represents your household income for the past year? Include income from all sources such as wages, salaries, social security or retirement benefits, help from relatives, rent from property, and so forth. ",INCOMEYR,Always,"Integers 1-4, 8-9",Integer
a1a,I,8. How satisfied are you with your current personal financial condition?,FINSATIS,Always,"Integers 1-5, 8",Integer
a1a,I,9. How difficult is it for you to meet monthly payments on your bills?,BILLPAY,Always,"Integers 1-5, 8",Integer
a1a,I,"10. If you have had financial problems that lasted twelve months or longer, how upsetting has it been to you?",FINUPSET,Always,"Integers 1-4, 8",Integer
a1a,I,"11. At any time, did you ever eat less than you felt you should because there wasn't enough money to buy food?",EATLESS,Always,"Integers 0-1, 8",Integer
