form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
a1a,I,0a. A1a Social Determinants of Health - Form date,FRMDATEA1A,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
a1a,I,0b. A1a Social Determinants of Health - Examiner's initials,INITIALSA1A,No,text,,String,
a1a,I,0c. A1a Social Determinants of Health - Language,LANGA1A,Always,Integers 1-2,"1, English|2, Spanish",Integer,
a1a,I,"0d. A1a Social Determinants of Health - In-person, remote, or not completed?",MODEA1A,Always,Integers 0-2,"0, Not completed|1, In-person|2, Remote",Integer,
a1a,I,"0d1. If 'A1a Social Determinants of Health' form was completed remotely, specify reason",RMREASA1A,Conditional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modea1a]='2'
a1a,I,0d1a. What modality was used to collect this remote 'A1a Social Determinants of Health' form?,RMMODEA1A,Conditional,Integers 1-4,"1, Telephone|2, Video|3, Mail|4, Electronic (e.g., email)",Integer,[modea1a]='2'
a2,I,"0d2. If 'A2 Co-Participant Demographics' not submitted, specify reason",A1ANOT,Conditional,Integer 93,"93, Concerns about reliability",Integer,[modea1a]='0'
a1a,I,0e. A1a Social Determinants of Health - Administration?,ADMINA1A,Always,Integers 1-2,"1, Self-administered|2, Staff administered",Integer,
a1a,I,1. Do you or someone in your household currently own a car?,OWNSCAR,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,
a1a,I,2. Do you have consistent access to transportation?,TRSPACCESS,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,
a1a,I,"3. In the past 30 days, how often were you not able to leave the house when you wanted to because of a problem with transportation?",TRANSPROB,Always,"Integers 1-3, 8","1, Often|2, Sometimes|3, Never|8, Prefer not to answer",Integer,
a1a,I,"4. In the past 30 days, how often did you worry about whether or not you would be able to get somewhere because of a problem with transportation?",TRANSWORRY,Always,"Integers 1-3, 8","1, Often|2, Sometimes|3, Never|8, Prefer not to answer",Integer,
a1a,I,"5. In the past 30 days, how often has a lack of transportation kept you from medical appointments or from doing things needed for daily living?",TRSPMED,Always,"Integers 1-3, 8","1, Often|2, Sometimes|3, Never|8, Prefer not to answer",Integer,
a1a,I,"6. Which of these income groups represents your household income for the past year? Include income from all sources such as wages, salaries, social security or retirement benefits, help from relatives, rent from property, and so forth. ",INCOMEYR,Always,"Integers 1-4, 8-9","1, $0 - $14,999|2, $15,000 - $29,999|3, $30,000 - $74,999|4, $75,000 and over|8, Prefer not to answer|9, Don't know",Integer,
a1a,I,7. How satisfied are you with your current personal financial condition?,FINSATIS,Always,"Integers 1-5, 8","1, Completely satisfied|2, Satisfied|3, Somewhat satisfied|4, Not very satisfied|5, Not at all satisfied|8, Prefer not to answer",Integer,
a1a,I,8. How difficult is it for you to meet monthly payments on your bills?,BILLPAY,Always,"Integers 1-5, 8","1, Not at all|2, Slightly|3, Moderately|4, Very|5, Extremely|8, Prefer not to answer",Integer,
a1a,I,"9. If you have had financial problems that lasted twelve months or longer, how upsetting has it been to you?",FINUPSET,Always,"Integers 1-4, 8","1, No financial problems for twelve months or longer|2, Yes, financial problems for twelve months or longer, but not upsetting to me|3, Yes, financial problems for twelve months or longer, and somewhat upsetting to me|4, Yes, financial problems for twelve months or longer, and very upsetting to me|8, Prefer not to answer",Integer,
a1a,I,"10. At any time, did you ever eat less than you felt you should because there wasn't enough money to buy food?",EATLESS,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,
a1a,I,"11. In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money to buy food?",EATLESSYR,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,
a1a,I,"12. At any time, have you ended up taking less medication than was prescribed for you because of the cost?",LESSMEDS,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,
a1a,I,"13. In the last 12 months, have you ended up taking less medication than was prescribed for you because of the cost?",LESSMEDSYR,Always,"Integers 0-1, 8","0, No|1, Yes|8, Prefer not to answer",Integer,
a1a,I,14. Where would you place yourself on this ladder compared to others in your community (or neighborhood)? Please mark the number where you would place yourself.,COMPCOMM,Always,"Integers 1-10, 88","88, Prefer not to answer|10, 10|9, 9|8, 8|7, 7|6, 6|5, 5|4, 4|3, 3|2, 2|1, 1",Integer,
a1a,I,15. What was your mother's (or primary person who raised you up until age 18) highest level of education completed at the time they were raising you?,GUARDEDU,Always,"Integers 1-6, 8, 9","1, Never attended school or only attended kindergarten|2, Grades 1 through 8 (elementary)|3, Grades 9 through 11 (some high school)|4, Grade 12 or GED (high school graduate)|5, College 1 year to 3 years (some college)|6, College 4 years or more (college graduate)|9, Prefer not to answer/Not applicable|9, Do not know",Integer,
a1a,I,16. I experience a general sense of emptiness,EMPTINESS,Always,"Integers 1-5, 8","1, Strongly disagree|2, Disagree|3, Neither disagree or agree|4, Agree|5, Strongly agree|8, Prefer not to answer",Integer,
a1a,I,17. I miss having people around,MISSPEOPLE,Always,"Integers 1-5, 8","1, Strongly disagree|2, Disagree|3, Neither disagree or agree|4, Agree|5, Strongly agree|8, Prefer not to answer",Integer,
a1a,I,18. I feel like I don't have enough friends,FRIENDS,Always,"Integers 1-5, 8","1, Strongly disagree|2, Disagree|3, Neither disagree or agree|4, Agree|5, Strongly agree|8, Prefer not to answer",Integer,
a1a,I,19. I often feel abandoned,ABANDONED,Always,"Integers 1-5, 8","1, Strongly disagree|2, Disagree|3, Neither disagree or agree|4, Agree|5, Strongly agree|8, Prefer not to answer",Integer,
a1a,I,20. I miss having a really close friend,CLOSEFRND,Always,"Integers 1-5, 8","1, Strongly disagree|2, Disagree|3, Neither disagree or agree|4, Agree|5, Strongly agree|8, Prefer not to answer",Integer,
a1a,I,"21. If your parents are still alive, how often do you have contact with them (including mother, father, mother-in-law, and father-in-law) either in person, by phone, mail, or email (e.g., any online interaction)?",PARENTCOMM,Always,"Integers 0-5, 8","0, Parents not living|1, Once a year or less|2, Several times a year|3, Several times a month|4, Several times a week|5, Everyday or almost everyday|8, Prefer not to answer",Integer,
a1a,I,"22. If you have children, how often do you have contact with your children (including child[ren]-in-law and stepchild[ren]) either in person, by phone, mail, or email (e.g., any online interaction)?",CHILDCOMM,Always,"Integers 0-5, 8","0, Do not have children|1, Once a year or less|2, Several times a year|3, Several times a month|4, Several times a week|5, Everyday or almost everyday|8, Prefer not to answer",Integer,
a1a,I,"23. How often do you have contact with close friends either in person, by phone, mail, or email (e.g., any online interaction)?",FRIENDCOMM,Always,"Integers 0-5, 8","0, Do not have close friends|1, Once a year or less|2, Several times a year|3, Several times a month|4, Several times a week|5, Everyday or almost everyday|8, Prefer not to answer",Integer,
a1a,I,"24. How often do you participate in activities outside the home (e.g., religious activities, educational activities, volunteer work,
paid work, or activities with groups or organizations)?",PARTICIPATE,Always,"Integers 0-5, 8","0, Do not participate in activities outside the home|1, Once a year or less|2, Several times a year|3, Several times a month|4, Several times a week|5, Everyday or almost everyday|8, Prefer not to answer",Integer,
a1a,I,25a. How safe do you feel in your home?,SAFEHOME,Always,"Integers 1-4, 8","1, Very safe|2, Mostly safe|3, Unsafe at times|4, Very unsafe|8, Prefer not to answer",Integer,
a1a,I,25b. How safe do you feel in your community (or neighborhood)?,SAFECOMM,Always,"Integers 1-4, 8","1, Very safe|2, Mostly safe|3, Unsafe at times|4, Very unsafe|8, Prefer not to answer",Integer,
a1a,I,"26. In the past year, how often did you delay seeking medical attention for a problem that was bothering you?",DELAYMED,Always,"Integers 1-5, 8","1, All of the time|2, Most of the time|3, Sometimes|4, None or almost none of the time|5, Not applicable|8, Prefer not to answer",Integer,
a1a,I,"27. In the past year, how often did you experience challenges in filling a prescription?",SCRIPTPROB,Always,"Integers 1-5, 8","1, All of the time|2, Most of the time|3, Sometimes|4, None or almost none of the time|5, Not applicable|8, Prefer not to answer",Integer,
a1a,I,"28. In the past year, how often did you miss a follow-up medical appointment that was scheduled?",MISSEDFUP,Always,"Integers 1-5, 8","1, All of the time|2, Most of the time|3, Sometimes|4, None or almost none of the time|5, Not applicable|8, Prefer not to answer",Integer,
a1a,I,"29. In the past year, how often did you follow a doctor's advice or treatment plan when it was given?",DOCADVICE,Always,"Integers 1-5, 8","1, All of the time|2, Most of the time|3, Sometimes|4, None or almost none of the time|5, Not applicable|8, Prefer not to answer",Integer,
a1a,I,"30. Overall, which of these describes your health insurance, access to healthcare services, and access to medications?",HEALTHACC,Always,"Integers 1-4, 8","1, Not available to any extent|2, Below the level of my needs|3, Able to meet my needs|4, Exceeds my needs|8, Prefer not to answer",Integer,
