error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a2-fvp-m-001,001,Error,a2,F,FRMDATEA2,Missingness,FRMDATEA2 must be present,FRMDATEA2 cannot be blank,Q0a. FRMDATEA2 (A2 form date) cannot be blank ,If FRMDATEA2 = blank,,,Yes,No,
a2-fvp-c-002,002,Error,a2,F,FRMDATEA2,Conformity,FRMDATEA2 conforms,FRMDATEA2 must be a date,Q0a. FRMDATEA2 (A2 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEA2 is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
a2-fvp-m-003,003,Error,a2,F,LANGA2,Missingness,LANGA2 must be present,LANGA2 cannot be blank,Q0c. LANGA2 (Language of A2 administration) cannot be blank,If LANGA2 = blank,,,Yes,Yes,
a2-fvp-c-004,004,Error,a2,F,LANGA2,Conformity,LANGA2 conforms,LANGA2 must be an integer between 1-2,Q0c. LANGA2 (Language of A2 administration) must be an integer between 1-2,If LANGA2 < 1 or LANGA2 > 2,,,Yes,Yes,
a2-fvp-m-005,005,Error,a2,F,MODEA2,Missingness,MODEA2 must be present,MODEA2 cannot be blank,Q0d. MODEA2 (A2 in person or remote) cannot be blank,If MODEA2 = blank,,,Yes,No,
a2-fvp-c-006,006,Error,a2,F,MODEA2,Conformity,MODEA2 conforms,MODEA2 must be an integer between 0-2,Q0d. MODEA2 (A2 in person or remote or not complete) must be an integer between 0-2,If MODEA2 < 0 or MODEA2 > 2,,,Yes,No,
a2-fvp-m-007,007,Error,a2,F,RMREASA2,Missingness,RMREASA2 conditionally present,"If MODEA2 = 2, RMREASA2 cannot be blank","If Q0d. MODEA2 (A2 in person, remote, or not completed) = 2 (Remote) then Q0d1. RMREASA2 (Reason for remote A2) cannot be blank",If MODEA2 = 2 and RMREASA2 = blank,,"MODEA2, RMREASA2",Yes,No,
a2-fvp-m-008,008,Error,a2,F,RMREASA2,Missingness,RMREASA2 conditionally blank,"If MODEA2 = 0 or 1, RMREASA2 must be blank","If Q0d. MODEA2 (A2 in person, remote, or not completed) = 0 or 1 (In-person or not completed) then Q0d1. RMREASA2 (Reason for remote A2) must be blank","If If MODEA2 in (0,1) and RMREASA2 is not blank",,"MODEA2, RMREASA2",Yes,No,
a2-fvp-c-009,009,Error,a2,F,RMREASA2,Conformity,RMREASA2 conforms,RMREASA2 must be an integer between 1-5,Q0d1. RMREASA2 (Reason for remote A2) must be an integer between 1 and 5,If RMREASA2 < 1 or RMREASA2 > 5,,,Yes,No,
a2-fvp-m-010,010,Error,a2,F,RMMODEA2,Missingness,RMMODEA2 conditionally present,"If MODEA2 = 2, RMMODEA2 cannot be blank","If Q0d. MODEA2 (A2 in person, remote, or not completed) = 2 (Remote) then Q0d1a. RMMODEA2 (Mode of remote A2 administration) cannot be blank",If MODEA2 = 2 and RMMODEA2 = blank,,"MODEA2, RMMODEA2",Yes,No,
a2-fvp-m-011,011,Error,a2,F,RMMODEA2,Missingness,RMMODEA2 conditionally blank,"If MODEA2 = 0 or 1, RMMODEA2 must be blank","If Q0d. MODEA2 (A2 in person, remote, or not completed) = 0 or 1 (In-person or not completed) then Q0d1a. RMMODEA2 (Mode of remote A2 administration) must be blank","If MODEA2 in (0,1) and RMMODEA2 is not blank",,"MODEA2, RMMODEA2",Yes,No,
a2-fvp-c-012,012,Error,a2,F,RMMODEA2,Conformity,RMMODEA2 conforms,RMMODEA2 must be an integer between 1-2,Q0d1a. RMMODEA2 (Mode of remote A2 administration) must be an integer between 1-2,If RMMODEA2 < 1 or RMMODEA2 > 2,,,Yes,No,
