Form,Packet,Error #,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Error code,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
a2,I,001,INRELTO,INRELTO,INRELTO must be present,INRELTO cannot be blank,IF INRELTO=blank ,a2-ivp-m-001,n/a,n/a,Error,Yes,Missingness,Yes,
a2,I,002,INRELTO,INRELTO,INRELTO conforms,INRELTO must be an integer between 1 and 6,IF INRELTO <1 or INRELTO >6,a2-ivp-c-002,n/a,n/a,Error,Yes,Conformity,Yes,
a2,I,003,INKNOWN,INKNOWN,INKNOWN must be present,INKNOWN  cannot be blank,IF INKNOWN=blank,a2-ivp-m-003,n/a,n/a,Error,Yes,Missingness,Yes,
a2,I,004,INKNOWN,INKNOWN,INKNOWN conforms,"INKNOWN must be between 0-120, or =999 (Unknown)",IF INKNOWN <0 or (INKNOWN>120 and ? 999),a2-ivp-c-004,n/a,n/a,Error,Yes,Conformity,Yes,
a2,I,005,INLIVWTH,INLIVWTH,INLIVWTH must be present,INLIVWTH cannot be blank,IF INLIVWTH=blank,a2-ivp-m-005,n/a,n/a,Error,Yes,Missingness,Yes,
a2,I,006,INLIVWTH,INLIVWTH,INLIVWTH conforms,INLIVWTH must be an integer between 0 and 1,IF INLIVWTH <0 or INLIVWTH >1,a2-ivp-c-006,n/a,n/a,Error,Yes,Conformity,Yes,
a2,I,007,INCNTMOD,INCNTMOD,INCNTMOD conditionally present,If INLIVWTH=0 (No) then INCNTMOD cannot be blank ,IF INLIVWTH=0 and INCNTMOD=blank,a2-ivp-m-007,n/a,n/a,Error,Yes,Missingness,No,
a2,I,008,INCNTMOD,INCNTMOD,INCNTMOD conditionally blank,If INLIVWTH=1 (Yes) then INCNTMOD must be blank ,IF INLIVWTH=1 and INCNTMOD not blank,a2-ivp-m-008,n/a,n/a,Error,Yes,Missingness,No,
a2,I,009,INCNTMOD,INCNTMOD,INCNTMOD conforms,Q4. INCNTMOD (primary contact mode w/participant) must be an integer between 1 and 6,IF INCNTMOD <1 or INCNTMOD >6,a2-ivp-c-009,n/a,n/a,Error,Yes,Conformity,No,
a2,I,010,INCNTMDX,INCNTMDX,INCNTMDX conditionally present,If INCNTMOD=6 (Other) then INCNTMDX cannot be blank,IF INCNTMOD=6 and INCNTMDX=blank,a2-ivp-m-010,n/a,n/a,Error,Yes,Missingness,No,
